"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B016KGWAA0",false,31.99,"USD",0,0,0,741,4.5,"https://www.amazon.com/dp/B016KGWAA0","3334.50",false,false,false,false,"Sponsored Ad - Powerful Foods, Protein Shake, 20g Protein, Greek Yogurt, Low Carb, Gluten Free, Kosher, Ready to Drink (Mo...","https://m.media-amazon.com/images/I/61UuTJFtgrS._AC_UL320_.jpg"
1,2,2,"B074H7KKRV",false,3.29,"USD",0,0,0,5035,4.7,"https://www.amazon.com/dp/B074H7KKRV","23664.50",false,false,false,false,"365 by WFM, Yogurt Plain Organic, 32 Ounce","https://m.media-amazon.com/images/I/71EbwKChOnL._AC_UL320_.jpg"
1,3,3,"B07FYH7W7N",true,2.25,"USD",2.99,0.74,24.75,611,4.8,"https://www.amazon.com/dp/B07FYH7W7N","2932.80",false,false,false,false,"La Fermiere Vanilla Bean, 4.9 Oz","https://m.media-amazon.com/images/I/7122drCrOgL._AC_UL320_.jpg"
1,4,4,"B00108EPCU",false,4.29,"USD",0,0,0,3626,4.8,"https://www.amazon.com/dp/B00108EPCU","17404.80",false,false,false,false,"Stonyfield Organic Whole Milk Probiotic Yogurt, Plain, 32 oz. – Immunity & Digestive Health","https://m.media-amazon.com/images/I/81gYP3nJA5L._AC_UL320_.jpg"
1,5,5,"B002GVK07O",false,1.19,"USD",0,0,0,5619,4.7,"https://www.amazon.com/dp/B002GVK07O","26409.30",false,false,false,false,"Chobani Non-Fat Greek Yogurt, Peach on the Bottom 5.3oz","https://m.media-amazon.com/images/I/816fUmhBH+L._AC_UL320_.jpg"
1,6,6,"B074H64BYN",false,3.29,"USD",0,0,0,2218,4.6,"https://www.amazon.com/dp/B074H64BYN","10202.80",false,false,false,false,"365 by WFM, Yogurt Plain Low Fat Organic, 32 Ounce","https://m.media-amazon.com/images/I/81ZirakkU2L._AC_UL320_.jpg"
1,7,7,"B000QJDYTY",false,4.29,"USD",0,0,0,1200,4.7,"https://www.amazon.com/dp/B000QJDYTY","5640.00",false,false,false,false,"Stonyfield Organic Lowfat Yogurt, Plain, 32 oz. – 7g of Protein, Multiserving Yogurt Snack & Cooking Substitute","https://m.media-amazon.com/images/I/818RKBxjMjL._AC_UL320_.jpg"
1,8,8,"B07DWG98CM",false,3.49,"USD",0,0,0,1679,4.4,"https://www.amazon.com/dp/B07DWG98CM","7387.60",false,false,false,false,"365 by WFM, Yogurt Strawberry 6Pk Organic, 24 Ounce","https://m.media-amazon.com/images/I/810ZjGPgHwL._AC_UL320_.jpg"
1,9,9,"B002GVJZI4",false,1.19,"USD",0,0,0,7227,4.7,"https://www.amazon.com/dp/B002GVJZI4","33966.90",false,false,false,false,"Chobani Non-Fat Greek Yogurt Strawberry on the Bottom 5.3oz","https://m.media-amazon.com/images/I/81hm96+yTWL._AC_UL320_.jpg"
1,10,10,"B008U5OSTQ",false,5.29,"USD",0,0,0,5193,4.8,"https://www.amazon.com/dp/B008U5OSTQ","24926.40",false,false,false,false,"Chobani Non-fat Greek Yogurt, Plain 32oz","https://m.media-amazon.com/images/I/71e2AkwTocS._AC_UL320_.jpg"
2,1,11,"B000VK2LO2",false,4.29,"USD",0,0,0,5168,4.7,"https://www.amazon.com/dp/B000VK2LO2","24289.60",false,false,false,true,"Sponsored Ad - Weetabix Whole Grain Cereal Biscuits, Non-GMO Project Verified, Heart Healthy, Kosher, Vegan, 14 Oz Box","https://m.media-amazon.com/images/I/81gIKNmmgVL._AC_UL320_.jpg"
2,2,12,"B082JYGH3J",false,12.96,"USD",0,0,0,983,4.3,"https://www.amazon.com/dp/B082JYGH3J","4226.90",false,false,false,true,"Sponsored Ad - simplyFUEL KETO Granola | Low Carb Keto Cereal | 1 g Net Carbs | No SUGAR | Gluten Free | Vegan | MCT Oil |...","https://m.media-amazon.com/images/I/61nCuKf8wpL._AC_UL320_.jpg"
2,3,13,"B07JYY4Q2S",false,29,"USD",0,0,0,1498,4.4,"https://www.amazon.com/dp/B07JYY4Q2S","6591.20",false,false,false,true,"Sponsored Ad - Oats Overnight - Dairy Free Variety Pack (8 Meals) High Protein, Low Sugar Breakfast Shake - Gluten Free, H...","https://m.media-amazon.com/images/I/71Y2kqxLlGL._AC_UL320_.jpg"
2,4,14,"B004HK60VM",false,31.99,"USD",0,0,0,918,4.7,"https://www.amazon.com/dp/B004HK60VM","4314.60",false,false,false,true,"Sponsored Ad - Silk Shelf-Stable Soymilk Singles, Very Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 8 oz., 18 Pack","https://m.media-amazon.com/images/I/71XEftNF6bL._AC_UL320_.jpg"
2,5,15,"B00108GRTY",false,4.29,"USD",0,0,0,1369,4.7,"https://www.amazon.com/dp/B00108GRTY","6434.30",false,false,false,false,"Stonyfield Organic Whole Milk Probiotic Yogurt, Strawberry, 32 oz. – Immunity & Digestive","https://m.media-amazon.com/images/I/81tFZcDbNaL._AC_UL320_.jpg"
2,6,16,"B074KHWZML",true,3.15,"USD",4.99,1.84,36.87,4474,4.8,"https://www.amazon.com/dp/B074KHWZML","21475.20",false,false,false,false,"Ripple, Pea Milk, Chocolate, 48 Oz","https://m.media-amazon.com/images/I/714qnhwRZBL._AC_UL320_.jpg"
2,7,17,"B0010XT5GG",false,4.49,"USD",0,0,0,647,4.6,"https://www.amazon.com/dp/B0010XT5GG","2976.20",false,false,false,false,"Wallaby Organic Aussie Smooth Whole Milk Regular Yogurt, Vanilla, USDA Organic, 32 oz.","https://m.media-amazon.com/images/I/71xDvlOOmpL._AC_UL320_.jpg"
2,8,18,"B000O6EFYW",false,3.99,"USD",0,0,0,1226,4.8,"https://www.amazon.com/dp/B000O6EFYW","5884.80",false,false,false,false,"Brown Cow Cream Top Maple Whole Milk Yogurt, 32 oz. Carton - Creamy, Delicious Yogurt","https://m.media-amazon.com/images/I/8144domZc4L._AC_UL320_.jpg"
2,9,19,"B074H5SRHQ",false,3.49,"USD",0,0,0,3793,4.6,"https://www.amazon.com/dp/B074H5SRHQ","17447.80",false,false,false,false,"365 by WFM, Milk 2% Organic Homogenized, 64 Fl Oz","https://m.media-amazon.com/images/I/71SE-uc9rGL._AC_UL320_.jpg"
3,1,20,"B07L9NV8GR",false,22.99,"USD",0,0,0,330,4.4,"https://www.amazon.com/dp/B07L9NV8GR","1452.00",false,false,false,true,"Sponsored Ad - Angel Specialty Products, Blended Smoothie, Frappe Powder Mix, Orange Creamsicle [3 LB] [34 Servings]","https://m.media-amazon.com/images/I/611dp5gcDEL._AC_UL320_.jpg"
3,2,21,"B082JYGH3J",false,12.96,"USD",0,0,0,983,4.3,"https://www.amazon.com/dp/B082JYGH3J","4226.90",false,false,false,true,"Sponsored Ad - simplyFUEL KETO Granola | Low Carb Keto Cereal | 1 g Net Carbs | No SUGAR | Gluten Free | Vegan | MCT Oil |...","https://m.media-amazon.com/images/I/61nCuKf8wpL._AC_UL320_.jpg"
3,3,22,"B072XDJP3Q",false,34.99,"USD",0,0,0,649,4.6,"https://www.amazon.com/dp/B072XDJP3Q","2985.40",false,false,false,true,"Sponsored Ad - Traina Home Grown California Sun Dried Fancy Ruby Royal Apricot Halves - SEASONAL/LIMITED - Healthy, No Sug...","https://m.media-amazon.com/images/I/81Y7clytsGL._AC_UL320_.jpg"
3,4,23,"B000VK2LO2",false,4.29,"USD",0,0,0,5168,4.7,"https://www.amazon.com/dp/B000VK2LO2","24289.60",false,false,false,true,"Sponsored Ad - Weetabix Whole Grain Cereal Biscuits, Non-GMO Project Verified, Heart Healthy, Kosher, Vegan, 14 Oz Box","https://m.media-amazon.com/images/I/81gIKNmmgVL._AC_UL320_.jpg"
3,5,24,"B019P52VMK",true,1.49,"USD",1.99,0.5,25.13,851,4.6,"https://www.amazon.com/dp/B019P52VMK","3914.60",false,false,false,false,"Good Culture, Organic Cottage Cheese - Strawberry Chia 4%, 5.3 Ounce","https://m.media-amazon.com/images/I/91KkHkoJrEL._AC_UL320_.jpg"
3,6,25,"B08NL6SXHY",true,7.99,"USD",9.99,2,20.02,170,3.8,"https://www.amazon.com/dp/B08NL6SXHY","646.00",false,false,false,true,"Forager Project Organic Grain Free Strawberry Os Cereal, 7 OZ","https://m.media-amazon.com/images/I/81YuinZdnJL._AC_UL320_.jpg"
3,7,26,"B01H58WITA",false,44.65,"USD",0,0,0,4,5,"https://www.amazon.com/dp/B01H58WITA","20.00",false,false,false,false,"Easiyo Greek & Coconut Premium Yoghurt Mix 240g (Pack of 6)","https://m.media-amazon.com/images/I/71QwASE6FiL._AC_UL320_.jpg"
3,8,27,"B000WOB94U",false,1.13,"USD",0,0,0,715,4.8,"https://www.amazon.com/dp/B000WOB94U","3432.00",false,false,false,false,"FAGE TOTAL, 5% Plain Greek Yogurt, 7 oz","https://m.media-amazon.com/images/I/41fFgkWUwgL._AC_UL320_.jpg"
4,1,29,"B000VK2LO2",false,4.29,"USD",0,0,0,5168,4.7,"https://www.amazon.com/dp/B000VK2LO2","24289.60",false,false,false,true,"Sponsored Ad - Weetabix Whole Grain Cereal Biscuits, Non-GMO Project Verified, Heart Healthy, Kosher, Vegan, 14 Oz Box","https://m.media-amazon.com/images/I/81gIKNmmgVL._AC_UL320_.jpg"
4,2,30,"B01CUWXD1I",false,15.35,"USD",0,0,0,3225,4.7,"https://www.amazon.com/dp/B01CUWXD1I","15157.50",false,false,false,true,"Sponsored Ad - The Republic of Tea Brain Boost Supergreen Green Tea, Ginkgo Biloba, and Matcha Tea Blend (36 Tea Bags)","https://m.media-amazon.com/images/I/61OzPdXJ3VL._AC_UL320_.jpg"
4,3,31,"B004HK60VM",false,31.99,"USD",0,0,0,918,4.7,"https://www.amazon.com/dp/B004HK60VM","4314.60",false,false,false,true,"Sponsored Ad - Silk Shelf-Stable Soymilk Singles, Very Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 8 oz., 18 Pack","https://m.media-amazon.com/images/I/71XEftNF6bL._AC_UL320_.jpg"
4,4,32,"B07D7ZYFQD",false,19.31,"USD",0,0,0,3307,4.6,"https://www.amazon.com/dp/B07D7ZYFQD","15212.20",false,false,false,true,"Sponsored Ad - CLIF Nut Butter Bar - Organic Snack Bars - Variety Pack - Organic - Plant Protein - Non-GMO(1.76 Ounce Pr...","https://m.media-amazon.com/images/I/81f04Pn0v2L._AC_UL320_.jpg"
4,5,33,"B0772KVKN9",false,7.28,"USD",0,0,0,344,4.5,"https://www.amazon.com/dp/B0772KVKN9","1548.00",false,false,false,false,"Yogurt Starter Cultures - Pack of 3 Freeze-dried Culture Sachets for Authentic Bulgarian Yogurt","https://m.media-amazon.com/images/I/81Srhwqa8tL._AC_UL320_.jpg"
4,6,34,"B01H3UYMZ8",false,6.55,"USD",0,0,0,2,5,"https://www.amazon.com/dp/B01H3UYMZ8","10.00",false,false,false,false,"Easiyo Greek & Rhubarb Premium Yoghurt Mix 230g","https://m.media-amazon.com/images/I/41vGwWeWwOL._AC_UL320_.jpg"
4,7,35,"B07X4GF4ZN",true,1.13,"USD",1.99,0.86,43.22,1042,4.8,"https://www.amazon.com/dp/B07X4GF4ZN","5001.60",false,false,false,false,"Icelandic Provisions 4.4oz Extra Creamy Skyr Yogurt, Vanilla Bean, Icelandic Cultured Dairy Product With 11g Protein Per S...","https://m.media-amazon.com/images/I/71QtkKuwAnL._AC_UL320_.jpg"
5,1,38,"B000VK2LO2",false,4.29,"USD",0,0,0,5168,4.7,"https://www.amazon.com/dp/B000VK2LO2","24289.60",false,false,false,true,"Sponsored Ad - Weetabix Whole Grain Cereal Biscuits, Non-GMO Project Verified, Heart Healthy, Kosher, Vegan, 14 Oz Box","https://m.media-amazon.com/images/I/81gIKNmmgVL._AC_UL320_.jpg"
5,2,39,"B004HK60VM",false,31.99,"USD",0,0,0,918,4.7,"https://www.amazon.com/dp/B004HK60VM","4314.60",false,false,false,true,"Sponsored Ad - Silk Shelf-Stable Soymilk Singles, Very Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 8 oz., 18 Pack","https://m.media-amazon.com/images/I/71XEftNF6bL._AC_UL320_.jpg"
5,3,40,"B01CUWXD1I",false,15.35,"USD",0,0,0,3225,4.7,"https://www.amazon.com/dp/B01CUWXD1I","15157.50",false,false,false,true,"Sponsored Ad - The Republic of Tea Brain Boost Supergreen Green Tea, Ginkgo Biloba, and Matcha Tea Blend (36 Tea Bags)","https://m.media-amazon.com/images/I/61OzPdXJ3VL._AC_UL320_.jpg"
5,4,41,"B072XDJP3Q",false,34.99,"USD",0,0,0,649,4.6,"https://www.amazon.com/dp/B072XDJP3Q","2985.40",false,false,false,true,"Sponsored Ad - Traina Home Grown California Sun Dried Fancy Ruby Royal Apricot Halves - SEASONAL/LIMITED - Healthy, No Sug...","https://m.media-amazon.com/images/I/81Y7clytsGL._AC_UL320_.jpg"
5,5,42,"B00KO2XC3Q",false,5.95,"USD",0,0,0,16,4.7,"https://www.amazon.com/dp/B00KO2XC3Q","75.20",false,false,false,false,"Easiyo Strawberry Yoghurt Mix 230g","https://m.media-amazon.com/images/I/51oJPlT06OL._AC_UL320_.jpg"
5,6,43,"B07FZ4HFQ9",true,4.49,"USD",5.29,0.8,15.12,268,4.8,"https://www.amazon.com/dp/B07FZ4HFQ9","1286.40",false,false,false,false,"Icelandic Provisions, Traditional Vanilla Skyr, 24 oz","https://m.media-amazon.com/images/I/71KlNEqgmCL._AC_UL320_.jpg"
5,7,44,"B07DWSD915",false,0.99,"USD",0,0,0,952,4.5,"https://www.amazon.com/dp/B07DWSD915","4284.00",false,false,false,false,"365 by WFM, Yogurt Vanilla Organic, 5.3 Ounce","https://m.media-amazon.com/images/I/81jKEbF4gZL._AC_UL320_.jpg"
