"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RS0GIW6PHNMMF","B0006006L2","B06XWG9SR4","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Tucorat",4,"Olive oil","My grandmother used it. My ma used it. Now, I use it. I don't use a lot of oil for cooking, but when I do use oil, it's this brand. It's the only olive oil I've ever used. I use butter more often. Sometimes I use a combination of butter and olive oil. I've searched olive oils online, there are MANY, and they can get quite costly. I've read that when buying olive oil, choose an oil that's just from one country, nota combination of countries. I guess if you're that fussy (I'm not)...it's a good idea to research more oils. Use it when cooking, and for salads and dips.",true
"R1P08I7OMN1WJN","B0006006L2","B007L14SAO","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Sandy S.",3,"Perfect for cooking, but Amazon handling is not good","The product/oil is exactly as described & a perfect olive oil for grilling & every day pan cooking. I think it is very good value for money & it works well, but the problem is that when I have ordered it through Amazon, I keep getting dented canisters & like any dented can of food, there is not only the possibility that the food/oil might be leaking, but that air might be getting into the can/canister, so I don't know if I can count on the oil lasting or being good for very long. This is the 3rd canister that I've ordered from Amazon and all have arrived dented, so I have to pour all of the oil into another container in order to keep it & be sure that it doesn't leak on the shelf. I am also worried if air is able to get into the canister as this canister was seriously dented & arrived in a plastic outer wrap. I will try another brand, but am starting to think I will have to either just go to the stores in order to buy this or order through a restaurant supply company because Amazon cannot seem to deliver canned goods that are not smashed.",true
"R2J4FF2QXQHZWS","B0006006L2","B007L14SAO","Reviewed in the United States on August 13, 2021","August 13, 2021",1628834400,"Mo",5,"Mild taste, consistent between mutiple orders, excellent packaging","I love this product. I like olive oil, but don't like super strong virgin oils. This is perfect and can be cooked at relatively high heat for sauteing, etc., relative to virgin oils. Metal can packaging is solid, spout works well. My only ""complaint"" is that it doesn't have a secondary open/close air vent to improve pouring. I remedy this by punching a tiny hole on the furthest away from the spout with a sharp knife (cheap serrated steak knife - never use a knife you like for this task, I guess if you want to be technical, should use an awl). Then I cover the hole with some heavy duty tape when I'm not pouring to reduce the chances for rancidification. Suggest storing in a cool, dry place.",true
"R10OB48H7M2HA6","B0006006L2","B06XWX4XDY","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Revike4",5,"Larger bottles to add to offerings.","The product was too small.",false
"R3CHDC4579X165","B0006006L2","B0006006L2","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Olivia M.",5,"Berio olive oil makes food taste better!","This is my favorite olive oil because of it’s lightness and taste. It makes everything taste better.",false
"R2WTFMQ589V9ID","B0006006L2","B0006006L2","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Amazon Customer",5,"Tasty","Tasty",true
"R1TMVZFHS2DQBO","B0006006L2","B0006006L2","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Heather Green",5,"The Very Best","My Italian Grandmother only used this olive oil and so do I. Nothing beats it for flavor whether for marinades, light frying or in the oven. To my family, it’s the best.",false
"R36YB6CALKDBBX","B0006006L2","B0006006L2","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Roxane Rosalinda Marek",3,"Smokes at high temperatures.","The flavor is good but it smokes at high temperatures.",true
"RKCIVKDWSZ6ZA","B0006006L2","B0006006L2","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Harry W",5,"Great","Great",true
"R26Z9MYB66FSIP","B0006006L2","B007L14SAO","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Jerome B.",1,"Nothing of a good traditional olive oil","This oil tastes like cheap veggie oil! It was a pure disappointment...",true
