"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1W3QG1TAX7ICB","B000O6EFYW","","Reviewed in the United States on May 14, 2021","May 14, 2021",1620972000,"Amazon Customer",5,"so glad to find","FAVORITE",true
"R348DZPKN6PKTD","B000O6EFYW","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"Marie H.",3,"Used to be great","This was a great product years ago they used real maple syrup to flavor and sweeten itNow it’s ore sugar and favoring",true
"R3C89VF1DB5YS2","B000O6EFYW","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Bdog",5,"Best Yogurt","I'm in love with this maple yogurt, great w/ fruit or granola. And it is delicious.",true
"R1XLYRIHKAH7O8","B000O6EFYW","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"mb",5,"Awesome","Very creative",true
"R31S7MN6FUUJRQ","B000O6EFYW","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"JusBe",3,"Meh","Heavy on the maple flavoring.",true
"R3AMQWV1I8FV7R","B000O6EFYW","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"jantara",5,"Yum","Best flavor & taste Ever!!!",true
"R2IE0D8ATZRPT","B000O6EFYW","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Linda K McLoon",5,"Absolutely the Best Yogurt You Can Buy!","A few years ago I did a massive taste test with all the yogurts you can buy at Whole Foods. By far, this is the top of the probably 15-20 different brands they sell. It is creamy, and the maple flavor is not too sweet. It is like eating ice cream. Honestly, I love this yogurt. It is the only brand I now buy. I love this topped with muesli and fresh berries. I love the layer of thick yogurt cream on the top. Ethereal!!!!",true
"R1YGM5RA8GTHQW","B000O6EFYW","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Cheryl Bowden",5,"My favorite yogurt","My favorite yogurt. Good to cook with too",true
"R1AG8YH7ZV7P13","B000O6EFYW","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Lindsay",5,"Best. Yogurt. EVER!","What’s not to like about this yogurt? This is sheer perfection in a container. The flavor, the thickness, the smell....nothing holds a candle to this yogurt.",true
"R2IVXOTFZJQQBC","B000O6EFYW","","Reviewed in the United States on February 14, 2021","February 14, 2021",1613286000,"Michelle",5,"Devine","I'm addicted to the delicious pure fresh maple flavor and creamy texture.Not too sweet.Better than ice cream!",true
"R1C9NWWKR4K2TW","B000O6EFYW","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"josie",5,"Love this product!","I buy the maple flavored, which is delicious! I have also bought the plain yogurt, again delicious! Would recommend. I won't buy another brand!",true
"R2GV22NIHWFTI","B000O6EFYW","","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Luminous 1111",5,"Was addictive","I have never had tasted yoghurt with maple flavor. I was hooked. I ate a lot of it to the point where my body smelled like Maple Syrup. I really thought I had a disease. It took about four days not to smell like the yoghurt anymore, after I went cold turkey on it. It's crazy, but the Brown Cow yogurt flavors are the next best thing to a wedding cake flavor. Creamy, rich and really addictive. It gives Chobani a good competition. I haven't had this good of a yogurt, since I left Germany. Germany has the best varieties, and I'm happy that I tried this out (now I'm eating a little less of it,lol), and it helps to substitute it from far away. Best yogurt taste ever!",true
"R1W0HI2D3M0LVK","B000O6EFYW","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"R.J. Karhen",5,"Like maple pudding that's not too sweet","This is less sour and more sweet compared to other yogurts, but compared to maple pudding it's not so sweet. The texture is closer to pudding than regular yogurt.",true
"R5SLKYNLFJEUI","B000O6EFYW","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Kimberly Booth",5,"So yummy you’ll think it’s ice cream","Maple is not in my flavor palette but the Maple is by far my favorite",true
"RUGI5GT27Y8VO","B000O6EFYW","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Grace E. Ackerman",5,"A Wonderful Rich ""Dessert"" with strong maple flavor.","I've always liked Brown Cow Yogurt, and the maple is my absolute favorite.I often use it as dessert.Yogurt was very fresh, but also keeps well while sealed.",true
"R3JPB2GADRW0DP","B000O6EFYW","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"L.B.",3,"Very sweet","I like maple yogurt in general. I like Brown Cow yogurt in general. But this was too sweet, and I found there is added sugar beyond the maple syrup! Why would this be necessary?A small serving left me feeling like WAY too many pancakes on Sunday morning.Also, to my surprise, after one serving, and going back to the opened container, the place was aswim in a watery soup which didn’t seem like the usual whey that collects in yogurt normally. It was as though the yogurt was dissolving, and quickly. I bought two big containers, and this was happening in both.That said, we did manage to eat it all, and it was okay.",true
"R23S682Y6DM6IY","B000O6EFYW","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Frederick C.",5,"Yummy","Yummy.",true
"R2ZGKY91CXQ42T","B000O6EFYW","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Tammie",5,"Absolutely the best I have ever tasted!","Omg. Omg. Please treat yourself with this unbelievable superfood!",true
"R3EVHY93ULXQOF","B000O6EFYW","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"Herblady22",5,"NOT TOO MUCH SUGAR","This is quite good, without much sugar, and if I can't find coffee flavor,I get maple.I appreciate that it has less sugar.",true
"R18GMRTVHTWB2J","B000O6EFYW","","Reviewed in the United States on June 12, 2021","June 12, 2021",1623477600,"Gold",5,"Fresh and delicious","Very fresh tasty and healthy",true
