"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R8TBSLKNW11XS","B000O6ICE6","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Pauline",5,"Best yogurt in a long time","My baby and I love this yogurt especially the maple leaf flavor it smells and tastes so good.",true
"R1UBYQEUEX6X84","B000O6ICE6","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"Amazon Customer",5,"best there is","totally yummy",true
"R382GN1VL6OZ8Q","B000O6ICE6","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Kindle Customer",5,"Healthy and Yummy","Super love this extra creamy yogurt, really enjoyable",true
"R3P2HYOF1TNEWT","B000O6ICE6","","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"Mema",5,"Made from whole milk","Best yogurt I have ever tasted DELICIOUS",true
"R2SXHRHB6PM08I","B000O6ICE6","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"N. Franke",5,"Delicious","I think Brown Cow is the best yogurt on the market today. It's sweet without being overly sweet and it has a nice texture. Even my super-picky son likes it.",true
"R26ENQG069G53A","B000O6ICE6","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"Emichan",5,"This is very sweet and delicious","This is very sweet and delicious",true
"R7X0ILD7860QT","B000O6ICE6","","Reviewed in the United States on April 9, 2021","April 9, 2021",1617948000,"INFJ-a",2,"good but CAUTION","I do like the textureof this yogurt overall. The yogurt is very smooth, slimy but VERY very sweet. The second ingredient on the label is sugar, therefore it contains a significant amount of it. Totalsugar reads 22 grams (32%). That is a huge load of sugar in a tiny cup of yogurt.This is my first and last time purchasing this yogurt and brand.Watch out if you want to eat healthy. This no good as yogurt.",true
"R3VMX257653G5T","B000O6ICE6","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Nicamundo",5,"Best yogurt","My favorite yogurt. All the flavors are wonderful.",true
"R9GD6ZV85E5AH","B000O6ICE6","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Amazon Customer",5,"Like Brown Cow yogurt.","Brown Cow is good whole milk yogurt, not Greek which I prefer but its healthy with simple ingredients",true
"R2DEHBNFWR8IYE","B000O6ICE6","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"DW",5,"Great if you aren't looking for thick Greek Yogurt or Kefir","Sometimes I eat the cream on top first before mixing . One if a few brands that has a maple flavor, although strawberry and vanilla are my favorites",true
"R2IBQBFBDA6FIV","B000O6ICE6","","Reviewed in the United States on October 17, 2020","October 17, 2020",1602914400,"Amazon Customer",5,"Delicious","Best yogurt ever. The black cherry vanilla is by far my favorite. I eat it every morning.",true
"R1QJOUSSIRW7GT","B000O6ICE6","","Reviewed in the United States on October 11, 2020","October 11, 2020",1602396000,"icecubes",5,"delicious","just perfect, not too sweet. Best yogurt brand ever.",true
"R2JUTQZR70V9W9","B000O6ICE6","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"Notorious B",3,"Too danged sweet","This could be a great yogurt, but it's so sugary that it's kind of hard to eat--for my palate.",true
"R2E0LDT6N1BINL","B000O6ICE6","","Reviewed in the United States on July 18, 2020","July 18, 2020",1595052000,"VitaminABCDE",5,"Worth the value","Always one of my favorite yogurt brands in Whole Foods. Not as expensive as other brands, but taste great!",true
"R2N3BG6RJ3ELMZ","B000O6ICE6","","Reviewed in the United States on July 14, 2020","July 14, 2020",1594706400,"NS/ SCB",5,"Delicious, but high sugar","Delicious yogurt. Absolutely out of this world!Unfortunately the sugar content is so high , I’m scared to buy these now.",true
"R2X975FPTEM7M5","B000O6ICE6","","Reviewed in the United States on June 24, 2020","June 24, 2020",1592978400,"L. Rockhold",5,"The Best!","Brown Cow Cream topped yogurt is my number one favorite. Being a strawberry-lover, the strawberry on the bottom is the cherry on top, so to speak!My favorite dessert/bedtime snack!The cream is so creamy, you almost forget that you're eating yogurt. Not that yogurt is a bad thing oh, but it's not a cream puff.....Unless it's Brown Cow Cream top yogurt!Absolutely the best ❤️ ❤️!",true
"R2QINLSNV2QPHZ","B000O6ICE6","","Reviewed in the United States on June 15, 2020","June 15, 2020",1592200800,"Crazy Granny",5,"Great","Great",true
"R36468OVM5QBFF","B000O6ICE6","","Reviewed in the United States on February 2, 2020","February 2, 2020",1580626800,"hulagirl1017",3,"Gross","gross. Trader joes brand is better",true
"R263DDSS8X1192","B000O6ICE6","","Reviewed in the United States on December 31, 2019","December 31, 2019",1577775600,"Kat",4,"What's not to love?","I discovered this product a few years ago at a Whole Foods. I love cream on the top full-fat yogurt, so as soon as I saw this had that, I was sold.I prefer the blueberry best from their fruit yogurts. The strawberry one is great tasting, but unlike the blueberry yogurt where the berries remain firm, like most strawberry yogurts, it tastes more like jam mixed in due to the limp strawberries and the extra sugars released.Still, having tried many yogurts in my life, this one is always in my top two brands. It's creamy consistency is the same as the other brands, so you really can't lose. Plus,it's organic and the taste is real, not fake.",true
"R1SBEVP9MH2LKK","B000O6ICE6","","Reviewed in the United States on December 20, 2019","December 20, 2019",1576825200,"Nicole H",5,"The most delicious yogurt ever","The cream top is absolutely delicious. My favorite yogurt brand",true
