"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1O2F7K38EQZHO","B000Q5K1NK","","Reviewed in the United States on February 8, 2017","February 8, 2017",1486537200,"LYN",4,"Four Stars","Product delicious . I'm concern two can was bent",false
"R34GSQUOSM2BJH","B000Q5K1NK","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"cki",5,"Delicious","Absolutely delicious especially in recipes.",true
"RLLI53O0YJZME","B000Q5K1NK","","Reviewed in the United States on April 30, 2021","April 30, 2021",1619762400,"Dustin D.",4,"Usually great.","This brand usually tastes great and has great texture and color. In the past, I've occasionally gotten cans in which the fruit was pale, bland, and slightly tough.",false
"R3KF5VFSORLZNS","B000Q5K1NK","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Grant C.",5,"Pineapple in a Can","They only thing better is an actual pineapple.",true
"R1VQG7ETBWVJ71","B000Q5K1NK","","Reviewed in the United States on October 11, 2020","October 11, 2020",1602396000,"Greg & Elaine C",5,"GREAT","Great pineapple 🍍",true
"R2NAD8ONDPBQ0U","B000Q5K1NK","","Reviewed in the United States on September 3, 2020","September 3, 2020",1599112800,"BrenIris",5,"Great","A great product at a great price.",true
"R2O3QDC91S0RDQ","B000Q5K1NK","","Reviewed in the United States on July 11, 2020","July 11, 2020",1594447200,"Paul Marshal",5,"Classic","Good ol dole pineapple in a can. Who doesn’t remember taking a cold can out of the fridge and opening it and sipping the juice.",true
"R2VHYBNBOWVTKS","B000Q5K1NK","","Reviewed in the United States on June 14, 2020","June 14, 2020",1592114400,"Amazon Customer",5,"Pineapples like the ones from school","My kid said she was craving pineapple but the kind they served at school. I already knew what she was talking about so I ordered this can for her and got it the same day. As soon as I gave her the bowl she said she could tell they were the “good” kind because they smell just like the ones her school serves. Happy child. Happy mother. These are good though.",true
"R3NWRPQ3DB2M3U","B000Q5K1NK","","Reviewed in the United States on January 12, 2020","January 12, 2020",1578812400,"Team Hubbs",4,"Yummy","Wish it came in a jar",true
"RIOG846FE62H6","B000Q5K1NK","","Reviewed in the United States on January 15, 2019","January 15, 2019",1547535600,"Kaj",2,"No flavor","No flavor",true
"R15Y31K9IM9NFU","B000Q5K1NK","","Reviewed in the United States on August 17, 2017","August 17, 2017",1502949600,"Remedios A.Reboja",5,"Dole is the best!","I like anything Dole.",true
