"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RG4DOAO0C63TU","B000QJDYSA","","Reviewed in the United States on December 24, 2019","December 24, 2019",1577170800,"Sam",5,"Pasta de la Pimpi Supremacy Mixto Puseela","Picas wimpinasv pizzanish? CorectoMundo!!!!!! Canista pusheela mezzo putzish . Sucata pushertesticlizzas erecto cumisela de la BA una",true
"R1W6VUCUZR2V3S","B000QJDYSA","","Reviewed in the United States on November 12, 2017","November 12, 2017",1510470000,"alexa",5,"Five Stars","Kids were happy!",false
"RB91R47NTGLK","B000QJDYSA","","Reviewed in the United States on October 25, 2017","October 25, 2017",1508911200,"Amazon Customer",5,"Five Stars","kids really enjoyed!",true
"REI496JYEEVKU","B000QJDYSA","","Reviewed in the United States on September 25, 2017","September 25, 2017",1506319200,"nic",1,"One Star","arrived expired so so disappointed considering fresh is a new service",true
"R1VTL9KL69I1IB","B000QJDYSA","","Reviewed in the United States on January 5, 2017","January 5, 2017",1483599600,"Aliza Hausman",5,"Tasty treat for toddler","My 20-month-old son loves these. He loves the Mighty 4 yogurt pouches from Plum Organics but he's old enough to spoon himself some yogurt so I got these. He can't really use the squeezer function yet but I like the serving size. They are very tasty if I do say so myself.",true
"R1FOLABV4PQ6YT","B000QJDYSA","","Reviewed in the United States on August 30, 2016","August 30, 2016",1472536800,"MrsC",5,"Great uses if frozen too","My kids go nuts over these. I freeze them and use like popcycles or drop in their lunch to thaw by lunchtime. Best deal I've found on here is $2/box",true
"R1Q0OBP0TT8ZAW","B000QJDYSA","","Reviewed in the United States on July 23, 2016","July 23, 2016",1469253600,"L. Parady",5,"Great frozen too!","We freeze and my kids think they are a treat!",true
"REMSJ5H51JH86","B000QJDYSA","","Reviewed in the United States on May 16, 2021","May 16, 2021",1621144800,"JusBe",5,"All Nanny’s Babies Love These!","Even my 35 year old baby ;) Great from the fridge or as a frozen pop!! Stonyfield for all the kids in your Peter Pan life!!",true
"R15VQVNNIL8IHG","B000QJDYSA","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Mia",5,"I like it","I like it but to expensive",true
"RXP4IR22QS71H","B000QJDYSA","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Lori",5,"Freeze them!Then cut in half for a treat.","The kids love it when we freeze these then we can just snap them in half and it's an easy frozen snack/treat for them that I approve of.Getting a bit of calcium in them.",true
"R354LNLLZXIIO9","B000QJDYSA","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Jonathan E. Davis",5,"Yummy","Great",true
"RG282GG3Y6QAP","B000QJDYSA","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"S. Smith",5,"Kids love it","My daughter love this yogurt",true
"RAXNNZ30XL11T","B000QJDYSA","","Reviewed in the United States on October 21, 2020","October 21, 2020",1603260000,"Bcat20",5,"Daughter loves these frozen!","My daughter enjoys a frozen one of these everyday!",true
"R30ML17D965R61","B000QJDYSA","","Reviewed in the United States on September 29, 2020","September 29, 2020",1601359200,"Bettina Compass",5,"Perfect snack when frozen","Freeze them and put them in the lunchbox your perfect snack mid day for school. They don’t have a lot of sugar in them and my kids love them",true
"ROZVWM6G2E61N","B000QJDYSA","","Reviewed in the United States on June 2, 2020","June 2, 2020",1591077600,"Amazon Customer",5,"Freeze for a Happy Kid","My 2 year old thinks he’s getting a neat treat when I freeze these yogurt tubes.He even puts on his mittens to hold it, lol.As a mom, I steal these every now and then too.The flavors are tasty, and I like that you get 8 in the box.",true
"R2ZNI7PKDJV8OF","B000QJDYSA","","Reviewed in the United States on May 31, 2020","May 31, 2020",1590904800,"Amazon Customer",5,"Organic","Great",true
"RTCR8L2SBEIMO","B000QJDYSA","","Reviewed in the United States on December 31, 2019","December 31, 2019",1577775600,"Danny G",2,"Too much sugar","Too much sugar",true
