"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R23N0E86PIGA45","B000QJDYTY","","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"sosu",1,"horrible taste, full of pectin","If I could give zeroor negative rating, I would do. I hate the taste of this yogurt. it's sweet and full of pectin, as if some sugar was added to it. a natural yogurt doesn't need pectin and the taste is not sweet. a natural taste of yogurt isslightly sour .",true
"R3UAP9UBHK53WT","B000QJDYTY","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"star arrow",5,"Great yogurt","High quality yogurt with smooth consistancy",true
"RHU2KNVOAOXKO","B000QJDYTY","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Jane Doe",3,"Nice low-fat yogurt","It’s fine if you like low-fat yogurt.I prefer whole milk yogurt. Not for me.",true
"R13R3Z3N6SMCAI","B000QJDYTY","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Christy V",4,"Ok","Ok",true
"R3MOTR760GPTOB","B000QJDYTY","","Reviewed in the United States on December 19, 2020","December 19, 2020",1608361200,"dietmar Henning",4,"price","Quality is excellent and these are normally on stock. The price is rather high, there are cheaper options at Whole Foods.",true
"R262U2W81SV5VK","B000QJDYTY","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"Paula Atkinson",5,"My Fav Yogurt - Hands Down!","This is my favorite yogurt hands down. I've tried many, many brands. 1st of all, I only buy organic dairy products (because all the growth hormones and antibiotics and crud they're fed comes out the milk).What I love about the Stonyfield is it always has a nice, thick yet creamy texture and a really good flavor. I stopped buying sugary, fruity yogurt a long time ago and just by plain now. I add a little honey to it and then top with cinnamon fruit and nuts. So healthy for you!Love this yogurt!",true
"R3A0CZLZ03TC8M","B000QJDYTY","","Reviewed in the United States on October 3, 2020","October 3, 2020",1601704800,"Top Reviewer",5,"Best tasting plain yogurt ever!","Best tasting yogurt ever! This is how the natural yogurt tastes without the jelliness and stickiness.",true
"R3LAD4SZ9L0PM7","B000QJDYTY","","Reviewed in the United States on June 28, 2020","June 28, 2020",1593324000,"Gary S. Rotella",5,"Love Stonyfield!","I have purchased Stonyfield yogurt many times! What can I say! I love it! Tatse great & good value! Will be buying again! Try it if you love yogurt!",true
"R1VRDMU7IN7WSO","B000QJDYTY","","Reviewed in the United States on June 6, 2020","June 6, 2020",1591423200,"Amazon Customer",5,"My husband's long-time favorite yogurt","We've been buying this exact yogurt (low fat plain) for years, and have remained very happy with it. We don't like Greek yogurt and other brands of regular low fat plain yogurts taste a little too sour. With some nice fruit or berries, nothing else is needed. A great way to enjoy yogurt without excessive sugars added.",true
"R2BXK4BLYKIYDI","B000QJDYTY","","Reviewed in the United States on May 26, 2020","May 26, 2020",1590472800,"Yuelong",5,"It tastes very good","It is a little sour, but it tastes very good. I like it!",true
"RZY512BRSZBOR","B000QJDYTY","","Reviewed in the United States on March 19, 2020","March 19, 2020",1584597600,"Ana",5,"Healthy snack for the day","It tastes great with granola and fruit",true
"R237KR74JGNX5Z","B000QJDYTY","","Reviewed in the United States on October 9, 2019","October 9, 2019",1570600800,"Jessé",5,"ok","0k",true
"R2BWNX8W5PIEQH","B000QJDYTY","","Reviewed in the United States on August 28, 2018","August 28, 2018",1535436000,"Katie Rinde",5,"Ethical values, great yogurt","Stonyfield is a great company! Ethical values and great makes for great tasting yogurt",true
"R26HOB6L11IUJ3","B000QJDYTY","","Reviewed in the United States on January 31, 2017","January 31, 2017",1485846000,"F.G.",5,"Five Stars","Good product.",true
"RISVRN86RAMDH","B000QJDYTY","","Reviewed in the United States on November 9, 2016","November 9, 2016",1478674800,"Ana Maria",3,"not bad, but not what I expected","This is indeed smooth and creamy yogurt, but not as thick as Greek yogurt. It has a almost odd taste for yogurt, not bad, but not what I expected. It's more on the sour side, but it worked great for breakfast with cereals or as a snack with fruits. I wouldn't use it for savory meals, like adding to salads as dressing or as a side for taco night.When you store it in the fridge, there is a lot of liquid separation. You need to stir very well each time you use it.Product arrived fresh and in very good conditions.",true
"R263EVNRN21RW0","B000QJDYTY","","Reviewed in the United States on October 5, 2016","October 5, 2016",1475647200,"Amazon Customer",5,"Five Stars","pure greek yogurt",true
"R3BRM92TZVDI8Z","B000QJDYTY","","Reviewed in the United States on September 10, 2016","September 10, 2016",1473487200,"Amazon Customer",5,"Five Stars","My Favorite!!!",false
"R3IF8N6S9M5VGL","B000QJDYTY","","Reviewed in the United States on August 30, 2016","August 30, 2016",1472536800,"Vinay Radhakrishnan",5,"Yummy","Just your regular yogurt provided to you very conveniently and well packaged.",false
"R1H38B966DJUEC","B000QJDYTY","","Reviewed in the United States on July 22, 2016","July 22, 2016",1469167200,"Wonder It",5,"My favorite brand of organic yogurt","Very high quality organic yogurt. This is the only brand I purchase for its taste and high amount of active cultures. A lot of nutritionist also recommend consuming this brand for breakfast.",false
