"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R23SF0HAQVZW0G","B000VK1170","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"Jay D.",5,"Love love love these cookies","Love love love these cookies and my grandson loves them as well “)",true
"R3H9R6D5U187Q","B000VK1170","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Lindsay",1,"not good","This might be ok to give a child who has never had real cookies before, but these are just not good.I taste baking soda and flour and that's about it.",true
"R26UCFCZQ3JHFC","B000VK1170","","Reviewed in the United States on January 5, 2021","January 5, 2021",1609830000,"She She",5,"Nice flavor","Baby, Mom & Grandma loves them!",true
"R36CPF1LG5VTSR","B000VK1170","","Reviewed in the United States on October 6, 2020","October 6, 2020",1601964000,"Logan skeen",5,"This flavor is so good","Love the taste of these tried them out before giving them 5o my 2 year old who loves seseme street.",true
"R11JQX2MKA3MNK","B000VK1170","","Reviewed in the United States on July 4, 2020","July 4, 2020",1593842400,"Vee",5,"Kids love them","Good snack",true
"R331KMN0O9X1EY","B000VK1170","","Reviewed in the United States on June 1, 2020","June 1, 2020",1590991200,"Robert C Majernik Jr.",5,"Love them","I love these cookies they are my favorite.",true
"R2DAG94VVQRLFU","B000VK1170","","Reviewed in the United States on May 13, 2020","May 13, 2020",1589349600,"Samantha",5,"Actually good!","My toddler really likes these.",true
"R1Q98BWRRYA06J","B000VK1170","","Reviewed in the United States on February 26, 2020","February 26, 2020",1582700400,"Lakshana Huddar",5,"Great product","My toddler loves these!",true
"R3KIXTB7UUX3HM","B000VK1170","","Reviewed in the United States on December 29, 2019","December 29, 2019",1577602800,"Chas ",5,"Wonderful Cookies","I’ve purchased these cookies for my 2-year old grandson several times.He absolutely loves them!",true
"R2UM56DEPVCH8G","B000VK1170","","Reviewed in the United States on January 5, 2019","January 5, 2019",1546671600,"Amazon Customer",5,"Great","Super",true
"RY909MCG7NXQ0","B000VK1170","","Reviewed in the United States on July 26, 2018","July 26, 2018",1532584800,"Esmeralda",1,"Tampered with","It was definetly tampered with, i tought the box was just not sealed corectly but then i looked at the bag and you can tell by the way the bag was sealed, idk if someone returned it or what but not buying anymore food",true
"RLOKDEPPWYGSA","B000VK1170","","Reviewed in the United States on May 31, 2018","May 31, 2018",1527746400,"Rush",5,"Cookie monster has good taste.","So delicious.Adults and kids in my home enjoy these.Helps little kids learn letters and older kids spell words. Their nutritional content is not bad and they appear to be vitamin- fortified with B12 and others.",true
"R23I7KKBF4IWK0","B000VK1170","","Reviewed in the United States on December 24, 2017","December 24, 2017",1514098800,"IShopAlotonAmazon",5,"Nice low sugar, organic snack.","I love organic snacks and every once Iawhile I need something to snack on without getting a lot of processed junk.These taste good but not overly sweet or sugary.",true
"R3DRU66OQOA2Z5","B000VK1170","","Reviewed in the United States on August 23, 2017","August 23, 2017",1503468000,"Lady Smith",5,"Five Stars","Box was busted when it arrived but the cookies were okay.",true
"R2AAGAJFFMD9J8","B000VK1170","","Reviewed in the United States on December 25, 2014","December 25, 2014",1419490800,"Colleen Cassidy",5,"My son is one year old and he loves these ...","My son is one year old and he loves these cookies! He eats them whole.The ingredients are healthy and organic so imdomnt mind giving him a bunch.Now I must buy more.",true
