"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1RHV0L0ZURL3S","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Noah B.",5,"High fibre and tastes great with milk and honey","See headline",true
"R1230NZJKJCVUU","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"B. M. Gulick",5,"Almost as good as the British version","This is a great stand-in for the British version of the cereal. It doesn't taste exactly like it but it's close enough to still be delicious!",true
"R2OMRP1N779Z8M","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Susan Anderson",5,"I can eat this without any digestive issues whatsoever.","I have issues with stomach cramping and can peal the paint off the wall, but I think you understand.I like everything about this cereal I can eat it cold for hot days or heat it up for cold days. It can be served with almost anything from fruit to spices, such as cinnamon.It is economical and a box lasts me a while. I am going to go ahead and sign up for auto ship as I cannot get it here.I received a box today and am glad because I ate the last of a box yesterday.It's good, just ask my happy tummy.",true
"RVHEK20BNJGXU","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"teresa",5,"Great Value","Best price for this cereal I could find anywhere.",true
"R3JGICYLGAEACU","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Barrett",5,"taking me back in time","I grew up eating weetabix so it was great actually seeing this online.I wasn't sure the taste would be the same so it was a pleasant surprise when i took the first morsal.It transported me back to my childhood!",true
"R1WJFCNVG520XC","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"Jennifer Margolis",5,"My favorite breakfast cereal","Great, convenient way to get my favorite breakfast cereal since it is no longer available at our local Trader Joe's. Reasonable price also.",true
"R1D5YH1W5OX28W","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Steven Nelson",3,"There is no sugar.Great for diabetics.","I missed my usual sugar.I can't remember the price.",true
"R3W58L7X7D7DIK","B000VK2LO2","B015HW6A5E","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"R. GALVEZ",5,"Best cereal","The best cereal i ever had,low sugar,best taste.",true
"R1JWEQ2UQTWFHY","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Mine Altun",5,"I like to taste","I love it",true
"R2QI80R9K84U4R","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"The Rebecca Review",5,"Crunchy Morning Cereal - Best with Cold Milk or Almond Milk","Weetabix is a cereal I remember from long ago and I used to make it with warm milk in the winter. In the spring and summer it is however delicious with cold milk and a little muscovado sugar sprinkled on top. It retains its crunchiness for quite a while and does not get mushy like with warm milk. I enjoy this in the morning with a mug of Jasmine tea.~The Rebecca Review",true
"R3CDATW2HCYCUC","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"SARGuy",5,"Tasty as ever","Arrived on time,'sell' by date way out in the future, well packed - good product.Will not hesitate to buy from this vendor again.",true
"R136T6RREWL5LG","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 9, 2021","September 9, 2021",1631167200,"Andrew F. Earney",5,"Loved since I was a kid","I love Weetabix. Glad I can get them in America.",true
"R1CRVK7YMQA2GS","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Emily B.",5,"Love this cereal!","This was one of our favorite cereals from Spain. We are so glad that we found it on Amazon. Highly recommend!!!",true
"R1I7AE3OG96IT9","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Pampoentjies",1,"Tastes Like Cardboard","The cardboard box they came in had more flavour than the actual contents.Made in Canada and not Great Britain; the difference is quite striking.I would not recommended them for British Ex Pats.",true
"RFXIEDXL1VMQR","B000VK2LO2","B015HW6A5E","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Chris Hamilton",5,"Old merchandise","These were simply getting ready to expire and were sent. They are expensive to but online but use to be worth it. They can’t be returned or replaced apparently.",true
"R2G7WIGBKDCH3E","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Amazon Customer",4,"Good value","The 6 pack is a good value for money. The BBE is February 2021 which is less than the 180 days that Amazon holds 3rd party sellers accountable for. It's a BBE which is different from Expiry date so this will be good even after February 2021. If only buyers understands that a BBE is not an expiry date.",true
"R39TKJXO65P4L6","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Josh",5,"Great value","Highly recommended",true
"R3I9DL8RVJPTUT","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"LJ",5,"YUM!!!","Love this cereal. Hard to find in shops.",true
"R3C39HN4IVT8NG","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Pokémon",3,"Good Cereal, but Expensive","Good taste and freshness, but seems over-priced.",true
"R2MI569J0GFWI6","B000VK2LO2","B000VK2LO2","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"Goran",5,"Our kids love it","My wife is from UK and was the one that introduced Weetabix to our family. Both kids love it and I also like it. It does not keep me full for a long time but its good.",true
