"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1YJYQJLGEFUVG","B000VR81IA","","Reviewed in the United States on June 10, 2020","June 10, 2020",1591768800,"ronparr",5,"Great for 2-ingredient dough","Fage is my favorite mass-market Greek yogurt, and this doesn't disappoint. Of the Greek yogurts on the market in the U.S., I find this the richest and least acidic at any fat level.At 7oz, it's a bit larger than your typical 5.3 oz greek yogurt container. I use it for making 2-ingredient dough. I mix it with 1 and 1/3 cups (plus a little extra to round off the 1/3 cup) self rising flour. This is a little more flour than some recipes call for, but I find it makes easier to work with.",true
"R2WGATC21ZMS4","B000VR81IA","","Reviewed in the United States on June 6, 2020","June 6, 2020",1591423200,"Anna T",5,"Very versatile","I love keeping a container of this plain Greek yogurt on hand to mix into batter or combine with cucumbers for a quick side.",true
"R2KASZON18RFDI","B000VR81IA","","Reviewed in the United States on June 1, 2020","June 1, 2020",1590991200,"Marcia",5,"Flabor","I have eaten this yogurt for years good value and product",true
"R1AJCPWV3IFS3N","B000VR81IA","","Reviewed in the United States on May 30, 2020","May 30, 2020",1590818400,"Anonymous",5,"Pure protein!","Finally a REAL Greek yogurt. You can tell a proper Greek yogurt from its protein content and the texture - it should be solid and not 'flow'.",true
"R2QL6XMILOCOAQ","B000VR81IA","","Reviewed in the United States on April 28, 2020","April 28, 2020",1588053600,"Carolyn R.",5,"Creamy thick yogurt","Very thick creamy yogurt - high protein and low sugar - mixes well with fruit and granola!",true
"RFZC6UQJU1RQQ","B000VR81IA","","Reviewed in the United States on March 29, 2020","March 29, 2020",1585461600,"Jon",5,"Fresh","Great low fat Greek yogurt",true
"R13XYBOFVNE6RO","B000VR81IA","","Reviewed in the United States on March 21, 2020","March 21, 2020",1584770400,"ella zalevsky",5,"Protein","Love it",true
"R10Y66Y3DBEJP6","B000VR81IA","","Reviewed in the United States on February 27, 2020","February 27, 2020",1582786800,"Amazon Customer",5,"Absolutely love!","The best Greek yogurt!",true
"R3JBSZ5S2K8NGD","B000VR81IA","","Reviewed in the United States on February 20, 2020","February 20, 2020",1582182000,"MARILYN",5,"The best commercial Greek yogurt","The original Fage yogurt was made in Greece and was even more delicious than the American made product they now sell. And it is delicious. 0%, 2%, 5% (from whole milk). It tastes more like crème fraiche than like what other manufacturers call ""Greek yogurt"". Excellent source of protein. Get ""better bang for the buck"" by adding your own fruit and/or honey.",true
"R39JU6YZQDNHHC","B000VR81IA","","Reviewed in the United States on January 13, 2020","January 13, 2020",1578898800,"Dennis Kennedy",5,"The gold standard","What's to say? Fage is the only yogurt I eat these days, because it's practically the only actual yogurt out there. It's not adulterated with gums, fillers, flavorings, or other, cheaper ingredients. It's not watered down with whey, to increase the volume at the expense of food value.Milk, cream, cultures. That's it. That's all it should be. If your plain yogurt has anything else in it, buy this instead.",true
"R3E712NRNYSJV9","B000VR81IA","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Adrienne",5,"Great consistency and flavor","Like the thickness of Fage yogurt.Great substitute for sourcream either in recipes or as a topping on foods",true
"R2HCJ73Y8OVA7M","B000VR81IA","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"Enoch Hodgkinson",5,"best item on amazon","possibly the best item on amazon",true
"R1HQIWVRTBX3PF","B000VR81IA","","Reviewed in the United States on February 12, 2021","February 12, 2021",1613113200,"Embeth",1,"Be careful if you have a dairy sensitive tummy.","There is nothing wrong with the look or the taste except my tummy could not digest this product.I tried it a few times to make sure but each time, I got a stomach upset that was undeniably related to this yogurt.I drink Stoneyfield’s organic protein probiotic smoothy .... free from any adverse stomach discomfort.But I know I have a sensitive stomach with certain dairy.... andthis is definitely one of them.",true
"RIU77E9NP4V50","B000VR81IA","","Reviewed in the United States on November 27, 2020","November 27, 2020",1606460400,"Debra Z.",5,"My Fav Of All","I use this for probiotics and taste. I love the thickness. I add a bit of sweetness. Can be used for so many things. Has a bit of a taste of sour cream but thick. Just how I like it.",true
