"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2OZWGIRWEX2IT","B000VRC1NG","","Reviewed in the United States on August 13, 2021","August 13, 2021",1628834400,"Pablo Alvarado",5,"Love it!","We love this product!",true
"R2XN7OHNT0E9YG","B000VRC1NG","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Monica tells it like it is",5,"Most Creamiest Yogurt ever","This is the best yogurt every made...i just add honey.",true
"R3CXF9KLBZ15HQ","B000VRC1NG","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Maggie",5,"A staple in my grocery list","Love how easy this yogurt is.Healthy, versatile and delicious.Smoothies, dessert bowls, sauces and cremas have all become a lot better in my house thanks to this.",true
"R1FIG78CARWZJK","B000VRC1NG","","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"Chitown2",5,"Very good","The best yogurt for breakfast, smoothies",true
"R35ZSUNLXUTS4J","B000VRC1NG","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"sylvia",2,"Not lactose free","Can't eat it.",true
"R2Y4OK80HVHF27","B000VRC1NG","","Reviewed in the United States on March 27, 2021","March 27, 2021",1616824800,"Rachel B",5,"Fage or GTFO","This is the best Greek yogurt",true
"R273Z1XTETJBF8","B000VRC1NG","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"nurit gutierrez",5,"Good product","I use it to make quick pizza dough, Bagel, Biscuits etc.",true
"R3RKBYH9R9RWZU","B000VRC1NG","","Reviewed in the United States on February 28, 2021","February 28, 2021",1614495600,"Sharen",5,"Yummy","Love the tase",true
"R174YZW90W56H0","B000VRC1NG","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"jean",5,"Best yogurt there is.","My favorite Greek yogurt. Stays fresh longer than others.",true
"R3DAFOH3MDY10G","B000VRC1NG","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"scm",4,"Meh","This is not my favorite but then again I like full fat yogurt",true
"R37A80RC898YA1","B000VRC1NG","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"Amy",5,"Tastes great!","Very thick and tasty. I love this yogurt. I was hesitant to try this as I've tried other fat free yogurts and they don't taste good.Even though it's fat free, it tastes great. Will continue to buy.",true
"RHMNJS8888282","B000VRC1NG","","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"Kevin Mc",5,"Best Greek yogurt","Best greek yogurt on the market....hands down",true
"R34XT270V8PVRU","B000VRC1NG","","Reviewed in the United States on March 29, 2020","March 29, 2020",1585461600,"Kate Miller",5,"Lovely yogurt!","This is, hands down, the best greek yogurt on the market. Fage, 0% Greek Yogurt is the BOMB.First off, it travels well. There is no clotting of the yogurt or breakage of the packaging. The yogurt stays cold thanks to Amazon Fresh methods and comes just like a grocery store would have it.Next, the taste and texture are divine. It is so thick and creamy, and just perfectly tart. It goes perfectly on any savory dish as a sour cream replacement, or on a sweet dish like a thick whipped cream. I love adding frozen berries, vanilla extract, and cocoa powder or stevia to truly make a fabulous yet healthy dessert.No other greek yogurt is as protein-packed, nonfat, and low carb at this one. I have changed thanks to this wonderful FAGE product! YAY FOR FAGE!",true
"R1AHMYOKEF1U88","B000VRC1NG","","Reviewed in the United States on March 11, 2020","March 11, 2020",1583906400,"Via",5,"great diet","very thick like cheese, little calories",true
"RCN7UAKG3H12M","B000VRC1NG","","Reviewed in the United States on March 1, 2020","March 1, 2020",1583046000,"Scott Guillory",4,"Good consistency","Good consistency and flavor. Best with honey, granola, and fresh fruit.",true
"R1LOC2QD49B13Q","B000VRC1NG","","Reviewed in the United States on January 18, 2020","January 18, 2020",1579330800,"Alexander",5,"The creme de la creme!","This is the best 0 fat yogurt, hands down. First, it’s actually GREEK from Greece, and made in upstate NY in small batches with the same formula and technique they use in Greece. (I know this from a recent vacation there :) Perfect consistency, smooth and surprisingly rich for a fat free yogurt.",true
"R21VSSYGXDHINZ","B000VRC1NG","","Reviewed in the United States on December 10, 2018","December 10, 2018",1544425200,"E.D.",5,"Awesome","Great",true
"R1YQW6I5MTTVQI","B000VRC1NG","","Reviewed in the United States on April 21, 2018","April 21, 2018",1524290400,"Trancelucence",5,"My FAVORITE Greek Yoghurt","I've been using this for years- my favorite Greek non-fat yoghurt, and I've tried many brands.The thickest, firmest, the most like thick sour cream, spoonable and luscious tasting.And it STAYS that way, lasts a long time and I notice much less accumulation of liquid than other brands (virtually none).I use this to make stroganoff, noodles romanoff, on rice, in and on Mexican and Indian foods, as a dip and dip base, on microwave quesadillas, I'd be lost without it.A bargain, and Fresh carries it, yay!",true
"R2AYR8GJ3NOQK3","B000VRC1NG","","Reviewed in the United States on April 3, 2018","April 3, 2018",1522735200,"David Fisher",5,"Five Stars","One of my favorite yogurts so far.",true
"R2UTV6VVRFEPH","B000VRC1NG","","Reviewed in the United States on November 6, 2017","November 6, 2017",1509951600,"amazon_review",5,"Five Stars","i love this natural greek yogurt and happy with long expiration date",true
