"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1ERXESEMUXN4A","B000VTWD64","","Reviewed in the United States on September 19, 2021","September 19, 2021",1632031200,"Nancy",1,"Sour","Not refrigerated left at door..crazy",true
"R3FCTNKFU6LQ4T","B000VTWD64","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"schlemm",5,"Great for cooking","I use this to thicken up curry sauce and it works great.",true
"R1GXXLCO524S7T","B000VTWD64","","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Shura",5,"Wonderful","Always loved Fage even their 0% is rich and creamy tastes great! Best yogurt in a crowed field of its kind worth the cost which isn’t as high as other brands! Great buy you will enjoy it!",true
"R240P9LUUXI3LG","B000VTWD64","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Amazon Customer",5,"Used with Dip Mix it tastes just like sour cream","I am not a yogurt fan. But the Fage 0% tastes very much like sour cream. When you use it for dips or dressings, you really can't tell the difference. That means you can have a whole container of dip with 0 fat!!!!! Or a salad dripping with dressing with 0 fat!! And since it's greek yogurt, its less creamy and has a consistency much like sour cream. Everyone who has tasted dips that I've made can't believe it's not sour cream.",true
"R3R7R5V1WCYJB1","B000VTWD64","","Reviewed in the United States on April 17, 2021","April 17, 2021",1618639200,"belle20002000",5,"Great substitute for sour cream!","I love Fage. It is not bitter as a few other brands are. I use as a sour cream substitute. Great flavor.",true
"R385LPNW9KAX2Z","B000VTWD64","","Reviewed in the United States on January 1, 2021","January 1, 2021",1609484400,"Michael A. Hughes",5,"This yogurt has the probiotics that I want. I’ve bought it before and I’ll buy it again.","As expected.",true
"R2NO26L8I1RU06","B000VTWD64","","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"ForeverYOUNG",5,"fage fat free greek yogurt","This is my go to plain greek yogurt.I use it whenever sour cream is called for.My family has never figured it out.YUM",true
"R1VBNRU7BLRJZ8","B000VTWD64","","Reviewed in the United States on July 27, 2020","July 27, 2020",1595829600,"Karim Talaat",5,"Very good yoghurt","Has like 18-20 grams of protein and it every delicious as a snack.",true
"R3TTLIDH69UCAL","B000VTWD64","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"Olivia Watson",5,"My Dogs Love It","I find all non-fat yogurts taste sour.I eat only 1% or 2% fat free yogurt.But, my dogs can't wait for their late afternoon snack of this yogurt.Also my two dogs are only 18 pound each.So I don't give them much each day.It stays fresh for a week.",true
"RM1EF9DZY38XG","B000VTWD64","","Reviewed in the United States on July 8, 2020","July 8, 2020",1594188000,"Railgun",5,"Healthy and tasty!","The most delicious fat-free yogurt I ever had!",true
"R177GGAPUUD5Y5","B000VTWD64","","Reviewed in the United States on March 2, 2020","March 2, 2020",1583132400,"phillygirl",5,"Smooth and creamy","Great any time with added berries, almonds or chocolate chips!",true
"R4HX7FINI29UQ","B000VTWD64","","Reviewed in the United States on February 20, 2020","February 20, 2020",1582182000,"CJ",5,"Best","Dependably quality yogurt!",false
"R2RFN2RIXLQDEZ","B000VTWD64","","Reviewed in the United States on August 15, 2019","August 15, 2019",1565848800,"RR",5,"For someone who generally hates yogurt....","I am not a fan of yogurt, mostly because of the texture. For a fat free product this is totally unexpected, for the better. It has a light and fluffy texture. I add granola and berries and it’s like I’m eating a fancy breakfast. For those of you that struggle with the typical yogurt texture, you must try this.",true
"R2L5OFM0ER3ERZ","B000VTWD64","","Reviewed in the United States on June 12, 2019","June 12, 2019",1560319200,"Bernadette Northe",5,"Great part of healthy diet","Great value for money",true
"R3SQRVQPT1BF7V","B000VTWD64","","Reviewed in the United States on June 7, 2019","June 7, 2019",1559887200,"RMS",5,"Delicious","Delicious",true
"ROE2GTBG89Y58","B000VTWD64","","Reviewed in the United States on May 29, 2019","May 29, 2019",1559109600,"BadWolfGirl",5,"Favorite Greek yogurt","Great flavor without the fat and you can't even tell the difference",true
"R2XNXLNB9911U8","B000VTWD64","","Reviewed in the United States on May 3, 2019","May 3, 2019",1556863200,"Amazing ",5,"Excellent","Excellent",true
"R3UXVRYSTK5X49","B000VTWD64","","Reviewed in the United States on November 30, 2017","November 30, 2017",1512025200,"Sue",4,"Good for diets","It's a descent substitute for sour cream on potatoes. Its not as smooth as regular sour cream.",true
"R2TXC1F8O89SLV","B000VTWD64","","Reviewed in the United States on October 13, 2017","October 13, 2017",1507874400,"CD",5,"this is my favorite!","thisis my favorite!",false
"R8JV1RW8SWP57","B000VTWD64","","Reviewed in the United States on April 6, 2017","April 6, 2017",1491458400,"MNLee",4,"Four Stars","good yogurt.",false
