"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RSAJ4G7HSE0JA","B000WO9ORE","","Reviewed in the United States on September 14, 2020","September 14, 2020",1600063200,"Janaiy",5,"Very good","But every week",true
"ROTBB4DEV7WJG","B000WO9ORE","","Reviewed in the United States on August 29, 2020","August 29, 2020",1598680800,"check2",5,"This is the only true Greek Yogurt","I'm Greek. My family made yogurt for as far back as I can remember. This is the only ready to eat yogurt that I will buy. It has the authentic Greek yogurt flavor and consistency. Fage has been making Greek yogurt for almost 100 years. Way before Greek yogurt became a ""thing"".",true
"RBTXXIFRE1KLX","B000WO9ORE","","Reviewed in the United States on August 23, 2020","August 23, 2020",1598162400,"Qtee",5,"SIMPLY the BEST","HANDS DOWN THE BEST YOGURT!",true
"R3OHJICRZ3KNOX","B000WO9ORE","","Reviewed in the United States on August 7, 2020","August 7, 2020",1596780000,"Christina ZUrla",5,"Review from my 6yo","My kid asked me to write his review. Here’s what he said verbatim ;)“I really like this yogurt. It’s 5%. Maybe when this corona thing is over you can get a big tub of it at Whole Foods.",true
"R1IKTM461CT1W9","B000WO9ORE","","Reviewed in the United States on August 2, 2020","August 2, 2020",1596348000,"Andrew Brown",5,"thick and creamy","Thick creamy and low sugar, just love this!Add some whipped cream and mix it together with some Stevia and you have yourself a great dessert",true
"R93RUH2YBLU4","B000WO9ORE","","Reviewed in the United States on July 15, 2020","July 15, 2020",1594792800,"Riv Laz",5,"We love this cheese and use it often for various recipes","We use the cheese for smoothies, casseroles and more.",true
"R1O2RIFN1HQMWI","B000WO9ORE","","Reviewed in the United States on July 12, 2020","July 12, 2020",1594533600,"Lamborghini Gal",5,"You know what I LOVE about Fage?It has real ingredients.","I absolutely LOVE Fage!I buy the 5%, and usually add a little maple syrup.It is so good!This yogurt does not have any questionable, or what I like to call, ""Frankenfood"" in it!It has no natural flavor.I love this and have been buying it a good while.I highly recommend Fage.It doesn't get any better than this!",false
"R3MMQ9G9ZXNY7Z","B000WO9ORE","","Reviewed in the United States on July 5, 2020","July 5, 2020",1593928800,"trompe l'oeil",4,"very thick but lacking tang, sweet, creamy flavors","I like my yogurt with noticeable tart, sweet, tangy, creamy flavors--this is not that.Amazingly, it tastes and feels more like cream cheese than sour cream.You may prefer this product's taste but not I.",true
"RRB3SE1CKBA86","B000WO9ORE","","Reviewed in the United States on June 7, 2020","June 7, 2020",1591509600,"Marcia E. Vancini",5,"Good product","Consistently good, creamy & fresh.",true
"R2MEOBJIHZSC7H","B000WO9ORE","","Reviewed in the United States on May 16, 2020","May 16, 2020",1589608800,"W. Murphy",5,"Best Greek yogurt for tzatziki","This is the one to get, thick and creamy without the slightly rubbery texture from gelatin or other thickeners. If you're going to the trouble to grate a cucumber and mince fresh garlic, don't mess around with other so-called Greek yogurts. Just don't forget to peel off the parchment they put on the surface to keep the texture just right.",true
"R24HLXGK1SLK65","B000WO9ORE","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Louisa88",1,"Was expired","This product was already expired when delivered",true
"RLUKT67EAKMR2","B000WO9ORE","","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"kijana",5,"so creamy and delicious","This Greek yogurt is by far the best. It is extremely creamy and you feel guilty when you're eating it even though it's not unhealthy. The consistency and taste is fantastic. I usually take some fruit and agave syrup and put it on the yogurt and it's amazing. I buy the 2% most of the time but the fat free and 5% are also good. I highly suggest this product",true
"RG49ODACHC80C","B000WO9ORE","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"CrazyAboutBooks",5,"Fage plain Greek yogurt","This yogurt has been strained so that it works better in baked goods especially if it is being used as the sole levening agent. For that reason this is also the best yogurt to use for making frozen yogurt desserts. The dessert willfreeze softer than with non-strained yogurt which will freeze with too much ice in it.",true
"RP26B9EKP37VQ","B000WO9ORE","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"Sarah",3,"Go well with chips but cannot last till the date printed on the cover","Your browser does not support HTML5 video. It tastes good and as a 5% yogurt, it is not too sour. Goes well with chips.However I recently found that it accumulates a lot water after I put it in refrigerator for could days. Also for the last couple days before the best by date,it doesn’t taste as good as it is supposed to be. I would suggest finishing it ASAP.",true
"REUWHEWDSDS7B","B000WO9ORE","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Monica",5,"velvety smooth and luxurious","Fage 5% is like waking up without an alarm on vacation after getting a FULL 8h on a Cali. King with million-thread count sheets.It’s sunny and 75° without a cloud in the sky, and you don’t have a care in the world.If you dream of a velvety smooth and luxurious breakfast that embodies the concept of “Treat yo self” this is the yogurt you need to be eating.I enjoy it with fresh blueberries, almonds, and local honey 🍯",true
"R3DO0QTGCUU8MI","B000WO9ORE","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"Stacey",5,"Delicious yogurt","The most luscious Greek yogurt. Great quality.",true
"R6IWOCR3XA53B","B000WO9ORE","","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"Arcadia",5,"The best !","The best yogurt. The 5% is rich and authentic. Add some fruit or some honey and walnuts and you will be giving yourself a treat !",true
"R2XQ92M5DHDACM","B000WO9ORE","","Reviewed in the United States on April 4, 2021","April 4, 2021",1617516000,"Lilibeth Perdomo",5,"Love it!","Love this yogurt, I was never a fan of yogurt until I tried this brand, it tastes homemade. Delivered on time and packed well.",true
"R2RTZ8HN9Z1U6M","B000WO9ORE","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Melissa Mertz",5,"Yogurt of the gods","Once upon a time, I would have said “ew” at the thought of plain yogurt. But that was also a time when I thought that eating nonfat stuff was healthy. Nowadays I know that sugar is the problem, and fat is your friend.That said, this yogurt is de-fricken-licious! The flavor is great, but for me, it mainly comes down to texture. It is so thick and creamy! No other yogurt can compete! I don’t know what magic Fage practices but no one else comes close. Once you’ve tried this you will be ruined for all other yogurt!",true
"R1KE4AVQP09CCZ","B000WO9ORE","","Reviewed in the United States on January 5, 2021","January 5, 2021",1609830000,"brdygrl",5,"High-fat, thick and luscious","You can sub this yogurt for sour cream for dips, etc. (not always for cooking). It has less tang than sour cream, but less fat too. Use it instead of half & half or heavy cream. You can add salt, pepper and garlic and serve with savory dishes, such as a too-spicy curry that you want to tone down.",true
