"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1I5DKTUN7JVPL","B000WOB94U","","Reviewed in the United States on March 10, 2019","March 10, 2019",1552201200,"Niki K",5,"Tasty","Tasty, fresh - like shopping at the store - but easier.",true
"R15H7AAIEAETF1","B000WOB94U","","Reviewed in the United States on August 30, 2021","August 30, 2021",1630303200,"Anonymouse",5,"It’s thick. It’s creamy. And just like you my dear, it’s so so dreamy.!","This is the best yogurt in the world. The only thing that would be better used to be on Mykonos in the Greek Islands and have a beautiful man or woman, according to your preference, smear this yogurt all over your body on the beach and then slowly…",true
"R370F2NUXATW4W","B000WOB94U","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"john meyerhofer",5,"BEST!","I love this brand ! AND Love Whole Foods prompt delivery",true
"R1XFAAL9BBDOLH","B000WOB94U","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"andrea frohman",5,"tastes great","Nice yogurt. Nice taste.",true
"R2S79FKYEPTYQL","B000WOB94U","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Debra Z.",5,"Quality Yougurt","This is one of the best Greek yogurts I've purchased. I normally buy the 2% but it isn't always available so this one does the trick. I don't eat milk products but after always taking expensive probiotics, I use this because of the live cultures and it does the trick, it doesn't really cause digestion problems as a person with lactose problems which is a plus. It's my go to for my tummy. I don't have it all of the time, but will really use it after antibiotics for a few days. Very thick which I love, I do not like thin and runny yogurts, so I add a bit of sugar or fruit but never sweeten it too much because I love the sour flavor too.",true
"R28W8HQU6ZSJGC","B000WOB94U","","Reviewed in the United States on February 25, 2021","February 25, 2021",1614236400,"jackline",5,"Always like it","Delicious",true
"R3U8IIQD1GX5HR","B000WOB94U","","Reviewed in the United States on February 11, 2021","February 11, 2021",1613026800,"Richard C",5,"Yummy","Yummy",true
"R3L8KMM0HGSV71","B000WOB94U","","Reviewed in the United States on January 2, 2021","January 2, 2021",1609570800,"Itsme",5,"Perfect size","I love this smaller version of the plain Fage.I rarely finish a large container so these are a great size and not insanely priced.Same great flavor, tang and thickness of the large whole milk Fage.",true
"R3MORM3IEDZISN","B000WOB94U","","Reviewed in the United States on October 10, 2020","October 10, 2020",1602309600,"Amazon Customer",5,"Good one with low sugar","Very thick and tasty! I use to to prep my own yogurt in yogurt machine and it works perfectly",true
"R9TY9TE4UN2OF","B000WOB94U","","Reviewed in the United States on September 24, 2020","September 24, 2020",1600927200,"TB",5,"Love this yogurt!!!","Tastes like you are eating cream...fabulous flavor",true
"R3P1AAFINYD31Y","B000WOB94U","","Reviewed in the United States on June 6, 2020","June 6, 2020",1591423200,"Amazon Customer",5,"Best thick greek yogurt!","This is the only yogurt I will ever buy. I love thick yogurt that's not runny. This is the best!",true
