"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3FP4YMFQWBN7W","B000YN1E5I","","Reviewed in the United States on January 10, 2020","January 10, 2020",1578639600,"Amy",5,"Tastes great but costs too much","I like the low sugar and low carbs.",true
"RWB01GS8WWCFO","B000YN1E5I","","Reviewed in the United States on October 8, 2019","October 8, 2019",1570514400,"TrueTalk",5,"All real natural, no","Delicious",true
"ROUJW6N4Y2ER7","B000YN1E5I","","Reviewed in the United States on December 12, 2018","December 12, 2018",1544598000,"Linda P Christensen",5,"I liked it.","Delicious and smooth.",true
"R14ZFACVBQ8FL1","B000YN1E5I","","Reviewed in the United States on October 29, 2018","October 29, 2018",1540792800,"Lynda L.",5,"Love My Goat Yogurt!","I love this goat milk yogurtI have almost every morning with my breakfast!Silky consistency and nice even n smooth taste",true
"RZTP5ONMMTWN0","B000YN1E5I","","Reviewed in the United States on March 4, 2018","March 4, 2018",1520146800,"Barbara Chapman",5,"Delicious yogurt","I love this yogurt for its taste and its probiotic content.I eat it every morning for breakfast with pecans and a tiny bit of honey.I appreciate that the Redwood Hill Farm goats are humanely treated.",false
"R2WJ3P3DVLVHOG","B000YN1E5I","","Reviewed in the United States on October 7, 2016","October 7, 2016",1475820000,"EZ",1,"the ones that are of good quality, will not use starch and pectin","I would not call this yogurt. At all!It has a consistency of pudding, considering the loads of pectin and starch that is what happens.Yogurt producers, the ones that are of good quality, will not use starch and pectin. Go to any grocery store and check for 99 cent yogurts, you will find pectin in almost all. The lower quality items (even for 99 cent) might use starch as well.Check the high quality yogurts ( I am not talking about the pricy ones, even the ones for half the price of this one), will have 2 simple ingredients. Milk and Cultures.Why do cheap yogurt producers use pectin and starch? In order to significantly cut down from the amount of milk need to produce yogurt.Yogurt is supposed to be something healthy, and if you put starch in it, than you cut down the benefits of milk.For this price, I would expect nothing but milk and cultures.Cutting down health benefits andusing low quality items aside, neither the taste nor consistency was not even as good as 99 cent yogurts.PS. I love goat milk, cheese and yogurt, so do not think that I did not like it because of goat milk.",false
"R2Y3EXPPD5XK8H","B000YN1E5I","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"Barbara",5,"Grate yogurt","Great taste and it is not sweetened. It is as good as it gets!",true
"R15SGL4815E5UZ","B000YN1E5I","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Michael & Na’ama Devivo",4,"Love it","Unfortunately doesn’t seem like they have competition, the yogurt is expensive and isn’t organic. But the flavor and texture is great.",true
"R6N9HVOCXCKFX","B000YN1E5I","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"sheshops",5,"Mooo-over cows","Love me my goat yogurt with berries.My pets love it plain.",true
"R15Y4FOK2M0RJZ","B000YN1E5I","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Evariste",2,"contains filler - tapioca starch.","So... i wouldn't consider this the best bang for your buck. Starch is cheap. I'm paying for yogurt, not starch. Bellwether farms has higher quality yogurts. Wish they could pay me to write this review since their yogurts are so expensive. But, it truly is the best yogurt i've had.",false
"R34T3OGCOSRJ6T","B000YN1E5I","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Quality Rules",5,"Delicious....even Plain with no berries","I love this goat yogurt. It's delicious.It can be a dessert by adding honey or berries.",true
"R1A7LOO4P58K66","B000YN1E5I","","Reviewed in the United States on December 2, 2020","December 2, 2020",1606892400,"Amazon Customer",5,"Like it better than cow's milk yogurt","Love the flavor and thickness of this yogurt and prefer it to cow's milk yogurt. A little tangy, but so are other yogurts. Also really like the company's plain Goat Milk Kefir",true
"R3PPIL0PIMSHA4","B000YN1E5I","","Reviewed in the United States on June 25, 2020","June 25, 2020",1593064800,"H.G.",4,"Taste's good!!","It was pleasant to taste, for sure!",true
"R2DZ9UBBOJ0L0J","B000YN1E5I","","Reviewed in the United States on May 15, 2020","May 15, 2020",1589522400,"ShaRona",4,"Tasty but small","Very gamey taste, but that's good. Pricey for small amount.",true
"R2VKFIFIHJQZC8","B000YN1E5I","","Reviewed in the United States on May 15, 2020","May 15, 2020",1589522400,"Isobel Neal",5,"Best goat yogurt","Good always",true
"R30B9JL8LQU4U1","B000YN1E5I","","Reviewed in the United States on February 15, 2020","February 15, 2020",1581750000,"Barbara Moss Keller",5,"Tastes great high quality","Good quality stuff",true
