"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RULIKFRXKDIS2","B00108CSPQ","","Reviewed in the United States on June 16, 2020","June 16, 2020",1592287200,"MR perfect",5,"clean","Really clean",true
"R3KF3DRVEHTJAL","B00108CSPQ","","Reviewed in the United States on May 30, 2020","May 30, 2020",1590818400,"David E. Meacham",5,"Stonyfield Organic Vanilla Lowfat Yogurt 32 oz. Tub","This is my favorite yogurt.It is the best that I have tasted and I reorder it twice a month.",true
"R1FRSVS7R8XMYS","B00108CSPQ","","Reviewed in the United States on April 18, 2020","April 18, 2020",1587189600,"Rambo",5,"Excellent vanilla taste.","Though we always prefer nonfat, we reluctantly bend the rules and buy this lowfat vanilla yogurt because it doesnt seem to be offered in a nonfat version. Taste is excellent, and we mix it with nonfat plan.",true
"R2WK7IEDOP7MDM","B00108CSPQ","","Reviewed in the United States on January 30, 2020","January 30, 2020",1580367600,"Customer",3,"Good but more fluid than reg yogurt","It’s very liquidy almost like yogurts you get in a smoothie.. it has a nice vanilla taste I use it over berries... it has probioticsI’m on antibiotics so I’m trying to restore what’s lost from taking heavy antibiotics for 2 weeks .",true
"R14Y8801ZJJUUI","B00108CSPQ","","Reviewed in the United States on December 5, 2019","December 5, 2019",1575529200,"Lisa B.",5,"Great with blueberries!","My kids really enjoy this yogurt with blueberries.",true
"R2JWPBBGBHK4GG","B00108CSPQ","","Reviewed in the United States on November 24, 2019","November 24, 2019",1574578800,"Kt",5,"Good quality","I got the vanilla lowfat flavor and it was divine. This yogurt has that almost gelatin creaminess that reminds me of Greek Gods yogurt. A very smooth texture. However, it is not as thick as Greek Gods.",true
"R3QZ187RQF4ZGB","B00108CSPQ","","Reviewed in the United States on August 22, 2019","August 22, 2019",1566453600,"Judith Ashway",5,"Delicious yogurt","This yogurt was delicious and a great value for the money. Amazon has many things to buy and at great prices.",true
"R2K3LMJAKMXO5U","B00108CSPQ","","Reviewed in the United States on February 8, 2019","February 8, 2019",1549609200,"BA Inc.",5,"Children love it","The best product",true
"R1EVIBCHT0A1SE","B00108CSPQ","","Reviewed in the United States on February 4, 2019","February 4, 2019",1549263600,"Tay Tay",5,"Rated","No comment",true
"R34AJ4PCP9F2HU","B00108CSPQ","","Reviewed in the United States on August 11, 2018","August 11, 2018",1533967200,"Artemis",5,"Five Stars","nice flavor",true
"R32Z9197F5Q505","B00108CSPQ","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Ursula",5,"Low fat","Delicious and I love this yogurt",true
"R2SKUTWNQZP5UV","B00108CSPQ","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"K",3,"Goes bad very fast . N is very thin","It's tasty I guess...But it went bad in the fold refrigerator after maybe 1.5 weeks . Ive kept yogurts for 2 weeks and there fine . Also super liquidy.I guess I'm being picky buy organic yogurt for that price I was expecting more. Ill stick to greek yogurt",true
"R2LPRQEXK5E0C7","B00108CSPQ","","Reviewed in the United States on April 19, 2021","April 19, 2021",1618812000,"Karen ",5,"healthy ygurt","I liked the flavor and consistancy",true
"R2J1TBE5XV9JE2","B00108CSPQ","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"sunflower",5,"Best Ever","Not too sweet, its perfect",true
"R2C2GCBFDWAPAF","B00108CSPQ","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Christine Scorza",5,"Always fresh and delicious.","My favorite every morning with my blueberries for 8 years!Not thick and heavy like some Greek yogurts.Smooth and vanilla flavor is my sweet treat of the day! Thank goodness Whole Foods carries it and delivers it all through my ongoing Covid quarantine!",true
"R1T3XGUB22XU0P","B00108CSPQ","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"J. Arias",5,"Still my favorite","The WF 365 yogurt is a great value but this is still a better buy. It's a smoother texture and has the right amount of vanilla. Buy both and try for yourself.",true
"R2SXT4A6QPI8KK","B00108CSPQ","","Reviewed in the United States on October 12, 2020","October 12, 2020",1602482400,"Amazon Customer",5,"Would buy again","This came very fresh and was well packaged by Amazon fresh ....... no regrets",true
"R2SNPTGM0JGLUD","B00108CSPQ","","Reviewed in the United States on August 9, 2020","August 9, 2020",1596952800,"Lama",5,"Pricey but Delicious","Delicious!Not only good for digestion but is a great substitute for ice cream, especially with some nice sweet fruit, some coconut flakes and maybe even some nuts.",true
"RYU9EJMXJA06","B00108CSPQ","","Reviewed in the United States on July 16, 2020","July 16, 2020",1594879200,"Marina Montell",1,"Vitamin D3 added","I am allergic. Had to through it away.",true
"R2JMWBQNIMLANJ","B00108CSPQ","","Reviewed in the United States on July 14, 2020","July 14, 2020",1594706400,"Glamour puss",5,"Great for granola parfait and my smoothies","Great for granola or smoothies",true
