"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R13U0PMZGJJRQC","B00108EPCU","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Emma",4,"Good but pricy","It’s good, my son really like it! And this yogurt is the only one I would buy for my son, because the secure ingredients and good taste!",true
"RL9DRC10YBR28","B00108EPCU","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"Catopsiliascylla",5,"Awesome quality and taste","+5",true
"RKJS8EAXBM4OA","B00108EPCU","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Layla",5,"The Perfect Yogurt for everything 🙌🏾!","I love ❤️ this Yogurt. It is Flavorful, thick and tasty. But the Best part is, it Is ORGANIC. I love adding it to my granola, smoothies, fresh fruits like Blueberries and Strawberries 🍓or even snack on it plain.",true
"R12H6BLNQUPYRU","B00108EPCU","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"Krista",5,"Great yogurt!","Fresh tasting, reasonable expiration date and love that it's organic!",true
"R3VSLKUDZELBEG","B00108EPCU","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"Tamar",5,"Good yogurt","I like this yogurt",true
"R2WFXQB9LJUSZ2","B00108EPCU","","Reviewed in the United States on February 6, 2021","February 6, 2021",1612594800,"KingKull2112",5,"Just what I wanted","I used this as a yogurt starter and it worked very well. Will buy again.",true
"R1P888TR3SIYE5","B00108EPCU","","Reviewed in the United States on January 12, 2021","January 12, 2021",1610434800,"Dan",5,"Buttery, smooth plain yogurt, perfection","This is a great yogurt. It is smooth, creamy and isn't too sour/tangy like other brands. It has an almost buttery flavor which makes it so much more satisfying than nonfat yogurt. I eat it with honey or jam for breakfast.",true
"R2PD78AE5FPBXH","B00108EPCU","","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"SPARKY",2,"NOT TANGY ENOUGH","This yogurt is boringly tasteless to me. It's not tangy like Dannon, which is hard to find anymore.",false
"R31EUG8LW1KPRJ","B00108EPCU","","Reviewed in the United States on December 17, 2020","December 17, 2020",1608188400,"Dorothy Lanasa",3,"Something different","Not as good as usual. I did not get my almond Nut tels.",true
"R4FHS85O90BEC","B00108EPCU","","Reviewed in the United States on November 26, 2020","November 26, 2020",1606374000,"Macy",5,"Yum","Yum",true
"R382I7T7FGW012","B00108EPCU","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"DoubleV",5,"Delicious and nutritious","Tastes great, and not too expensive.",true
"RWIDKH52GJJYJ","B00108EPCU","","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Mama Bee",5,"Best toddler yogurt!","Great flavor, thick consistency which is perfect for adding any fruit purée or fresh fruits you want for flavor!",true
"RFM99YYVQSRSZ","B00108EPCU","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Samuel",5,"Good 👍","God",true
"R3VN1QGQW1RAFC","B00108EPCU","","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"LucyVP",5,"Only yogurt I'll buy","This is the only yogurt I've researched that doesn't contain a listed or unlisted ingredient that I'm allergic to, and that's also true for the low-fat, flavored, or Greek versions of this brand. Will stop shopping Amazon Fresh because they apparently don't carry it anymore.",true
"R1VIWUS094WO7O","B00108EPCU","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Jackie",5,"As long as they keep it at $3.99, I’ll continue to buy it!","Love this yogurt and the fact that it is probiotic! It’s plain but it’s good. Not too sour and a fairly thick consistency. Water continues to drain from the yogurt as it sits but I just mix it in. If you don’t like it, pour it out and enjoy the thicker more greek like yogurt core.Right from the beginning of shopping with Amazon Fresh, I was struggling to find a good yogurt for my gut health that was within budget and had a hard time until I came across this. It’s even organic! Even at $3.99, it’s worth it for the amount you get over individual servings.It’s versatile! Did you know you can sub this into recipes that call for a ton of sour cream or mayonnaise? I wouldn’t replace the entire called amount for the recipe but even if you are only subbing half, it’s quite a bit better for you and in cold recipes, you’ll benefit from the probiotics. Warmer days means more tuna and egg salad. That’s way too much mayonnaise for my waistline so I’ve been subbing about 75% yogurt. Mind you, you should work up to this amount because it does change the flavor a but I personally got used to it.My favorite breakfast yogurt right now is adding a handful of frozen mango chunks, some chia seeds and superfood powder then topped with sliced almonds. On occasion, I drizzle honey over it. Some days, I’ll just mix in fresh blueberries and a little bit of sweetener. Super ripe peaches, honey and almond is really good too!Anyway, it’s a great base product with the benefits of probiotics. If you make yogurt like I do sometimes, this will work as a great starter too. I have more Instant Pot’s than I’d like to admit to owning but they are always in use so I don’t get to make yogurt often enough to cycle the last batch. Rather than buying cultures, I just go with a good organic plain yogurt because cultures are expensive and this way, you will have some ready to use while your Instant Pot is doing its thing.",true
