"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1DS8CCUOAI5OP","B00108GRPS","","Reviewed in the United States on September 28, 2019","September 28, 2019",1569650400,"The Driesslein Family",5,"Best Taste","We tried to buy the Trader Joe’s organic version to these. That was clearly a mistake in taste and secretive ingredients! We’ve been buying this for years in different flavors and my daughter loves these! Can’t beat the quality!",true
"R3S869BYMO6Z8J","B00108GRPS","","Reviewed in the United States on July 17, 2019","July 17, 2019",1563343200,"Basir712",5,"Good","Good",true
"R5JN2COYFM9IY","B00108GRPS","","Reviewed in the United States on February 5, 2019","February 5, 2019",1549350000,"K. Jenney",1,"False Advertising","False advertising! It's just blueberries - oh, and carrot juice for color (to make it look like there's other berries in it?).",false
"RYVKI0W6BJXPY","B00108GRPS","","Reviewed in the United States on February 3, 2019","February 3, 2019",1549177200,"Al KBach",5,"Good quality,good taste","Authentic taste, good quality",true
"R12RHXDZUFTIGY","B00108GRPS","","Reviewed in the United States on August 19, 2018","August 19, 2018",1534658400,"Angie",5,"every morning","It is purchased periodically through fresh. My family eats every morning.",true
"R3KUHKA0WVRR6M","B00108GRPS","","Reviewed in the United States on February 14, 2017","February 14, 2017",1487055600,"Kate",3,"Always Quick Expiration Dates","The expiration date window must be short on Stonyfield smoothies. They always arrive with just a couple days left before they expire (and they truly do expire), but that's what I've found at every grocery store, too.",true
"R1S98AZPBQ3E2W","B00108GRPS","","Reviewed in the United States on October 10, 2016","October 10, 2016",1476079200,"Amazon Customer",4,"The kids give these a thumbs up","A little pricy, but the kids like them.",true
"R8YGYOQV8L2QX","B00108GRPS","","Reviewed in the United States on August 21, 2016","August 21, 2016",1471759200,"EK",5,"Delicious","Love these! Delicious.",true
"R1VR5P31RALKY3","B00108GRPS","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"Sheryl Harris",5,"Great","Love",true
"R9F2LSWDKX2QA","B00108GRPS","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Harley",5,"Really good","I really like it.",true
"R1MDG5GNE3IQSU","B00108GRPS","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"Mikhail",5,"Good","Good",true
"R3J4816GG7O4EV","B00108GRPS","","Reviewed in the United States on July 21, 2020","July 21, 2020",1595311200,"Amanda Nicole Rosenberg",5,"Tasty guilt free smoothie","I love these smoothies. They're a nice size, good option for a quick breakfast or snack and they really do taste great.",true
"R325JHOGNI4V88","B00108GRPS","","Reviewed in the United States on July 16, 2020","July 16, 2020",1594879200,"Christy V",1,"Bad taste","Nasty taste",true
"R8G1Z8OVMIC8","B00108GRPS","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"A. Rodriguez",5,"Great taste","I have bought this again and again they are so good I don't get bored of them.",true
"RYZ4CBKFTGLRL","B00108GRPS","","Reviewed in the United States on June 21, 2020","June 21, 2020",1592719200,"Alan Cerrillo",5,"Great texture","Love it! Great texture and taste",true
"R184B2EACG7HZA","B00108GRPS","","Reviewed in the United States on March 22, 2020","March 22, 2020",1584856800,"Jen G",5,"great","great",true
"RAYRL6NPSQGN3","B00108GRPS","","Reviewed in the United States on March 17, 2020","March 17, 2020",1584424800,"Mark Riley",5,"Get them!","Yummy! I enjoy one every morning",true
"R2CPYNPES5Q17C","B00108GRPS","","Reviewed in the United States on December 19, 2019","December 19, 2019",1576738800,"Wanda",1,"Didn’t like","Not sweet enough and a little too thick.",true
