"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1XZUITVXPRJPV","B00108GRTY","","Reviewed in the United States on November 29, 2020","November 29, 2020",1606633200,"Someone",5,"I want more!","This yogurt is the best tasting and texture you can find on any natural and otherwise yogurt. Once you have it you’re spoiled for life LOL",true
"R2I7WWOZ88905J","B00108GRTY","","Reviewed in the United States on November 21, 2020","November 21, 2020",1605942000,"Ladym",5,"Love it.","Taste good, it is good for me and my kid loves it too.",true
"R1BBQCOBS2CZ31","B00108GRTY","","Reviewed in the United States on October 31, 2020","October 31, 2020",1604124000,"Wisteria Tiger",5,"Delicious yogurt","Great tasting yogurt from a good brand.",true
"RCEBFITW194XF","B00108GRTY","","Reviewed in the United States on September 21, 2020","September 21, 2020",1600668000,"Babuba",1,"Bed smells","It has gone bad when I open it.",true
"R11NYQ1MIA7CBM","B00108GRTY","","Reviewed in the United States on September 14, 2020","September 14, 2020",1600063200,"Janet/ Kindle Customer",5,"Delicious","This is a rich, thick whole milk yogurt. Really delicious. It arrived fresh, with the container intact,",true
"R1CS87ODREKW2C","B00108GRTY","","Reviewed in the United States on September 1, 2020","September 1, 2020",1598940000,"Ally S",4,"Large container = environmentally friendly choice","This yogurt has a great flavor, it’s not too sweet and doesn’t taste artificial. I like the added bonus of probiotics and buying yogurt in a package this size is more environmentally friendly.",true
"R1RRHSVDGFQJ5Q","B00108GRTY","","Reviewed in the United States on August 29, 2020","August 29, 2020",1598680800,"Allison Hyman",5,"Love this yogurt!","Extremely yummy!",true
"RB4N6AQX4JL42","B00108GRTY","","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"Stephanie",5,"My favorite brand by far","If you like yogurt, I'm sure you've eaten a dozen, two dozen, maybe even more brands and flavors. I know I have. This one is by far my favorite bulk brand. I prefer the vanilla and strawberry, but I've had the plain and it doesn't make your cheeks pucker, so that's saying something. Give it a try. I have no idea if the lowfat is as good though.",true
"R2T1SETCKVACOB","B00108GRTY","","Reviewed in the United States on July 14, 2020","July 14, 2020",1594706400,"Linda Kramer",4,"The Best!","Superb. Excellent produce great taste on the pallet. Nothing bettrr",true
"R3LVK3BD4D8QBO","B00108GRTY","","Reviewed in the United States on February 27, 2020","February 27, 2020",1582786800,"Hollie H.",5,"Best yogurt ever!","Best yogurt! My 2 year old son refuses to eat any kind of yogurt unless it's this strawberry probiotic yogurt or Skyr. It. Would probably do with a little lest sugar but this is amazing!",true
"RLC8SH3UQS3CE","B00108GRTY","","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"Hope Lyon",5,"Really Good!","Bought this thinking it may not taste the best, but it's really good! Love it with granola.",true
"R3H3GRUE4EPITH","B00108GRTY","","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"Ed",5,"Delicious","We mostly only eat Greek yogurt these days. This is the one exception. You just can't beat the taste and texture, and the container size offers more options than single servings. (My favorite is serving it over a sliced banana. It also works well in smoothies.)",true
"R1GAKEV47JTGH9","B00108GRTY","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"julie",1,"Runny","It's like a liquid",true
"R10YK5SZLQ98IK","B00108GRTY","","Reviewed in the United States on May 19, 2021","May 19, 2021",1621404000,"ben",3,"Don’t like it","It’s huge and doesn’t taste good.",true
"R2DWX3DD0KVL0M","B00108GRTY","","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"Family7",5,"Great taste. Real.","This is just a wonderful yogurt. It has a very fresh yogurt scent. The consistency is great. The ingredients are organic, and that is a big plus for me. I have it daily in the mornings. It gives me much energy, regularity, and my stomach feels great.",true
"R2V1HI44L297H2","B00108GRTY","","Reviewed in the United States on April 6, 2021","April 6, 2021",1617688800,"Tikoya",5,"Healthy","Wonderful for the health concerns i purchase it for",true
"R293G574YSP7GX","B00108GRTY","","Reviewed in the United States on March 30, 2021","March 30, 2021",1617084000,"flower",5,"Good product","Love it!",true
"RQTGDXNIA5CKZ","B00108GRTY","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Michael McGrady",5,"Good basic yogurt","This is a staple in my fridge, about the only yogurt I buy anymore. Good tasting, good price for quantity, about all I need for a daily helping.",true
"R43CRRD6XQSGT","B00108GRTY","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"Betty Ann Macaluso-Baratta",5,"Perfect...","Perfect...",true
"R28A4BW9FTU355","B00108GRTY","","Reviewed in the United States on December 26, 2020","December 26, 2020",1608966000,"MadMary",5,"Excellent","Nice flavor and just sweet enough.",true
