"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2RSBO3POWRN5B","B00108HZFY","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"Al G",5,"Great Yogurt","I can't stand the taste of some yogurt but I loved the consistency of this yogurt and it was really thick. The french vanilla taste was very on point.",true
"R2GYY7YOD2XW7V","B00108HZFY","","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"RDub",5,"Yummy and healthy!","I love Chic fil a yogurt and fruits but because of the pandemic, I can’t just buy whenever I want to.I found this yogurt and mixed it strawberries and voila....simply delicious.",true
"RP605AUP0I1M1","B00108HZFY","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"Anonymous",5,"VERY Yummy!","Best vanilla yogurt!",true
"RGVFHM2Y73A6N","B00108HZFY","","Reviewed in the United States on July 10, 2020","July 10, 2020",1594360800,"Jean Petty",4,"Tastes good","This brand is good but not quite as good as a non-fat brand I’ve found.",true
"R4JZRKEAMONGH","B00108HZFY","","Reviewed in the United States on June 7, 2020","June 7, 2020",1591509600,"Roy",5,"Taste good","It tastes really good, my children love it",true
"RZS6RIYN7TRIP","B00108HZFY","","Reviewed in the United States on April 20, 2020","April 20, 2020",1587362400,"Jetsetter",5,"rich and yummy","my boys are growing so fast and I'm always looking for full fat foods for them. They both (8 and 4) love this product",true
"RMVPE9ZVAPT62","B00108HZFY","","Reviewed in the United States on March 17, 2020","March 17, 2020",1584424800,"Mark Riley",5,"Great yogurt!","Very good. Good taste and good quality. Will buy it again.",true
"R2MPWMT0EZ0FTN","B00108HZFY","","Reviewed in the United States on March 16, 2020","March 16, 2020",1584338400,"M. Cassani",5,"Baby loves it","Things get crazier now! We are glad to have AmazonFresh on our side. As good as you buy from a local store, yummy and baby loves it!",true
"R2D2SDXV8LNQGX","B00108HZFY","","Reviewed in the United States on March 8, 2020","March 8, 2020",1583650800,"Allison F.",5,"😋 yum","What can i say.....YUMMY!",true
"R3IY0JHZBMOP8Y","B00108HZFY","","Reviewed in the United States on February 19, 2020","February 19, 2020",1582095600,"bcardosa",5,"yogurt","thank you",true
"RD4VT7FZT6QI8","B00108HZFY","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"GgemsBaby",5,"Best! Ever probiotic yogurt ever!","If you are diabetic and are on Trulicity 3.0mg injection and have suffered horrible gas and belching that seems constant and like it will never quit, make blueberry smoothies with this yogurt,even if you are not fond of yogurt!Seriously this yogurt was a life saver!",true
"RZ6EVIC78JABD","B00108HZFY","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"ivyleaves",3,"Boring, no tang","I found this to be way too bland. Not enough yogurty tang and not enough vanilla. Maybe it's the added probiotics, or maybe too much sugar? Anyway, reverting to seasoning my own Greek Yogurt with to my own taste. Also, beware Amazon brand Greek Whole Milk Yogurt - made from nonfat cultured milk with added cream after - not whole milk at all.",true
"RS5KFI9XM0YIW","B00108HZFY","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"YouTubeisGODsblessing",5,"Almost gone; need another one!","I love this yogurt; it taste great. I use it as smoothies; I eat it by itself. It’s good either way. Helps me get in my three servings of dairy a day. I don’t know if I’ll re-purchase this again, simply because I want to start eating Greek yogurt.",true
"R388CE01QELMXM","B00108HZFY","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Peter laurance armenio",1,"I bought the skim milk at Walmart April it was dated February and it never went bad you do the math","I have the fat free milk that had a date of February on it I bought it at Walmart in April I had it in my refrigerator for another month and it never went bad skim milk should go bad immediately heavy cream can last forever it never turns sour there’s something not right with this milk it’s fake",false
"R3E0N17YKXZEC5","B00108HZFY","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"whitecha",5,"Rich, creamy, smooth healthy treat","This rich, creamy gluten-free yogurt has just the right light touch of sweet vanilla. Delicious by itself, with fruit or vegetables, in sauces, or baked into moist treats and desserts.",true
"R3NFM0M4W0PCRP","B00108HZFY","","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"Baruch",5,"Enjoyable Taste","This yogurt tastes good, which is of course why I got it.I like the flavor of vanilla.I like that this yogurt is not low-fat or otherwise diddled with.Leaving the fat in there helps make it taste better.Good stuff; I buy it often.",true
"R2H4U312E369R8","B00108HZFY","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Harding Stud",4,"Cabot brand is better.","Cabot brand is better, bur Whole Foods doesn’t carry it.",true
"R34GVHJ080J8R2","B00108HZFY","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"drpe",5,"Organic","And tastes good.",true
"RV8FUBTWR8GIX","B00108HZFY","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"Tamar",3,"Too sweet","And the flavor is not amazing",true
"R1CDRD1KUGOGZB","B00108HZFY","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"galopina",5,"Maybe the best yogurt on the planet (?)","Way better than the competition, but it cost way more !",true
