"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1W5W50GC18T9I","B0010XT5GG","","Reviewed in the United States on April 19, 2021","April 19, 2021",1618812000,"Piyush Garge",5,"Yummm","Creaminess is awesome.",true
"R2HJ2CCN6HSALZ","B0010XT5GG","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Roland Frymire",2,"Not my first choice","Too runny and doesn't have the perfect thickness as Nosa yogurt",true
"R3JZUMDB55T6QV","B0010XT5GG","","Reviewed in the United States on April 4, 2021","April 4, 2021",1617516000,"balex06",4,"Tasty but thin","Tasty yogurt but on the thin side",true
"RXNZEXW8MDGD3","B0010XT5GG","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"landscape darling",5,"Disappointed in eating this","To sweetHigh caloriesWatery yogurtGreat packagingDon’t be deceivedYou could use it on your skin hands for moisture washing thin like lotion or a soapThis is very high in sugar",true
"R2JTU8GG2011Y0","B0010XT5GG","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"great service great product",5,"good","good",true
"R15GLI279FMA82","B0010XT5GG","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Tracy",2,"Delicious but runny","Although this yogurt is delicious, it's really runny, which is not great when a toddler is feeding herself. More got on her bib than in her mouth.",true
"R19OE920FQJS16","B0010XT5GG","","Reviewed in the United States on November 23, 2020","November 23, 2020",1606114800,"Elizabeth",5,"Fabulous Flavor Absolutely Fantastic!","Best yogurt I’ve ever eaten and I’m an expert!!Delicious and satisfying!!",true
"RL3DZXNF3F1O2","B0010XT5GG","","Reviewed in the United States on October 24, 2020","October 24, 2020",1603519200,"Common sense consumer",5,"Smooth and tasty vanilla yogurt.Not bitter, not too sweet, never pasty.Really good stuff.","Smooth and tasty vanilla yogurt.Not bitter, not too sweet, never pasty.Really good stuff.",true
"R32D5NSD1BJML5","B0010XT5GG","","Reviewed in the United States on October 22, 2020","October 22, 2020",1603346400,"Paul",5,"Yummy","I don't generally like flavored yogurt, usually flavored yogurt is too sweet. I purchased this for a dessert recipe but really enjoyed it on its own also",true
"RN4HEXIPVDYCZ","B0010XT5GG","","Reviewed in the United States on October 12, 2020","October 12, 2020",1602482400,"max beatty",1,"Bought 2 and both were very very watery","like super watery, threw them both out",true
"R1YZD9QRSU4PH8","B0010XT5GG","","Reviewed in the United States on August 27, 2020","August 27, 2020",1598508000,"Bonnie M",3,"tastes fine","So thin you can drink it.",true
"R2BOY32IXT795B","B0010XT5GG","","Reviewed in the United States on August 4, 2020","August 4, 2020",1596520800,"Jeremy",5,"Best Greek Yogurt ever","Best Greek Yogurt ever",true
"R22N547GDM4Q5I","B0010XT5GG","","Reviewed in the United States on July 12, 2020","July 12, 2020",1594533600,"valerie gabelich",5,"Flavor and consistency","My all time favorite yogurt. Smart and final stopped caring it.☹️",false
"R2XIMIWSXVSYAH","B0010XT5GG","","Reviewed in the United States on April 11, 2020","April 11, 2020",1586584800,"Nadine Findley",5,"Great price. Taste great!","Great price. Taste great!",true
"R28DOBFEEJ6ZV4","B0010XT5GG","","Reviewed in the United States on March 4, 2020","March 4, 2020",1583305200,"AC",5,"Makes great smoothies","This vanilla yogurt is a favorite. Just the right thickness but not too thick. Great in berry smoothies.",true
"R39L2DYNDTSDQB","B0010XT5GG","","Reviewed in the United States on February 12, 2020","February 12, 2020",1581490800,"Megan",5,"DELICIOUS","This yogurt is my favorite, it tastes amazing!",true
"R3JFWLTPVTQ9D8","B0010XT5GG","","Reviewed in the United States on February 8, 2020","February 8, 2020",1581145200,"beeth",1,"Too sweet. Too gooey","Sickly sweet goey. Not for me",true
"RQ3EE68L5169O","B0010XT5GG","","Reviewed in the United States on January 22, 2020","January 22, 2020",1579676400,"Claudio",4,"Healthy Food","This Wallaby Organic is good and healthy. I only gave 4 stars because I personally do not like the taste. That is my subjective opinion. There is nothing wrong with the product. It is worth for anyone to try it at least once and decide if you like it or not. I still purchase the same brand in plain Yogurt and it taste good.",true
"R1CH199RNHEVNH","B0010XT5GG","","Reviewed in the United States on January 19, 2020","January 19, 2020",1579417200,"FTK",4,"Yummy; not as dense as American yogurt","Very yummy and smooth. Is a more liquid texture like pasta sauce than the thicker/denser American style yogurt.",true
"R1R2CHTUNOQDR","B0010XT5GG","","Reviewed in the United States on January 18, 2020","January 18, 2020",1579330800,"N. Richardson",4,"Great smooth yogurt!","This is a very good smooth yogurt. It is fairly thin (it can almost be poured!), but the kids and adults in our family enjoy it with fruit or by itself. Not too sweet, and definitely not sour.",true
