"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3QXT1UA5MTWM","B0012ZCPM8","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"DanCooperMedia",5,"The best Greek yogurt by far","These cups of Fage with attached jam are so vastly better than Chobani it's like they aren't even the same product. The texture is richer, more flavorful without any jam, the jams are delicious, all of them, and a cup is very satisfying especially considering the cost. Yes this is a rave, and I do not ever do that. For those who do not know, Greek yogurt is very healthy, and contains lots of good dairy protein, which is good for you. Want to be healthy? Drink a lot of whole milk. Watch your cholesterol drop down.",true
"R1YPBXYEPZL4A0","B0012ZCPM8","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"archie nieman",5,"Delicious","Order weekly",true
"RXWHPQSFGPO6K","B0012ZCPM8","","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Randy",5,"Fage is good stuff.","Family can’t get enough! Yum",true
"R299VKEDT464KO","B0012ZCPM8","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"SYLVIA",5,"Delicious","Love the taste..",true
"R1OFBFPT0QLS9O","B0012ZCPM8","","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"bk",5,"Yummy","Love this yogurt.",true
"R2A82YIWQBO4BH","B0012ZCPM8","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Airu Cheng",5,"I like it","N/A",true
"R2LCEKDJOAWOX0","B0012ZCPM8","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Keqing Nian",5,"Very good","Very good",true
"R2HAFUUQG3W2P2","B0012ZCPM8","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Amazon Customer",5,"Great Product","Great taste, great priceand will buy again.",true
"R3CPSADCR37OVA","B0012ZCPM8","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Shelley",5,"Love this brand...","Close to Greek yogurt I had in Greece.",true
"RUDIUESIJ7E5Q","B0012ZCPM8","","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"CKL",5,"Luv peaches","Yummy",true
"R20PJBBLU0J0TP","B0012ZCPM8","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Stacey",5,"Face is delicious","Rich tasting yogurt even though low fat and lower calorie.",true
"RRF34GP0NEG4F","B0012ZCPM8","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Kindle Customer",5,"Rich and tasty","Love it, texture, flavor, taste and wonderfully rich",true
"R17AFNYKH0BQPD","B0012ZCPM8","","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"Ritagya Mehrish",5,"Good purchase !","Delicious !",true
"R171YXMOEGFRAB","B0012ZCPM8","","Reviewed in the United States on February 28, 2021","February 28, 2021",1614495600,"Lucy",1,"Not fage’s fault","Not Fage’s fault meant to get blood orange.",true
"R2UN4K0Y29DLGR","B0012ZCPM8","","Reviewed in the United States on February 8, 2021","February 8, 2021",1612767600,"T.J.",5,"Very Good","Fresh - Great Taste!",true
"R16QT53XP0JNRA","B0012ZCPM8","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"Eleanor Sandford",5,"Yummy yogurt","I could mention “flavor”, “thickness” and “sheerness(?)” in my review but I chose not to.It’s good yogurt!",true
"R24XXKN1TPH43D","B0012ZCPM8","","Reviewed in the United States on January 19, 2021","January 19, 2021",1611039600,"Rachel D",5,"Tasty","Tastes very good",true
"R34T0BUDQ85X3H","B0012ZCPM8","","Reviewed in the United States on January 16, 2021","January 16, 2021",1610780400,"B. Elli",5,"Chobani sucks.","I love this",true
"R20VZFSSR4QDW3","B0012ZCPM8","","Reviewed in the United States on December 30, 2020","December 30, 2020",1609311600,"Remington",5,"Yummy Yogurt!!","I love Fage yogurts.... you have to stir in the ""jelly"" flavor, but you can control it.... I love the peach!",true
"R3ULA0V81E7M5E","B0012ZCPM8","","Reviewed in the United States on December 10, 2020","December 10, 2020",1607583600,"The Duke",5,"FAGE MY FAV!","Fage is now my Favorite yogurt. It’s thicker and creamier than all those other watery yogurts, which you could actually drink. Thick and creamy, love the texture,DELICIOUS!",true
