"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RNFELSFF52A1E","B0012ZGI26","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Online Shopper, United States",2,"Too many carbs!","Too many carbs!It's okay if you don't finish all the honey.This serving size has a ridiculous amount of empty sugar carbohydrates.The other (fruit) flavors of this split cup 2% Fage have much lower carbs.There's 2 - 3 times as much honey in this one as you need for the amount of yogurt.It's good honey, though, with a nice, floral scent.",true
"R2QAYJRQA28GIQ","B0012ZGI26","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Lisa Rastellini",5,"Great price. Freshness and taste is amazing!!","Great price. Freshness and taste are amazing!!!",true
"R2WIXXE8AXMM8E","B0012ZGI26","","Reviewed in the United States on May 30, 2021","May 30, 2021",1622354400,"Efstathios T.",5,"Best yogurt anywhere","The flavor is unbelievable",false
"R2LE0XX33VM9I8","B0012ZGI26","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Natasha",5,"Great!!","This was my first mixed cup from Fage. It taste great!! You get a lot of honey which I know is sweet, but it can also be overwhelming. I would recommend and have bought repeatedly since❤️",true
"R25R0KMYMLESV9","B0012ZGI26","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Karen D Garman",4,"Don’t waste plastic and honey get a larger container and buy honey to add to it.","So I really liked the yogurt and the honey but I was amazed at how much honey is included. There’s no way anyone could eat that much honey with that much yogurt. I don’t like to buy products that make me feel like a glutton and a wasteful Amercican. Next time I will be a large container of this yogurt and some honey separate and mix them myself.",true
"RO4NM0HZJH4YY","B0012ZGI26","","Reviewed in the United States on May 17, 2021","May 17, 2021",1621231200,"Pubicdoughmayne",5,"So good.","God, I love this so much. The slight tart of the plain greek yogurt with the sweet and delicious honey is the perfect contrast. I recommend not stirring it like crazy and mixing it. Just push the honey into the yogurt a few times or leave it layered on top. So good.",true
"R1Z9S4HX0ZHCDD","B0012ZGI26","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Judson Somerville MD review rank",5,"Delicious","I love Fage yogurt!",true
"R3L5458LVQMRMT","B0012ZGI26","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"shelby deveny",5,"Not your normal yogurt","Love this productIt’s healthy and I consider somewhat a snack when I want to eat bad:)",true
"RTFTE8CI63XOQ","B0012ZGI26","","Reviewed in the United States on October 20, 2020","October 20, 2020",1603173600,"b",5,"Yum!","Delicious breakfast or snack",true
"RFGFBL501QOE0","B0012ZGI26","","Reviewed in the United States on September 30, 2020","September 30, 2020",1601445600,"Hilary",5,"Yum","I love fage - I won’t eat any other yogurt",true
"R35MJ1CDNUAVI1","B0012ZGI26","","Reviewed in the United States on September 24, 2020","September 24, 2020",1600927200,"Francine M.Roccuzzo",5,"Great honey flavor.awesome yogurt.","Great honey flavor. Yumm.",true
"R3U7ZHQU8B280X","B0012ZGI26","","Reviewed in the United States on September 3, 2020","September 3, 2020",1599112800,"Roxanne",5,"You Feel good eating this!","If you are not a yogurt fan you will be after eating this! Especially this flavor it is amazing! Always sold out in the supermarkets I am in total love with this blend.",true
"R1JST0QEMOW6ZM","B0012ZGI26","","Reviewed in the United States on August 21, 2020","August 21, 2020",1597989600,"Omie",5,"Great Yogurt","Love this yogurt.",true
"RDP76A5SVHNOE","B0012ZGI26","","Reviewed in the United States on June 29, 2020","June 29, 2020",1593410400,"ursula h",5,"Perfect amount of sweet","The tastiest yogurt on the planet. The combo with the honey is perfect and not too sweet. Love this stuff !",true
"R1XWTZBGSGXCL6","B0012ZGI26","","Reviewed in the United States on June 5, 2020","June 5, 2020",1591336800,"Kevin",5,"Delicious! Don't blend in the honey!","It tastes better when the honey is lightly added to the yogurt, but not blended/fully mixed in. I'm not sure why, but maybe it's the slight texture difference and having a pockets of sweetness instead of a mush of sweetness.",true
"R3DZHGYSXOL5B1","B0012ZGI26","","Reviewed in the United States on May 2, 2020","May 2, 2020",1588399200,"Lupo",5,"Excellent!!","Great portion for a snack or for a kids meal.Super tasty, healthy and great design with the included honey.",true
"RFQPRQCYD2I9A","B0012ZGI26","","Reviewed in the United States on May 1, 2020","May 1, 2020",1588312800,"DriDriSATX",5,"Tangy","Perfect amount of honey.Great tangy greek flavor.",true
"RLGW6U0IXD31U","B0012ZGI26","","Reviewed in the United States on April 30, 2020","April 30, 2020",1588226400,"Sarah J.",3,"Damaged","2 of these arrived with the foil punched open and had to be thrown out.",true
"R5WAKI535ELZ","B0012ZGI26","","Reviewed in the United States on April 16, 2020","April 16, 2020",1587016800,"JetanMaster",5,"Creamy and the honey is absolutely delicious","I love this yogurt",true
"R3C6RHGPU8CZT6","B0012ZGI26","","Reviewed in the United States on April 1, 2020","April 1, 2020",1585720800,"susan titone",5,"Delicious","Great",true
