"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2DQAUK9DF65PZ","B0012ZI8A6","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Amy D",1,"It is not the cherry one, it's black cherry. Don't care for it.","I love Fage but although this product is listed as cherry, it is the black cherry one, which I do not like the taste of at all. Needs to be fixed in the system to show that its black cherry.",true
"R2FHCN63ELY7Q6","B0012ZI8A6","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Amazon Customer",5,"Love this split cup yogurt","Thought these were not around anymore.Happy to see Whole Foods is carrying them again.. its nice to be able to mix the amount of fruit you prefer with your plain yogurt. Love Facebook! Good healthy ingredients.",true
"R2RZZSFTX2ZV3Q","B0012ZI8A6","","Reviewed in the United States on January 22, 2021","January 22, 2021",1611298800,"TonyInLaurelMD",3,"Two little fruit","High quality yogurt, two little fruit though. I ordered the cherry, there should have been twice the amount of fruit with it. Will not likely reorder.",true
"RSTVXDJ1QMHGJ","B0012ZI8A6","","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"Beatrice",5,"Love Fage","Fage is now difficult to find in my local grocers.I particularly like the richness and creaminess of the 5% Fage that I have been able to find in the peach flavor.",true
"R27OYOILEJHBKJ","B0012ZI8A6","","Reviewed in the United States on November 19, 2020","November 19, 2020",1605769200,"SandyRoseWallace",5,"Fabulous","I didn't know yogurt could ever be this good.Yummy",true
"R1L5NNA0BT8FB2","B0012ZI8A6","","Reviewed in the United States on October 3, 2020","October 3, 2020",1601704800,"als.josh",5,"love this stuff","best all around yogurt - all flavors",true
"RZN8M1GTQUY40","B0012ZI8A6","","Reviewed in the United States on April 18, 2020","April 18, 2020",1587189600,"MMorris",5,"One of Fage’s best but beware online ordering","This is difficult to find these days, so I’m happy that Fresh had it in stock.The cherries are tart and sweet - really tasty!Plus, you get the protein and thick yet creamy texture of Greek yogurt.My two favorites are the tart cherry and Sicilian lemon (only I can never get enough of the lemon- need more in the cup).Update: This is the second time I ordered the product from Whole Foods via Amazon and that I got the BLACK cherry flavor.It’s not at all the same.I love the tartness of the regular cherry flavor (as in the product photo).Black cherry is sweeter.It’s not bad, but if you’re wanting the red cherry, you will be disappointed in this one.",true
"RBRZ9EIT1LGCS","B0012ZI8A6","","Reviewed in the United States on February 3, 2020","February 3, 2020",1580713200,"H",5,"Best yogurt","Delicious as always!Will purchase again.",true
"R3UM91F395URZK","B0012ZI8A6","","Reviewed in the United States on January 4, 2020","January 4, 2020",1578121200,"Vladimir Vialyi",5,"My favorite","My favorite yogurt",true
"R2TY9PXE23WH50","B0012ZI8A6","","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"jocelyn",5,"My favorite flavor !","Wish they had this available more often ! Love this flavor",true
"R2OSUTWYB589R5","B0012ZI8A6","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Online Shopper, United States",5,"Expensive, but delicious and worth it.","This is pretty good.",true
"R3550QMDKH8DAT","B0012ZI8A6","","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"EvilEye",5,"Good product","Would purchase again",true
"RWJSOW87UG2SD","B0012ZI8A6","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"Judith",5,"my favorite yogurt","tasty and nice smooth consistency",true
"R22IE4MOMUN6RI","B0012ZI8A6","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"Lindy",5,"More healthy choice than some products and yummy","So good! I buy this brand, and flavor over and over.",true
"R5VDQX2XXJN6W","B0012ZI8A6","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"andrea frohman",5,"great taste","Great taste and quite delicious.",true
"RT4MTR5UPL2CV","B0012ZI8A6","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Judson Somerville MD review rank",5,"Delicious.","I love Fage yogurt!",true
"R18XS7I2FN2VFR","B0012ZI8A6","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Big guy in Texas",5,"I love this yogurt!","I love this yogurt with fruit on the side",true
"R395MD6TL8RIB7","B0012ZI8A6","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"DanCooperMedia",5,"Delicious","I love these. The denseness of the yogurt, its flavor, and the fruit jam are excellent.",true
"R17QMKF9481JUA","B0012ZI8A6","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"JohnFourney",5,"Great convenience and delicious","Delicious, on time delivery, so nice having delivery",true
