"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1N39AVNKXYQI9","B0014D3OYG","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Laurence E Bell Jr.",5,"Delicious!!!","Excellent variety!!!",true
"R1KQA3GJM99RIQ","B0014D3OYG","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"smposto",5,"Car trips","These mini bags are great for car trips.My kid is Type 1 diabetic but is a big snacker.These were great portion control and had a nice variety that my kids didn’t fight (too much) over the types.",true
"RLGFCKUDF57QA","B0014D3OYG","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Josh ",5,"Good portion size","Cereal already proved out for a snack or a quick meal on the go. Great for husband's too",true
"R2UGYRXGJ01BZM","B0014D3OYG","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"Lisa",4,"My 10year old was not impressed","Pouches not boxes as expected... these packets are tiny...",true
"R12Z284CM6CFW5","B0014D3OYG","","Reviewed in the United States on July 21, 2020","July 21, 2020",1595311200,"Shadow Key",4,"They are different than when I was a kid.","When I was a kid you cut on the 3 dotted lines all the way through the box & into the bag & that made the cereal bowl that you would pour milk into. Now the cereal is in a bag like potato chips are in. That no fun :-(",true
"R237M4KHIBBEZK","B0014D3OYG","","Reviewed in the United States on July 15, 2020","July 15, 2020",1594792800,"Selda Yildiz",4,"Fresh","I love it crunchyyummy",true
"R2SBI24TK48QD8","B0014D3OYG","","Reviewed in the United States on July 3, 2020","July 3, 2020",1593756000,"Bryoonie",5,"Good Value","Good value for a multipack of some of our favorite cereals.",true
"R2Y4Z0H305ZVLZ","B0014D3OYG","","Reviewed in the United States on March 8, 2020","March 8, 2020",1583650800,"Larry Morrison",5,"Good product","Good value",true
"R32MM005IRUXY6","B0014D3OYG","","Reviewed in the United States on February 29, 2020","February 29, 2020",1582959600,"Valid User",5,"Delish","Delish",true
"R10VLW50XUGVGQ","B0014D3OYG","","Reviewed in the United States on January 8, 2020","January 8, 2020",1578466800,"Glitterjen",5,"Yum","Yummy holiday treat for stockings!",true
"R2XVAQDK8D3YO5","B0014D3OYG","","Reviewed in the United States on September 22, 2019","September 22, 2019",1569132000,"Shlomo Meyers",5,"Enjoying every single cereal","I’m really enjoying it that I might want to buy it again",true
"R1MR6K7TL2UXNR","B0014D3OYG","","Reviewed in the United States on July 5, 2019","July 5, 2019",1562306400,"Scalding hawt ",4,"Cute cereals for kids","Cute cereals for kids",true
"R3KSP0N5I0DKU3","B0014D3OYG","","Reviewed in the United States on December 17, 2018","December 17, 2018",1545030000,"Karen",5,"Excellent","Great",true
"R3D3Q1LE5Y6MRY","B0014D3OYG","","Reviewed in the United States on June 27, 2018","June 27, 2018",1530079200,"Chrissy",5,"Summer vacation and snack essential!","Great variety for summer vacation and snacks on the go.",true
"R300A4J5FAHPS1","B0014D3OYG","","Reviewed in the United States on April 17, 2018","April 17, 2018",1523944800,"Hannah",3,"Three Stars","By ""pack"" they mean bags and the servings are small for adults, probably ok serving size for kids.",true
"R139EPKIGCUXSU","B0014D3OYG","","Reviewed in the United States on June 3, 2017","June 3, 2017",1496469600,"nems",4,"Wish they came in miniature boxes like the others...","Love this variety the best, super yummy. Just wished they came in those mini boxes that are so very cute and 1/2 the fun.",true
"R1LTJFDWV8V89J","B0014D3OYG","","Reviewed in the United States on June 3, 2017","June 3, 2017",1496469600,"Missy K.",5,"Food For Fun!","Fair price and good snack size. Especially if you don't want to give your kids sugary cereal for breakfast but don't mind letting them have something fortified to snack on with a bit too much sugar. You're only a baby once after all. Great for school lunches!",true
"R3W0BZRU7BL987","B0014D3OYG","","Reviewed in the United States on February 22, 2017","February 22, 2017",1487746800,"Amazon Customer",5,"Five Stars","Great for on the go snack.",false
"R1GXBKSTIFVV63","B0014D3OYG","","Reviewed in the United States on February 9, 2017","February 9, 2017",1486623600,"Mumsy2004",4,"Four Stars","bags are small",true
"R1QJPTGIQ5SO6F","B0014D3OYG","","Reviewed in the United States on December 31, 2016","December 31, 2016",1483167600,"MARIA E FLORES",4,"Four Stars","Good.",true
