"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R172OOCNCPSJIU","B002GVJZ4I","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Amazon Customer",5,"Good quality.","I love the texture and flavor.",true
"R1ZKHRFE535M03","B002GVJZ4I","","Reviewed in the United States on February 10, 2021","February 10, 2021",1612940400,"Cubster",5,"Creamy","Pick your flavor but it's a good Greek yogurt.",true
"R1D5J7VW0Q41TN","B002GVJZ4I","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"Mary Magee-Johnson",5,"Very good price","AAA+++",true
"RP68ZTHRB9QU3","B002GVJZ4I","","Reviewed in the United States on November 14, 2020","November 14, 2020",1605337200,"Chunxu Chen",5,"Great Yogurt and fair price","Cheaper than other stores. Great quality",true
"R1GW8NOPLZENRZ","B002GVJZ4I","","Reviewed in the United States on September 18, 2020","September 18, 2020",1600408800,"Elizabeth P. LeSueur",5,"Not your mama’s tasteless vanilla yogurt","I used to avoid vanilla yogurt because it was so bland but this one is exceptionally good and blends very well with any fruit.",true
"RAAH5CRPM2OUI","B002GVJZ4I","","Reviewed in the United States on July 1, 2020","July 1, 2020",1593583200,"Jean Petty",5,"Yogurt","I ordered this just to compare taste of non-fat to whole milk thinking I really wouldn’t care for the low fat. To my surprise it was one of the best yogurts I’ve ever tasted. I’m in to non-fat for now on once I eat all the whole milk I bought.",true
"R23U5OAGCO6S5A","B002GVJZ4I","","Reviewed in the United States on April 27, 2020","April 27, 2020",1587967200,"Sunny",5,"Chobani is the best.","When I buy yoghurt, I pretty much always go with Chobani, their yoghurt is the best. This flavour has a rich vanilla taste and it is not overpoweringly sweet. Definitely recommend it.",true
"R3FV0UTE85OPD8","B002GVJZ4I","","Reviewed in the United States on March 21, 2020","March 21, 2020",1584770400,"sachin jain",4,"Fantastic taste but at higher price","Great taste!!",true
"R1YY6SUMXIQ60I","B002GVJZ4I","","Reviewed in the United States on March 1, 2020","March 1, 2020",1583046000,"2hotnaz",5,"Perfect for breakfast","Delicious & fresh",true
"RKHG53BNDY0Q","B002GVJZ4I","","Reviewed in the United States on January 2, 2020","January 2, 2020",1577948400,"Calvin",5,"The best!","Chobani makes really good yogurt, especially vanilla!",true
"R30YRHS5FMM35X","B002GVJZ4I","","Reviewed in the United States on August 13, 2021","August 13, 2021",1628834400,"Donald Johnson",5,"very good choice","good value and tasty",true
"R243MC94XPFP4X","B002GVJZ4I","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Richard C. Leventhal",5,"Greek to go!","Wonderful taste!",true
"R3O79XEZBQMMRC","B002GVJZ4I","","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"GailVS",5,"As ordered","Flavor, good exp date",true
"R1WZ81QISJRJ54","B002GVJZ4I","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"JACKIEF46",5,"Tasty","Tasty",true
"R55YYR2GYJ200","B002GVJZ4I","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"kumar",4,"Super tasty.","My kids favorite yogurt.They love the vanilla flavor and super tasty.",true
"R2J44HXY2OKBDJ","B002GVJZ4I","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Adam",5,"Secret weapon","The only remotely redeeming thing about me is what I look like. And trust me, it’s not great to begin with. This yogurt especially with fresh berries, granola, honey and a pinch of sale (it’s chemistry no seasoning) is the fix. Like the ACTUAL fix. Hershey’s might file for bankruptcy but I’m going to look good reading about it.",true
"R2STNP4GMEG27N","B002GVJZ4I","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Amazon Customer",5,"Chobani non-fat Greek yogurt","Great thickness yet light after taste.Nutritional and try mixing with fruit and nuts-Makes yummy smoothies too!!",true
"R1HVPVGDD2BKQR","B002GVJZ4I","","Reviewed in the United States on April 17, 2021","April 17, 2021",1618639200,"Shoppers",2,"Not satisfied","No front like at first and the cup was not filled in all of the flavors",true
"R2TF69E1ZRZB6J","B002GVJZ4I","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Charmaine",5,"This I’ll always buy","I love Yogurt",true
"R39DH0ISEE2UDO","B002GVJZ4I","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"MARGIE",5,"Great flavor","Good flavor",true
