"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1H2B2HT0V8NEE","B002GVJZI4","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Amazon Customer",5,"Yummy!!!!","Thick and flavorful creamy and rich!!!",true
"R1WUGZ3QHGJO4F","B002GVJZI4","","Reviewed in the United States on February 26, 2021","February 26, 2021",1614322800,"Debra Antrikin",5,"Love","Great taste, good probiotic.",true
"R3SPUTRMSN4GTR","B002GVJZI4","","Reviewed in the United States on February 25, 2021","February 25, 2021",1614236400,"Gigi",5,"Always a favorite","It's an anytime of the day fave -- creamy with just enough fruity sauce at the bottom.Chobani has the perfect blend between sweet, tart, sour, and tang.Yummm.",true
"R4X3BE6SC6YLU","B002GVJZI4","","Reviewed in the United States on February 2, 2021","February 2, 2021",1612249200,"Augustin k.",5,"Good","Nice",true
"R2DFRDEDZGEK6U","B002GVJZI4","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Customer",5,"Yummy yogurt","Very good flavor and consistency",true
"R1YMGJAP121NX9","B002GVJZI4","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"omegasprite",5,"Very tasty","Very tasty",true
"R275PFK4VQVGPA","B002GVJZI4","","Reviewed in the United States on December 8, 2020","December 8, 2020",1607410800,"Kahne Questor",5,"Yum, calorie free","Taste is good",true
"R3K7N3RW113Q37","B002GVJZI4","","Reviewed in the United States on November 7, 2020","November 7, 2020",1604732400,"SP",2,"Sweet","Way too sweet!",true
"R3HT3059A57J5Y","B002GVJZI4","","Reviewed in the United States on October 25, 2020","October 25, 2020",1603605600,"Robert Jones",5,"Great flavor","Delicious yogurt, my daily go-to. You can add more fruit, or spice it up with granola.",true
"R11L997FFSI1BZ","B002GVJZI4","","Reviewed in the United States on October 15, 2020","October 15, 2020",1602741600,"Customer",5,"Great","Love them alot. And they can be frozen to last long",true
"R39EK2FL5J48WE","B002GVJZI4","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Michael D. Hansen",5,"Great Brand","Chobani give you a large selection of flavors and a low cost.They taste great and have the great texture of Greek yogurts.Love them anytime",true
"R2GVA95LJXBHH4","B002GVJZI4","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Marcie j",1,"DONT BUY.","I ordered two of these yogurts just to opened them and see that they were expired and the fruit at the bottom look terrible never again!! I’ll just shop at the grocery store for things like this, someone should be checking the temperature or date how disgusting. #NOSTARS",true
"R37RGP0F0C6N4Z","B002GVJZI4","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"laure93320",3,"Nice but not that good","Nice yogourt but the taste could be better I think. But try it maybe you would love it.",true
"R1JD09DY87IP2I","B002GVJZI4","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Charmaine",5,"Will always buy it","Love it",true
"R3PX90EQB0DZLF","B002GVJZI4","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Katherine Meza",5,"Yum","Can’t go wrong with strawberry",true
"R16BMN03KS2T7R","B002GVJZI4","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Maria G.",2,"Chobani Yogurt My Least Favorite Brand","Chobani yogurt tastes awful. I'm a big yogurt eater but I just don't like the taste of this brand yogurt, sorry.",true
"R51QGEAMNXAPJ","B002GVJZI4","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Margaret: reader, teacher, and writer..",5,"I love Chobani.","I just wish they didn't use plastic.",true
"R3CWVI4XD2PR8V","B002GVJZI4","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Dusty Wade",5,"As advertised","Delicious and fresh",true
"R32GC5MFKJ8XLG","B002GVJZI4","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"Jamie",5,"Best yogurt!","LOVE that the fruit is on the bottom, so you can choose how much to mix into your yogurt!Does NOT taste fat-free.Our little one loves this yogurt, and I eat it too, but try not to use all of the sweetness from the bottom in mine... although it's delicious when I do!",true
"R22GHSLDA9474P","B002GVJZI4","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"P.Brown",5,"Good yogurt","Good flavor. Good amount.",true
