"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2H59QJFV2XW31","B002GVJZS4","","Reviewed in the United States on January 21, 2021","January 21, 2021",1611212400,"Chesapeake Blue Eyes",5,"Go to brand","My favorite brand",true
"R25C102XDE6OI6","B002GVJZS4","","Reviewed in the United States on January 11, 2021","January 11, 2021",1610348400,"Debbie Ballard",5,"Recommend","I do not like yogurt but it’s tolerable if I mix it with granola. This is the only yogurt I can eat.",true
"R7F69GJQI77BH","B002GVJZS4","","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"Chale",5,"Great for smoothies, healthy too.","Flavorful and fresh.",true
"RC1SAWGHCG7M9","B002GVJZS4","","Reviewed in the United States on November 27, 2020","November 27, 2020",1606460400,"Elaine C Small",1,"OOut dated","it was rotten and expired",true
"R3KPMZHWNQC6KJ","B002GVJZS4","","Reviewed in the United States on October 23, 2020","October 23, 2020",1603432800,"Libby",5,"Yummmmy😋","Great yogurt!",true
"R6DKM0BUL4QEI","B002GVJZS4","","Reviewed in the United States on October 18, 2020","October 18, 2020",1603000800,"W. Raffel",5,"5 Star....Great value","Another great product on Amazon Fresh. The Chobani Non-Fat Greek Yogurt, Blueberry on the Bottom, tastes great and is a nice value. Love it!",true
"R1NY9YCMZSJ62W","B002GVJZS4","","Reviewed in the United States on October 8, 2020","October 8, 2020",1602136800,"Ryan",5,"Great","Great flavor and we get these all the time.Hubby loves them for lunch or snack.",true
"R5FE43ZDQXKZQ","B002GVJZS4","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"Amazon Customer",1,"Arrived spoiled","Thanks again Whole Foods for selling me spoiled yogurt, even though the expiration date wasn’t for another week.",true
"R2TKPJXY4T5KJH","B002GVJZS4","","Reviewed in the United States on August 10, 2020","August 10, 2020",1597039200,"Joan Ferguson",5,"Excellent","Loved it thicknesses",true
"R24OKDSY0KKM6A","B002GVJZS4","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"A. Jarry",5,"Does not taste low fat.Going to be getting more","This has a great texture and tastes rich considering it is fat free.I usually avoid fat free yogurts.Too much sugar, though.They could go a tad less on that.I only wish there was more in the cup.",true
"R1P210FSKBFQBD","B002GVJZS4","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Amazon Customer",5,"My favorite Greek yogurt! Buy here & get longer expectational date!","My favorite Greek yogurt! Buy here & get longer expectational date!",true
"R2RQT0HNNUYR0Q","B002GVJZS4","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Michael D. Hansen",5,"Great Brand","Chobani give you a large selection of flavors and a low cost.They taste great and have the great texture of Greek yogurts.Love them anytime",true
"RJ1F3QERXE1HW","B002GVJZS4","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Tyler Robinson",1,"Not a fan of dairy or greek yogurt I guess","I already do not like traditional dairy practices and such but I have liked yogurt from time to time regardless. I wanted to give greek yogurt a try and I find it to be much worse than regular yogurt.",true
"R137A2AFBCFVEO","B002GVJZS4","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Joaquin Juan",3,"Good but....","Flavor is good but too much added sugar!!!",false
"R39IECGEZ3NCZD","B002GVJZS4","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"Peggy",5,"Convenient","Great",true
"R16RIZZGZC7XI4","B002GVJZS4","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"Maria Jim",5,"Good tummy food.","Nice flavor. Just terrific.",true
"R3MY2IDLGWYLA0","B002GVJZS4","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"SlickBuyer",3,"It's OK","Chobani is decent and healthy but has that weird yogurt smell when you first open it. Most people like it because it's not sweet. I like sweet, so that's why I prefer Fage, plus Fage doesn't have the smell.",true
"R1RE248TU1X0XG","B002GVJZS4","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Dusty Wade",5,"As advertised","Delicious and fresh",true
"RC75T9Q0CJWZX","B002GVJZS4","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Tom Craig",1,"Too close to expiration date","Not fresh too close to expiration date",true
"R3F1W44C6WF59X","B002GVJZS4","","Reviewed in the United States on February 12, 2021","February 12, 2021",1613113200,"Stephie",5,"Great tasting and pleasant yyogurt","Great tasting and pleasant blueberry yogurt",true
