"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1ZUA66VTSVH2B","B002GVK07O","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"IslandGirl",5,"I love chobani yogurt","Great flavor.",true
"R31D3V2OHK34Q9","B002GVK07O","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Michael D. Hansen",5,"Great Brand","Chobani give you a large selection of flavors and a low cost.They taste great and have the great texture of Greek yogurts.Love them anytime",true
"R1H7L4FV8XKUTX","B002GVK07O","","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Drew Linehan",5,"great flavor","I did not think I would like but I really enjoyed.",true
"R5R0AKSIMVIKK","B002GVK07O","","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"cfk",1,"Not for me","Bad taste. I prefer regular",true
"RD9SEMVTATIKI","B002GVK07O","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"CeM",3,"Not my favorite","This non-fat Chobani product is disappointing to me. Maybe because it isn’t sweet, I don’t find it tasty. It is more expensive than similar products. Because it is fat free, it isn’t as creamy as other yogurts.",true
"R2LARCE2BF1OVR","B002GVK07O","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"P.A. Vegas",5,"Excellent yogurt","Great taste!",true
"R1HV8XLKROT7ST","B002GVK07O","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Marco Galeotti",4,"Good","Okay",true
"R16DTGOAQSR4C8","B002GVK07O","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"Lorraine V",5,"Superior variety, taste, an excellent addition to your daily diet.","Love the taste, especially the raspberry one.I also loves the variety.",true
"R2KROUL5IUX63S","B002GVK07O","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Georgena Ray",5,"Great value for the money😉","This product is creamy,with the fruit on the bottom makes it just sweet enough I had mine over grape nuts what s filling breakfast. Some times I just put it in a bowl & add extra peaches makes for a great lunch the pricey is right for what you get",true
"R1UHQM0R0SURYZ","B002GVK07O","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Mercedes Mónica Duarte Martínez",5,"Esta en tu puerta en buen tiempo","Riquisimo y saludable producto",true
"R3FXM0ZFIPCJY3","B002GVK07O","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Charmaine",5,"More I will buy","Love yogurt",true
"R27JP2NR69AFML","B002GVK07O","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Katherine Meza",5,"Yum","Chobani yogurt is the best",true
"R3O7H9VNTL2YZN","B002GVK07O","","Reviewed in the United States on April 3, 2021","April 3, 2021",1617429600,"J. Stover",2,"Sour taste","I threw them out. I'm not liking the sour flavor. I switched back to Dannon Greek Yogurt. These taste spoiled.",true
"RAMRCY6DQMPXW","B002GVK07O","","Reviewed in the United States on April 1, 2021","April 1, 2021",1617256800,"TV",5,"Love it","When you can get it for a dollar each, it's great! Creamy, not too sweet and GOOOD chunks of fruit",true
"R3T6YR3NJ3XMJO","B002GVK07O","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Margaret: reader, teacher, and writer..",5,"Can't go wrong with Chobani.","A great yogurt product. I wish they used cardboard instead of plastic for the container.",true
"R3WQV4Y1B6NTS","B002GVK07O","","Reviewed in the United States on March 27, 2021","March 27, 2021",1616824800,"Sunny",1,"No fruit. Maybe 4 pieces! Sad!","Where is the fruit!!!!",true
"R11X2FTE7ABOTM","B002GVK07O","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Dusty Wade",5,"As advertised","Delicious and fresh",true
"R1UAAGED57N1I0","B002GVK07O","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"jean gappert",2,"Touch of sweetness","Tastes good",true
"R229DB8BF5FS13","B002GVK07O","","Reviewed in the United States on January 6, 2021","January 6, 2021",1609916400,"Ariel",5,"Great flavor, very healthy","I live this mango yogurt. One of my favorites",true
