"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1QCEPV00NCRX8","B004B3KMTQ","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Ji Y",5,"Great taste!","Love love love Great yogurt!Exactly I was looking for!!! Sugar free",true
"R3AE6M1ZH7SUA","B004B3KMTQ","","Reviewed in the United States on April 1, 2021","April 1, 2021",1617256800,"Rosie",4,"Rich Greek Yogurt","Oh, it’s a thicky! This was ultra rich and is a great source of protein. It's made out of whole milk for calcium. I use mainly to make smoothies but because this tastes tart and pasty, it doesn't taste as good with certain combination like vegi. But with fruits, it breaks it up a little. It’s a big 32 oz container and will last for weeks. And eventually, it will get watery but that's normal. Not a bad overallfor a yogurt.",true
"R26AF9X1FBTFBL","B004B3KMTQ","","Reviewed in the United States on March 20, 2021","March 20, 2021",1616220000,"Augusto Palmeira",5,"Good product!","Good product!",true
"R2Q08ECKWT22BG","B004B3KMTQ","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"fhcgsps",5,"Never going back to Fage.","I was a Fage fan for years, and then I tried Chobani! Never going back to Fage again. Chobani’s taste and texture is superior, especially because I prefer plain yogurt. Also much tastier with fruit.",true
"R467UW6EDRGLH","B004B3KMTQ","","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"El Guanaco",5,"Normally I hate yogurt, this is good! Whole milk!","So now I know why I hate yogurt, because it is usually that low fat full of who knows what to make up for the missing tasty fat.OMG the yogurt from whole milk is like sour cream. No wonder people suggest it as a sour cream replacement.Honestly, I think many people have dead taste because they think low fat and whole milk yogurt tastes the same.",true
"R6DGTDOX4W5M7","B004B3KMTQ","","Reviewed in the United States on November 1, 2020","November 1, 2020",1604214000,"Robin Montoya",5,"Yogurt","Great yogurt for baking and eating",true
"RKI3YESDM5YTI","B004B3KMTQ","","Reviewed in the United States on June 21, 2020","June 21, 2020",1592719200,"AK",5,"Best yogurt!","Best yogurt!",true
"R2ZLKZVR72P8MR","B004B3KMTQ","","Reviewed in the United States on June 7, 2020","June 7, 2020",1591509600,"Carpe Diem",5,"DIVINE!","Needed a WHOLE FAT yogurt for my tzatziki! This one was PERFECT!",true
"REFRCQNC3M4FQ","B004B3KMTQ","","Reviewed in the United States on May 3, 2020","May 3, 2020",1588485600,"Nancy ",5,"It’s absolutely great😊","Wonderfully, creamy, smooth, and delish. Endless possibilities.. Dressings, Dips, etc. it’s wonderful eaten right out of the carton. I also use it mixed with sour cream for many recipes.",true
"R32V0JQT329I77","B004B3KMTQ","","Reviewed in the United States on April 21, 2020","April 21, 2020",1587448800,"CM King",5,"Luxurious","This is rich, thick and delicious. I eat it with fruit or honey and sea salt. It's great in fresh Tzatziki sauce. My new favorite yogurt. Also this is what I use as the culture to make my own yogurt, along with organic whole milk... it turns out amazing.",true
"R1G0789UJ2NZTK","B004B3KMTQ","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"MJ",5,"The BEST in Yogurts!!","I put a couple of tablespoons in my dog's 🐕feedings to keep ear infections at bay! I add honey for myself as a tasty treat, too! 🔥👍",true
"R3G3UXO8P9UQ5I","B004B3KMTQ","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Nick",4,"Wish it was organic but it’s still great","This stuff is delicious and loaded with protein. I stopped short of 5 stars because they don’t offer an organic version. Other then that it’s the best yogurt I’ve ever tasted",true
"R3B3TNKTX5G9A8","B004B3KMTQ","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Justina",4,"Yum yogurt","ThickFlavorfulHealthy",true
"R2P03271M117AQ","B004B3KMTQ","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"DamiensWife52805",5,"Good!","Thick & creamy!",true
"R3DODFPYSVOD95","B004B3KMTQ","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"Ruth F.",4,"Good flavor","Separates with crust on top. Mix good first.",true
"R2MJ3957ULOXXY","B004B3KMTQ","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Mike",5,"High quality. Very good taste","Hi Quality and Taste.",true
"RHO7LROCZEGBK","B004B3KMTQ","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Glama Puss",5,"Very good, hard to find a...","full fat plain yogurt these days even in my grocery store. They are always in the vegan aisle and loaded with fruit and sugar and are low-fat. Fat is good for us! Highly recommend!",true
"RT3N0K51KQX1H","B004B3KMTQ","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"Elsa",4,"Wish it was organic.","Wish it was organic.",true
"RU3Q94ZVCEEA7","B004B3KMTQ","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"A Noble Soul",5,"Exquisite Rich Creamy Texture & Taste:","Exquisite Rich Creamy Texture & Taste:Divinely smooth and creamy. NOT grainy.Rich creamy taste. NOT tangy.",true
"R7KR60SPQXBLT","B004B3KMTQ","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"Artsygal",5,"Great Flavor, Authentic, Well Priced","This yogurt is my favorite whole milk Greek yogurt.None of the others compare.Amazon Whole Foods also sells it for a great price, good value for the money.Makes a delicious Greek tazikiki (spelling) sauce.Recipe: Chobani whole milk yogurt, shredded cucumber (remove seeds), tablespoon of white vinegar, 3 cloves shredded garlic, 4 or 5 tablespoons of fresh dill, a bit of salt and pepper.Delicious sauce on sandwiches and salmon patties. Again, exceptionally tasty yougurt especially good with a tablespoon of honey.",true
