"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1QTN8THLQIFXX","B004HK60VM","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Melissa Blaine",5,"100% worth it","Delicious! I use these to mix with my protein powder after working out and they are perfect. I love the taste of Very Vanilla and unfortunately I cannot find that flavor in store so I buy on here. After using Very Vanilla no other flavor tastes as good so I'm sticking with this one. The containers are super convenient as they are 8 oz each so I don't have to measure them out just mix them with my protein powder.",true
"RQRVQ15A9TFVH","B004HK60VM","","Reviewed in the United States on May 23, 2021","May 23, 2021",1621749600,"Rik Ellis",5,"Deliciousness","Perfect for anything you need plus one serving size, shelf product without refrigeration!",true
"R2TORQV3NQDNYT","B004HK60VM","","Reviewed in the United States on May 4, 2021","May 4, 2021",1620108000,"gene",5,"Great Milk!","Great seller! Fast shipping! Milk tastes same as refrigerated.",true
"R3FXGP4IN7LQJR","B004HK60VM","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Miguel",5,"Le gusto mucho a mi esposa.","Muy buen producto.",true
"R1YQ7KYRTPOHD6","B004HK60VM","","Reviewed in the United States on April 3, 2021","April 3, 2021",1617429600,"Moe",5,"EXCELLENT CHOICE!!!","Refrigeration not needed for months, but taste much better COLD!!!",true
"R2DEW4BHKYH29J","B004HK60VM","","Reviewed in the United States on March 19, 2021","March 19, 2021",1616133600,"Stacey",5,"Great value","Great packaging. I like these for travel.",true
"R1VD5W2HQRGAH1","B004HK60VM","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"heather montysko",1,"Eh","Too quick to expire",true
"R22P6I9Q5B89AL","B004HK60VM","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"Star",3,"Like drinking sugar! Too sweet!","This is LOADED with sugar!",true
"RTF6O4AN9CXXM","B004HK60VM","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Barbara Ramono",5,"Great product and great distributor.","I've ordered multiple boxes for my son.Never disappointed and always shows up early.",true
"R3534CKV5X30VU","B004HK60VM","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"T. Rob",5,"Tasty!","I love the taste of Ver Vanilla soy milk. It makes my boring oatmeal taste better. The box make it really easy to put in the lunch box and stay away from fast food in the work site cafe.",true
"R1SL5OYQJAEUMF","B004HK60VM","","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Beth",5,"On the go","Love the very vanilla and think it is better than any of their other soy flavors. However it is difficult to get the half gallon anymore. Would suggest bringing that back. This item is very convenient for travelingor on the go.",true
"R2IPJ6BXTDJF7W","B004HK60VM","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Yamanichi",5,"Delicious vanilla soy milk!","Delicious vanilla soy milk !",true
"R1STA5DPFE6HE9","B004HK60VM","","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Boston Mama",5,"Tastes like vanilla ice cream!","Silk Very Vanilla tastes like melted vanilla ice cream!It's delicious!I suppose it may be too sweet for some, but it happens to be the only soy milk that my children will drink now.Once you drink it, you will be hooked!We subscribe and save from Amazon because we can no longer find this milk in any local stores.They do sell them at WalMart in the South, though!",true
"R2CBBC9P317QII","B004HK60VM","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"A Walton",5,"Price keeps going up and up but my son loves it. Easy quick and ease of use for a 6 yr old.","What did I dislike about this product, the PRICE!!!! very expensive. The flavor is awesome and ready to pack for lunch.",true
"RA4IG9VVA5766","B004HK60VM","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"ha luong",5,"complete aminoacid, only bean in the world have all tthe aminoacid that human body need","if you can drink 4 tube of this soy drink, you will have all kind of energy that you needed for the day.",true
"R1OBAFRHHZL110","B004HK60VM","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"William Tallent",5,"Can't find it in stores anymore","Grandson likes it.",true
"R3IYKSDTK243JI","B004HK60VM","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Michael A. Meador",5,"Yummy","No cows were milked.",true
"R4B62ZN7JK84E","B004HK60VM","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Shawnette Russell",5,"Love it","My granddaughter lives it as she's allergic to regular milk.",true
"R23NSO5LV1Y8IS","B004HK60VM","","Reviewed in the United States on June 10, 2021","June 10, 2021",1623304800,"Amazon Customer",5,"Good product","Great in cereal and coffee",true
