"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3W2GHMQLGJ4CR","B004IBVVC8","","Reviewed in the United States on March 2, 2018","March 2, 2018",1519974000,"Joanna Pena-Bickley",5,"Five Stars","thick and creamy",true
"RJ8R0TFO1YSFO","B004IBVVC8","","Reviewed in the United States on December 25, 2017","December 25, 2017",1514185200,"GAMBLER",5,"great stuff!","great stuff!",true
"RSSBIE5VIXWYB","B004IBVVC8","","Reviewed in the United States on September 12, 2017","September 12, 2017",1505196000,"Peg A.",5,"Very Good","this is my favorite yogurt - next only to our Farmers' Market goat milk yogurt",true
"R4OTSZOE5N2U6","B004IBVVC8","","Reviewed in the United States on April 27, 2017","April 27, 2017",1493272800,"Sam Tandy",5,"For strong bones, if you need more calcium in your diet...","I have 100g every morning, added to my cereal to raise my calcium levels, and also use it on pies and desserts instead of ice cream. It's thick and rich, and only 72 calories for 100g (there are 500 g in a 17.6 oz container). It's ruined my taste for other yogurts.",true
"RTUPQISGF2SZ3","B004IBVVC8","","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"No. Cal.",5,"My favorite","Nice texture, notvtoo hrsvy or light. I love the taste with seasonal fruit or to add to curry",true
"R2D9L3EISUTW3O","B004IBVVC8","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"DCH",5,"Best tasting, reduced fat, greek-style yoghurt","Best tasting, reduced fat, greek-style yoghurt. Delicious on toast, with either jam, or with seeds sprinkled on top.",true
"R1ZHCSF7D8ZU47","B004IBVVC8","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624428000,"christina",5,"The best yogurt","Fage yogurts are the best real yogurts in the market. This is a Greek family business that started locally and has expanded all over the globe.No wonder why. The flavor, the texture and the softness are characteristics of delicious authentice Greek yogurt.100% recommended.",true
"R22XUU5WYBFA2K","B004IBVVC8","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Stacey",5,"Face Yogurts are the bomb","I've been satisfied with every Fage yogurt I've purchased -- from 0 fat to 5%. They are all good tasting and a nice texture. I mix it with fruit and use it like sour cream on tacos and baked potatoes. Solid quality.",true
"R3QPVQC0960ZEK","B004IBVVC8","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Maggie May",5,"Fantastic flavorful plain Yogurt!","Best plain yogurt on the market!!",true
"R20Z8MA2KYSRE0","B004IBVVC8","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"Suzzieqgw",5,"Fantastic yogurt","Best yogurt ever...easy to digest and combine with fruit or use in salad dressing.High protein, low sugar, lower carbohydrate, eat it every day.",true
"R3V9CAYR02LNGK","B004IBVVC8","","Reviewed in the United States on February 7, 2020","February 7, 2020",1581058800,"Deb C",5,"Delicious","Great texture, super creamy yogurt. It’s delicious mixed with fruit. Our dog loves it for a treat!",true
"R768U1PNX3D9E","B004IBVVC8","","Reviewed in the United States on December 11, 2019","December 11, 2019",1576047600,"Alexander",5,"Authentic Greek","This is the #1 yogurt in Greece. It’s the BEST, hands down. No others compare.",false
"R2U2BC5V5PDO8M","B004IBVVC8","","Reviewed in the United States on October 24, 2019","October 24, 2019",1571896800,"J. T.",5,"All natural, authentic, healthy, creamy","All natural!",false
"R2KOF5R666LQVL","B004IBVVC8","","Reviewed in the United States on September 20, 2019","September 20, 2019",1568959200,"John K. Nolan",1,"Spoiled","Was 20 days past it’s expiration date.",true
