"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R63YVX40K9HM","B004KYXQZS","","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"G. McClendon",5,"Fresh, creamy and sustaining","Flavor is amazing,so creamy and light and fresh tasting. Havent found a noosa flavor I dont love.",true
"R1EZ5U7DYLNLD0","B004KYXQZS","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Cat's mom",1,"Whole foods delivery should provide sufficient insulation when delivering perishables","This yogurt was warm when I received it from Whole Foods delivery. It was not properly insulated and I threw it away.",true
"RLOMAL0TBD50E","B004KYXQZS","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Karen B.",5,"Delicious","I love this brand just wish it was not so expensive every where.But i am worth it.",true
"R1M73UB60W2DS0","B004KYXQZS","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Shari Adams",5,"Coconut goodness","Creamy coconut goodness.",true
"R27YTC2CDTPZQO","B004KYXQZS","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"Lisa Adamo",5,"So creamy","There is no other Greek yogurt like noosa so creamy and tastes amazing I love it",true
"R3FMA1EV86CUD5","B004KYXQZS","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"needingknittles",5,"Divine.Absolutely divine.","This may be the best yogurt I've ever tasted.Decadent.Creamy.Yummy.",true
"R2WG0BDDV9AGC9","B004KYXQZS","","Reviewed in the United States on June 21, 2021","June 21, 2021",1624255200,"Tre baillie",5,"Delish","Best yoghurt I’ve ever had. I’m not a yoghurt fan but Noosa made me one. You have to try this 😊",true
"R3ABKDSA1E4T1Q","B004KYXQZS","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Sandra Comer",5,"What the different kinds and the ingredients","It’s good but why so much sugar 28 gram If I want that much sugar I wold eat a nice chocolate candy bar!",false
"RRIDXJEFF242X","B004KYXQZS","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"zaza",5,"One of the very few yogurts that actually has shreds of coconut","not overly sweet like Yoplait....rather thick, but it is hard to find a good coconut yogurt...this is the best I've found",true
"R2ZNOYXI9NNVXC","B004KYXQZS","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"AR-NUT",5,"Noosa Coconut is the BEST","Noosa Coconut is my vice, It’s so tasty and delicious I swear I drive to every store in my city and buy them out, I honestly eat 4 a day and I’m a very active person and work 65+ hours per week and I need the protein and I burn the fat easily!! I swear it is the best yogurt on the market !!",false
"R1WTIYUWXW3M4Y","B004KYXQZS","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"Teresa A. Brown",5,"Noosa Yoghurt Coconut","I wassurprised how thick and taste just like it said. It was really good. I enjoyed the coconutin every bite. Very Good and that was my first time trying it.",true
"R3EQ8VC0I1SM1N","B004KYXQZS","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"scopin4u2",5,"It tasted ok","I ate this today. It tasted ok. It was really thick. Recommend if you like coconut.",true
"R3TK5WRFXLVZ0M","B004KYXQZS","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Vonny",5,"Main yogurt to ever tap in with me","This was the main yogurt to ever touch down",true
"R2FYLNBH9VIMIT","B004KYXQZS","","Reviewed in the United States on January 15, 2021","January 15, 2021",1610694000,"Chaching62",5,"Great taste!","Love Noosa..Best yogurt!",true
"R1H6AKGZ1PQE9V","B004KYXQZS","","Reviewed in the United States on January 1, 2021","January 1, 2021",1609484400,"Shawn J.",5,"Noosa is the best yogurt!","Omhmg, soo good! The best yogurt you will ever eat!",true
"R1Y375ISEGIUMK","B004KYXQZS","","Reviewed in the United States on December 19, 2020","December 19, 2020",1608361200,"Pakster68",5,"Rich coconut flavor - a creamy treat!","Rich coconut flavor and very smooth and creamy",true
"R10S1DSXTTPG8Y","B004KYXQZS","","Reviewed in the United States on December 17, 2020","December 17, 2020",1608188400,"Christine McKenna",5,"Worth trying","Freaky really good",true
"R1RAZ2OGI39KNR","B004KYXQZS","","Reviewed in the United States on November 19, 2020","November 19, 2020",1605769200,"PeterB37",5,"Excellent pre-mixed yogurt","The Noosa brand makes excellent pre-mixed yogurts. I wish they were a bit less sweet, but I suspect they know their market. The coconut yogurt is one of our favorites.",true
"RROMRGSIXYH7C","B004KYXQZS","","Reviewed in the United States on November 2, 2020","November 2, 2020",1604300400,"Sean Bennett",5,"My Favorite Yogurt Brand","A bit pricey, but heck, we are worth it. Coconut and pumpkin are my two favorite Noosa flavors. However, no other brand compares to yogurt taste and quality.",true
"R1QHW698J594N5","B004KYXQZS","","Reviewed in the United States on October 7, 2020","October 7, 2020",1602050400,"Kerianne kubik",5,"just buy it you won't be disappointed","thick flavorful gourmet",true
