"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2UYD7IXPNNLEW","B005PO5HTU","","Reviewed in the United States on May 22, 2020","May 22, 2020",1590127200,"Joanne Maehr Engelhardt",5,"Pizza ingredient","Useful for 2 ingredient pizza",true
"R234JASZTT6X0B","B005PO5HTU","","Reviewed in the United States on May 13, 2020","May 13, 2020",1589349600,"nm",5,"Love","Love",true
"R1HR6E206OIVJV","B005PO5HTU","","Reviewed in the United States on March 13, 2020","March 13, 2020",1584079200,"Martha W. Alpert",5,"Best yogurt","Tasty",true
"R250CYRK4GPVHW","B005PO5HTU","","Reviewed in the United States on March 8, 2020","March 8, 2020",1583650800,"ariel",3,"Its way too sour for me","I'm used to non-flavored yogurt, still couldn't eat it, too sour. we used it for cooking and it was ok.",true
"R114AY4VSAWBQ0","B005PO5HTU","","Reviewed in the United States on January 6, 2020","January 6, 2020",1578294000,"Calvin",3,"Vanilla is better","I prefer the vanilla instead. I can’t eat the plain one by itself.",true
"R3NHB5CS127IZ3","B005PO5HTU","","Reviewed in the United States on December 28, 2019","December 28, 2019",1577516400,"Gray Emma",5,"Y to the O to the G","While the body-shaming of fatter Greek yogurts is a bit gratuitous, I’ll allow it because this is a darn fine dairy treat",true
"R1P9R3ISBBXF2U","B005PO5HTU","","Reviewed in the United States on December 17, 2019","December 17, 2019",1576566000,"BadNewsBenjamin",5,"As expected!","No issues with the yogurt and expiration date was appropriate.",true
"RDXOFYSZM4QE8","B005PO5HTU","","Reviewed in the United States on November 9, 2019","November 9, 2019",1573282800,"ursula Contostavlos",5,"Eat anytime","Best Greek yogurt",true
"RTIOFV5MJ53E","B005PO5HTU","","Reviewed in the United States on September 30, 2019","September 30, 2019",1569823200,"jisun",5,"Good","Good",true
"R3AZB8JOY811L1","B005PO5HTU","","Reviewed in the United States on February 23, 2019","February 23, 2019",1550905200,"Elle",5,"Add to Mac and cheese, you won’t regret it!","Instead of milk and butter, I add this to my Annie’s box Mac and cheese and it is so delicious! Not to mention so much extra protein!",true
"R2UQ788VXB7Y1Y","B005PO5HTU","","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Kathleen McGrath",4,"Its ok","I liked it. Its ok",true
"R3VZ6DD3YUEGP8","B005PO5HTU","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"John Jones",5,"VERY GOOD.WILL BUY AGAIN..!!","Plain yogurt is my preference.I can add fruit or whatever as I wish.This product is very good.",true
"RDWHH6CCXZL3X","B005PO5HTU","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"tea",5,"Best of the best yogurt","Best of the best yogurtGreat product great taste great price get to know better than that",true
"R2VK6V3BRMN467","B005PO5HTU","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Mary",5,"Go for the coconut","Love the coconut..delish!!",true
"R2GBKLGU9K7442","B005PO5HTU","","Reviewed in the United States on January 21, 2021","January 21, 2021",1611212400,"Jaylia123",4,"Thick and rich!","Chobani makes fresh, tasty yogurt overall. The plain is, which I prefer, just as delicious as its fruit-filled versions",true
"R3D4DHIXAZ6EHI","B005PO5HTU","","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"Joan Ferguson",4,"Good profuct","Good flavor and sheerness. Good thicknesd",true
"RB06CFIWCO5G6","B005PO5HTU","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"Charles B III",5,"Consistent Good Taste","My wife and I each have a Chobani Plain Yogurt daily. great nutrition and great taste each time we reorder this yogurt. This is also priced better than any other grocery store that we used to buy it in.",true
"R7KPWQ3ZDYNM9","B005PO5HTU","","Reviewed in the United States on September 1, 2020","September 1, 2020",1598940000,"Cly",5,"The consistency, it’s not watery","I love Greek yogurt",true
"R2FZ8REZWNCGD3","B005PO5HTU","","Reviewed in the United States on June 26, 2020","June 26, 2020",1593151200,"Darkeyes",5,"Great creamy yogurt for your South Asian cooking need","If you're familiar with chobani you know what to expect. This is their creamy non-fat Greek yogurt. Great for Biryani and other South Asian cuisine.",true
"R1R3PLSHJ44FR1","B005PO5HTU","","Reviewed in the United States on May 24, 2020","May 24, 2020",1590300000,"Mr. Minnesota",5,"Greek Yogourt","This was great for making a salad dressing, the size was perfect. The greek yogurt I'm sure would be good on its own or even with some fruit.",true
