"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R375ZSL7MEWSDG","B006JVIKL0","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Judi R. Gandy",5,"Chobani Greek Yogurt","I love the flavor and the consistency and it is a great value for the price!",true
"RA6JV6V6LWFRP","B006JVIKL0","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Kristine Kosak",1,"Caution","Poor",true
"R2XRPT215E8CSM","B006JVIKL0","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Debbie Lanier ",2,"Not for me","I don’t care for this brand, taste or texture.",true
"R1DHFSZJRJ43VB","B006JVIKL0","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Troy Torrison",5,"Great stuff","Our family favorite yogurt. Still trying to beat it.",true
"R2WR1GCP8QUTJD","B006JVIKL0","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"wendy marsall williams",5,"Yogurt for the soul.","Excellent taste and texture.",true
"RYH38CKTCFC40","B006JVIKL0","","Reviewed in the United States on January 26, 2021","January 26, 2021",1611644400,"super suze",3,"high in sugar","Yogurt is traditional tart, but this is sweet and that is due to added sugar. I would prefer more tartness and less sugar. Tartness is a fine flavor",true
"R331I6ZSSLZE3K","B006JVIKL0","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"Richard P. Stokes",5,"Ok.. Flavor good","Great flavor.Nice size for snack.",true
"R3K95NXAZTHV43","B006JVIKL0","","Reviewed in the United States on October 29, 2020","October 29, 2020",1603951200,"Firewife",4,"Delicious 😋","Great flavor. Not too sweet.",true
"R3W13PLNIPQQR8","B006JVIKL0","","Reviewed in the United States on October 23, 2020","October 23, 2020",1603432800,"Libby",5,"Grrrrreat!!😋","Great yogurt!",true
"RVVYV1DY5WNG3","B006JVIKL0","","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"Ksmith",5,"My favorite yogurt","My favorite",true
"RBD8CV2OBQC8G","B006JVIKL0","","Reviewed in the United States on October 8, 2020","October 8, 2020",1602136800,"Ryan",5,"Yummy","Great flavor and we get these all the time.Hubby loves them for lunch or snack.",true
"R32OT1HRJ50UIH","B006JVIKL0","","Reviewed in the United States on September 24, 2020","September 24, 2020",1600927200,"Lime Rickey",3,"Tart flavor.","Sheerness is not a factor to me.Not sure whywe’re asked to comment.It’s opaque yogurt.I’m not a fan of this particular flavor.It’s quite tart.",true
"R146HKAQFCVIP6","B006JVIKL0","","Reviewed in the United States on August 5, 2020","August 5, 2020",1596607200,"Customer",5,"Love it alot","Taste awsome",true
"R1FDQCO6R626DC","B006JVIKL0","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"Virginia Cantone",5,"Excellent buy","Excellent",true
"RNN1YPTL5B0SJ","B006JVIKL0","","Reviewed in the United States on July 23, 2020","July 23, 2020",1595484000,"W. Raffel",5,"5 Star, great taste and quality....","Another great brand name from Amazon Fresh. I love the quality and the taste of Chobani Non-Fat Greek Yogurt.",true
"R1JU6K0K3BE3HI","B006JVIKL0","","Reviewed in the United States on July 15, 2020","July 15, 2020",1594792800,"DLAjewelrycompany",5,"love it","love it",true
"R1853D5CI1FOX3","B006JVIKL0","","Reviewed in the United States on July 9, 2020","July 9, 2020",1594274400,"Sense Wonder",5,"Delicious & healthy","Delicious, fresh, nice consistency & thickness.",true
"R2VC0NUBL9X3KM","B006JVIKL0","","Reviewed in the United States on June 8, 2020","June 8, 2020",1591596000,"Mikeindc",5,"Good flavor at reasonable price","Chobani yogurt has a lower sugar content than many of the other yogurts.The flavors are always very good and it is reasonably priced.For those of you that care, Chobani has an excellent record of treating and paying their employees well.In addition, Chobani has a good record of supporting both local and national charities.",true
"R3K6BBP81MT1QT","B006JVIKL0","","Reviewed in the United States on May 28, 2020","May 28, 2020",1590645600,"Lu",4,"not great not bad","The taste is not bad, but the price is only market price $0.97.The 4 pack set or 32oz pack will be cheaper.I buy it only for easy carryout. ( while I normally have 32oz yogurt at home)",true
"R3D6WJIMPE556","B006JVIKL0","","Reviewed in the United States on May 27, 2020","May 27, 2020",1590559200,"Samantha Wright",5,"Yogurt","It tastes like yogurt",true
