"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3R63SQKZWGZHX","B006WBVSV6","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"considered comment",5,"the best yogurt","I've had no real love for yogurt, but it's good for you, so okay. Until Fage. Texture, flavor, it is a pleasure to eat. I'm not sure I can explain. It just is really tasty, like you would want to eat it.",true
"RVNSHQNUYLQHF","B006WBVSV6","","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"J",5,"Good, pure Greek yogurt","Today, it's hard to find yogurts that don't have extra ingredients that are not good for you to eat. Fage is one of two I've found. The other is Chobani. Other than that, I would not buy yogurt due to the unhealthy ingredients. This Fage Greek yogurt is both tasty and healthy. What more could one want?",true
"REN5E4PHDN1A1","B006WBVSV6","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Amazon Customer",3,"No one liked it","Went to waste. My guest didn’t like plain yogurt",true
"R2RTQ4NJ89WMH2","B006WBVSV6","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Lynn",5,"No thickeners. 35.3 oz container. Normally on sale around $5.60","Fage has excellent flavor and texture and HAS NO THCKENERS.Many so-called Greek yogurts are not thickened by straining the yogurt, but by adding thickeners.Fage list price is around $7.60, but it is normally always 'on sale' for around $5.60.Most American yogurts are in a 32 oz quart container.Fage is in a 35.3 oz container. This is the European 1000 grams which is almost 10% more yogurt than in the American quart container. Side note: I fell in love with Greek yogurt when living on Crete many decades ago doing research.On Crete, back then,the yogurt had a much higher fat content, which I would not want now.For me, the Fage non-fat yogurt is very creamy and satisfying.",true
"RBB1IKZ347XK1","B006WBVSV6","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"MaryB",5,"Love my FAGE","Best yogurt on the market in my opinion.",true
"R3M1FIFWLH2M8F","B006WBVSV6","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Timothy D.",5,"My Go-To","Fage is my favorite brand of greek yogurt. It's become part of my health and fitness program for since before the pandemic started. I love that it's very thick - I hate soupy yogurt. I throw some blueberries and a little agave with breakfast. As soon as I run out, I get more.",true
"R1VB61TJURLJ12","B006WBVSV6","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"Lauren A Baker",5,"Versatile and delicious","I've ordered this many, many times. It is very versatile - - can be a substitute for mayo or sour cream. Put some lemon zest in this mess and slap it on a pita with hummus. Or, add some sriracha and put it on the burrito of your choice. Delightful with fruit and/or honey. Pour some sugar on it (a la Def Leppard).",true
"R244348M778MKJ","B006WBVSV6","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Moonberry",1,"No taste.","This yogurt has absolutely NO taste. I regret buying it, I usually buy Bulgarian yogurt and Nancy’s Probiotic Yogurt which taste like real yogurt, but decided to try this one. Blah.. why did I waste my money?! Had to immediately dispose of it.",true
"RYWOLMQ0580ZW","B006WBVSV6","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Andrea Santucci",5,"Delish!","The very best non fat plain yogurt makes my smoothie so good.",true
"RJPZ5K52I84N2","B006WBVSV6","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"Devoted cat mother",5,"My favorite Greek yogurt","My favorite Greek yogurt.Even though it’s fat free, it tastes so creamy",true
