"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R38JN264NLL9EB","B008U5OQ0M","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"omegasprite",5,"Very tasty","Very tasty",true
"RAWCUY7XRQ5LV","B008U5OQ0M","","Reviewed in the United States on October 21, 2020","October 21, 2020",1603260000,"Diane Haire",1,"expired","Expired",true
"R2SWPDS9IUNWYB","B008U5OQ0M","","Reviewed in the United States on October 21, 2020","October 21, 2020",1603260000,"KTex",5,"Love this flavor!","My favorite flavor - great snack to take on the go!",true
"R1NS35A15WJFDJ","B008U5OQ0M","","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"Ksmith",5,"My favorite","My favorite yogurt",true
"R2TL498UXO353J","B008U5OQ0M","","Reviewed in the United States on October 8, 2020","October 8, 2020",1602136800,"Ryan",5,"Yummy","Great flavor and we get these all the time.Hubby loves them for lunch or snack.",true
"RC7U6VVJLO7KN","B008U5OQ0M","","Reviewed in the United States on October 5, 2020","October 5, 2020",1601877600,"Joseaviles",5,"Excelente","Ricos",true
"R1OS0YS02QLWV7","B008U5OQ0M","","Reviewed in the United States on September 24, 2020","September 24, 2020",1600927200,"Lime Rickey",5,"My favorite Greek yogurt.","Best flavor in my opinion.I like the chunky fruit at the bottom, and the rest of the yogurt is tasty too.",true
"R33GCYZXXB8K11","B008U5OQ0M","","Reviewed in the United States on September 16, 2020","September 16, 2020",1600236000,"Chesapeake Blue Eyes",5,"Top choice","Favorite brand, favorite flavor. So good for your digestive system.",true
"R1TU7LYCBZ8W07","B008U5OQ0M","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"als.josh",5,"great yogurt","one of the favorites in this reliable brand",true
"R2USCHXN0SH3Z9","B008U5OQ0M","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"Florence B. Sage",5,"Chobana black cherry yogurt","I have not eaten this yet, but I know it will be good because it is Chobana.",true
"RUFFQ4ITGE0GI","B008U5OQ0M","","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"Mike",4,"Chibai I yogurt a Healthy Tadty product. However value for money is better with bigger container b","Chibai I yogurt a Healthy Tadty product. However value for money is better with bigger container b",true
"R2LV89AJTCBAHJ","B008U5OQ0M","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Michael D. Hansen",5,"Great brand","Chobani give you a large selection of flavors and a low cost.They taste great and have the great texture of Greek yogurts.Love them anytime",true
"RVN22A78XWYU","B008U5OQ0M","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"andrea frohman",5,"easy snack","This has great flavor, taste and is delicious.",true
"RW1PFQ48DJ35B","B008U5OQ0M","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Lau Z",1,"Corn","Goodet the",true
"R1IIRC1TG4AYD7","B008U5OQ0M","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Gail Kathryn",5,"Tastes great. No chemicals. My favorite.","My favorite flavor. No chemicals or preservatives. Great",true
"R310R8GUU1FKZ0","B008U5OQ0M","","Reviewed in the United States on April 15, 2021","April 15, 2021",1618466400,"Circe E. Martin",3,"Ammonia of sugar in a so called health food","Too much sweetness or sugar in this health food",true
"R3BN3WR56VSWFQ","B008U5OQ0M","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Charmaine",5,"I will always buy it","My favorite yogurt",true
"R2VH8GVY1A7ER","B008U5OQ0M","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Mike",5,"Good yogurt","I think that the black cherry is by far the best flavor that they sell,,,",true
"RCV0FFUII85GX","B008U5OQ0M","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"Nicole",5,"Very good!","My favorite flavor. A little thicker than your normal watery yogurt. I like it.",true
