"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2D1JQ7N0X2S4G","B008U5OSTQ","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Sheryl B.",5,"Delicious!","Delicious. The perfect yogurt!",true
"R3A5JMWEVDMZ8Z","B008U5OSTQ","","Reviewed in the United States on March 13, 2021","March 13, 2021",1615618800,"Joshua Lee",5,"Chovani Non fat Greek Yogurt","Even it is non-fat. It tastes as whole milk greek yogurt. For me, it was thick enough. Would buy again after finish this :)",true
"R2AW7XTXJI5LZ2","B008U5OSTQ","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"JayN",5,"Good value","I don't eat a lot of yogurt so I usually buy the single serve for anywhere from $0.99 to $1.49.This size tub is usually $7.99 at the grocery store.Got it here for $4.99 so the value for the larger size could not be beat.Was worried it would have an expiration date in the near future that would not allow me to use the whole tub, but happily the expiration date is more than 30 days away.Thumbs up.",true
"R1OJ5WBEJGGTOI","B008U5OSTQ","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"alarmringing",5,"Best non fat Greek yogurt hands down","This is the best yogurt I've had. It's non fat but thicc as a greek yogurt should be. In other brands non fat yogurts tend to be watery. This should be the 5th pint of the same brand that I ordered.",true
"R26ZFI75JTF3NC","B008U5OSTQ","","Reviewed in the United States on February 24, 2021","February 24, 2021",1614150000,"Patrick Tanian",5,"Love it","I love it even it’s a little too thick",true
"R3QLWUJ5NIMIH4","B008U5OSTQ","","Reviewed in the United States on February 19, 2021","February 19, 2021",1613718000,"HAPPY",5,"MY FAVORITE YOGURT","TERRRIFFIC",true
"R2KBWOSKO7N9LX","B008U5OSTQ","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Xeed",1,"Bitter","One of the worst Greek yogurts I've ever tried. Usually I eat it in the evening when I’m hungry, so simple yogurt feels tasty for me, except of this one. It’s a bit bitter and seems like it’s made from the powder.",false
"R33M62E3NAOQXB","B008U5OSTQ","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"Hesn Hilnesn",5,"Excellent","Excellent",true
"R8V5BXS1RS0YQ","B008U5OSTQ","","Reviewed in the United States on January 23, 2021","January 23, 2021",1611385200,"tea",5,"Purchase with confidence","Top shelf yogurt",true
"RRPODQRL0LAIF","B008U5OSTQ","","Reviewed in the United States on November 30, 2020","November 30, 2020",1606719600,"Loyal customer",5,"The best of the best","I have tried several ones, but this one is the best!",true
"R2ZZLOUJVRNEZW","B008U5OSTQ","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"shoe queen",5,"THE BEST","Use tart or sweetened...just straight up or added to baking and shakes. Absolutely delicious.",true
"R35CUWNT74KWDZ","B008U5OSTQ","","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"Pam ",4,"Still the best commercial brand","Its isn't organic, but has good body, texture and flavor.",true
"R3OTBHBUGDR6D5","B008U5OSTQ","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Bluebird",5,"Some times you just need an unsweetened yogurt","Great greek yogurt, nice and thick and creamy.Love it to use it on tacos with tacos sauce, a bit of tobasco and topped with this yogurt.Makes great smoothies as well, you can add your own fruit and sweeten it.Price is very good.",true
"R38EWNA33IEM5M","B008U5OSTQ","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Jaylia123",5,"Favorite yogurt.","Thick, fresh and tasty. My all time favorite plain, no fat yogurt.",true
"R1DC1QZAR0XKZI","B008U5OSTQ","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"R. H.",5,"Yo yo yo","Gurt",true
"R274ZOSOYYNHKQ","B008U5OSTQ","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"Jeff Brown",1,"not being ripped off","My favorite was the Chobani flip, Chocolate Haze Craze.No more.What a rip off.The ""flip"" is only 1/2 full of ingredients now.",false
"RD2CSIVRUQX0N","B008U5OSTQ","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Gaba",5,"Healthy product. Have been buying it since I tasted it the first time","Flavor and value for money",true
"RQBRAAUGDSGA9","B008U5OSTQ","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Mike",5,"High Quality and Taste.","High Quality and Taste. Amazon does not provide the bigger size.",true
"R1HCSR5CRLYDHD","B008U5OSTQ","","Reviewed in the United States on May 30, 2021","May 30, 2021",1622354400,"amir",5,"like it","like it",true
"R3TVYTTA97BGDT","B008U5OSTQ","","Reviewed in the United States on May 3, 2021","May 3, 2021",1620021600,"Cherrygon",5,"Love this yogurt is my favorite","Love this yogurt is my favorite",true
