"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2TCDKVG3M74X8","B00A2YQI28","B00A2YQI28","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"SHansen",5,"Tangy but good!","Pretty tangy but still good. I haven’t gotten it to be completely smooth but overall it makes a good yogurt.",true
"RV1ZQ2QRXEGVS","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"David B. Dickinson, Jr.",5,"Nice tart taste & good balance of flavors","Making yogurt from organic fat free milk.",true
"R23N2FN0JL5CSF","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on February 24, 2021","February 24, 2021",1614150000,"Kindle Customer",5,"Excellent yogurt. I recommend!","I make this with whole milk and it is the absolute best yogurt I’ve had. Tangy and rich.It’s especially good with honey and blueberries.",true
"R154FAEZ2PT77R","B00A2YQI28","B00A2YQI28","Reviewed in the United States on February 10, 2021","February 10, 2021",1612940400,"BeeKay",5,"Excellent yogurt starter culture!","This is a great starter for the 24-hour probiotic-filled yogurt I made!It turned out perfectly.Once it ferments for the 24-hours it is sugar-free, lactose-free, and has more healthy probiotics than actual probiotics. It is nice and tangy and creamy. If you want it to be thicker, strain the yogurt in the fridge for 6-8 hours to drain off the extra liquid.Either way, it’s so delicious!Enjoy!",true
"RKFWJKAF2V8QM","B00A2YQI28","B00A2YQI28","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"KLD in NJ",5,"Works excellently with the Euro Cuisine yogurt maker","Not a clue what they are asking with regard to sheerness, but my yogurt has come out perfectly every time I use this starter. Follow the directions with the Euro Cuisine yogurt maker and each batch comes out perfect.",true
"R7B84R9J1TR1S","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"barbara",5,"Excellent Yogurt Culture","Really enjoying and will buy again for sure!",true
"R2JUERALMDJJ9F","B00A2YQI28","B00A2YQI28","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"Amazon Customer",5,"Great Product!","I have used this product many times.Works great!!",true
"RDJV39R9D4T0E","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on January 11, 2021","January 11, 2021",1610348400,"Bryce Cuda",5,"5/5","5/5",true
"R1WS67OT9C3RLI","B00A2YQI28","B00A2YQI28","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Texan",5,"Better than the other starters","Very smooth. Exceeded my expectations.",true
"R2IA36CM357WH","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on December 22, 2020","December 22, 2020",1608620400,"Rick",4,"nice tart plain yogurt","I love the flavor of this yogurt, and the consistency is pretty good as well.I heat my milk at 180 degrees for 10 minutes to keep a good thickness.And I'm able to make 3 batches with one packet, no issues.I just use 3/4 cup of the last batch for a new one.",true
"R3NJFPA2F6W1XG","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Gary",5,"Makes Great Yogurt","Very consistent results.Good flavor and consistency.",true
"R1DTZKVGOF4KX","B00A2YQI28","B00A2YQI28","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Barbara U. Spigner",5,"Great yogurt starter","Great yogurt starter. Been using it for years.",true
"R1TFRT7ITMXRRE","B00A2YQI28","B00A2YQI28","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"PhyllisJean",5,"works very well....","I make my own Yogurt and I need a starter this one seems to work best so far....",true
"R1AF7MZZGEFPF5","B00A2YQI28","B00A2YQI28","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Len Burman",2,"Starter makes clotted unappealing yogurt","I’ve made two batches of yogurt using this starter. The yogurt tastes okay, but the consistency is clotted and unappealing, almost like cottage cheese. I’ve been making yogurt using the same technique for many years so it is not user error. I’m using the same milk from a local farm so it must be the starter. I'm throwing out the remaining packets and returning to yogourmet brand.",true
"RUJ5GWMPAQKA3","B00A2YQI28","B00A2YQI28","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Amazon Customer",5,"Small grams per pack","Wish the amount of culture would make a larger quantity like before",true
"R3294IHQEOIBW4","B00A2YQI28","B00A2YQI28","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Amazon Customer",5,"Best Culture","This produces the smoothest, tastiest yogurt I have ever had - YUMMY!",true
"R1KGTGJQ0R83ON","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on June 21, 2021","June 21, 2021",1624255200,"Laura W. Sexson",5,"Wonderful Tart Yogurt","I like a tart yogurt and have struggled finding a starter that made a yogurt I wanted to eat. I am so happy with the taste of my first batch.",true
"R2W7FBYBXU9H5U","B00A2YQI28","B00A2YQI28","Reviewed in the United States on May 14, 2021","May 14, 2021",1620972000,"Marcelo Buarque de Gusmao",5,"Excellent","Excellent",true
"R3EAH3VGH11PR2","B00A2YQI28","B07GR7WMLQ","Reviewed in the United States on April 6, 2021","April 6, 2021",1617688800,"AS",3,"Thick and sour","Very easy and simple preparation. The thickness is amazing! BUT it’s quite sour :(",true
"R2TBSB7SUQAI0R","B00A2YQI28","B00A2YQI28","Reviewed in the United States on March 30, 2021","March 30, 2021",1617084000,"jim hunter",5,"Swell","Just great.",true
