"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1PFCAN9CTUH2K","B00B03XDPA","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"Mary F. Satko",5,"Favorite creamy yogurt!","Favorite yogurt. Perfect consistency. Rich creaminess with no fat. I eat yogurt everyday and this is my goto brand.",true
"R17OX8C8ZT66YR","B00B03XDPA","","Reviewed in the United States on July 23, 2020","July 23, 2020",1595484000,"Antonius",3,"The outside of the container was dirty","So this is probably amazon's fault and not the product.I bought 2 and mine arrived dirty!The container was literally looking as if a dirty water has been sprayed on it.So... I wiped it clean with disinfectant wipe hopefully not gonna get sick from this.I usually bought Chobani and their containers are always clean so I am not sure if it is 100% amazon's fault.",true
"RG0OFNZDFXXOT","B00B03XDPA","","Reviewed in the United States on June 9, 2020","June 9, 2020",1591682400,"Deborrah ",5,"I would order this again","Delicious",true
"R20YRONECDQY2D","B00B03XDPA","","Reviewed in the United States on April 3, 2020","April 3, 2020",1585893600,"Kate Miller",5,"Creamy and delicious!","This is a quite tasty nonfat greek yogurt option! My usual go-to is 0% Fage greek yogurt, but branched out and tried this brand. I was pleasantly surprised! It isn't as thick as Fage, but is still very creamy. The taste is much less tart than most 0% greek yogurt varieties. It mixes very well with berries and sweetener. There is very little moisture that builds up as it sits in the fridge- a common issue with some greek yogurts.I will definitely continue to buy this Stonyfield Greek Yogurt- the price is great for the amount of scrumptious yogurt!",true
"R29FQWCEE8X6OD","B00B03XDPA","","Reviewed in the United States on March 15, 2020","March 15, 2020",1584252000,"Rambo",5,"We recommend it","We recommend it as vegetarians because it’s a higher form of protein than regular yogurt. Also stonyfiled doesn’t have hormones or antibiotics etc",true
"R38KGVB4OLLRNC","B00B03XDPA","","Reviewed in the United States on January 11, 2020","January 11, 2020",1578726000,"Seersha",1,"Pretty terrible for Greek yogurt","I am not sure why this “Greek” yogurt has such great reviews. It is very grainy and extremely thin for a Greek yogurt, and the flavor is poor. Very much regret my purchase. Go with Siggis, Wallaby, or Fage",true
"R3OVQE5CWN7ODJ","B00B03XDPA","","Reviewed in the United States on October 9, 2019","October 9, 2019",1570600800,"Valerie Sutton",5,"Love Stonyfield Yogurt of all kinds!","We live on Stonyfield yogurt - especially the Grassfed Greek Yogurt from Stonyfield",true
"RTUB31NLQTGGV","B00B03XDPA","","Reviewed in the United States on January 7, 2019","January 7, 2019",1546844400,"Sinan Haddad",5,"Expiration dates","Taste good!",true
"R25K40W5PBPV23","B00B03XDPA","","Reviewed in the United States on November 17, 2018","November 17, 2018",1542438000,"Amazon Customer",5,"bought before","just fine as always",true
"R1YX0E49RD16FT","B00B03XDPA","","Reviewed in the United States on August 1, 2018","August 1, 2018",1533103200,"Allie B ",5,"Five Stars","Best greek yogurt, fantastic price. We will purchase again.",true
"R17X8D0HP52EUH","B00B03XDPA","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Cindy and John",5,"Best yogurt, and organic!","Very tasty, healthy, and versatile.",false
"R34BVJMMCCQ33J","B00B03XDPA","","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"Irene",5,"It’s thick and I can use it for many recipes.","I like the thickness of the yogurt. It doesn’t add any flavor to my foods. It actually mixes well with all foods. I especially like the flavor when it’s mixed with honey.",true
"RALE12Q8PXJ6K","B00B03XDPA","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"Joey D",5,"GREAT YOGURT","GREAT YOGURT consistently fresh and tasty.",true
"R2CD2DMTXUUGUE","B00B03XDPA","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Pam ",5,"Product good, shopper bad","The Fresh Shopper ignored instructions NO SUBSTITUTIONs and gave me 2 regular versus GREEK yoghurts, and on the Siggi's substituted 4% milk fat for nonfat 0% .Do the shoppers pass a reading test, or are the bring forced to move so fast the don't have time to distinguish varieties within in each Product Liner.The Plain Non-Greek yoghurt was more like 90% watered down kefir.Regardless, the WF and Fresh shoppers never fail to disappoint by ignoring directions and necessitating Customer Service repair job",true
"R3QBC4HU9LYMKN","B00B03XDPA","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"Guest37338Q",5,"Flavor","Flavor is so good",true
"R21COX2ZJW34GQ","B00B03XDPA","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Posh Boss",1,"Disgusting taste","Worste tasting, runny, Greek yogurt on the market.. Just gross.. it actually has a vomit aftertaste.. so gross",true
"R2UGWMIC6I50LJ","B00B03XDPA","","Reviewed in the United States on January 25, 2021","January 25, 2021",1611558000,"R. H.",5,"Yum yum","Great goat",true
"R1FOK5JHBJ8QCZ","B00B03XDPA","","Reviewed in the United States on January 21, 2021","January 21, 2021",1611212400,"Jaylia123",5,"Rich taste!","Fresh, great taste and excellent thickness.",true
"R5ED41UB893YC","B00B03XDPA","","Reviewed in the United States on November 8, 2020","November 8, 2020",1604818800,"Nick Solino",5,"Great","Great tasting",true
"R3HV87XSIXHUXK","B00B03XDPA","","Reviewed in the United States on September 10, 2020","September 10, 2020",1599717600,"Kathy H.",5,"Delicious","Best yogurt ever.",true
