"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1H0S5NS2REGIM","B00B03ZH6S","","Reviewed in the United States on November 22, 2020","November 22, 2020",1606028400,"wildflower",5,"Absolutely respect this dairy","We buy organic dairy. Advantages with their yogurt: best tasting we have ever tried (having eaten yogurt over many years and many brands). Milk: excellent. Best of all: the origin of their products is one dairy. Not any slew of dairies. To add to the benefits, they are a coop and support environmentalism. They welcome visits and keep up with their customers via email in a welcoming, helpful way. The only sad part: they're trying to compete with trends. Nevertheless they remain solid with real food.",true
"R3E97RNQCTH3F9","B00B03ZH6S","","Reviewed in the United States on November 16, 2020","November 16, 2020",1605510000,"Rogerson",5,"Great value and quality","Good yogurt, a bit funnier than I'm used to, but delicious with granola and fruit",true
"R1J3TLMX6JVBHP","B00B03ZH6S","","Reviewed in the United States on October 12, 2020","October 12, 2020",1602482400,"shoe queen",5,"Yummy","My family and I love this yogurt. I also use it in baking substituting it for butter or oil and it makes for a flavorful low/none fat cake.",true
"R24I5HA77QDF7","B00B03ZH6S","","Reviewed in the United States on August 18, 2020","August 18, 2020",1597730400,"Sci-Fi Man",5,"Good product","Good quality",true
"R1MAE6T2IJG2M","B00B03ZH6S","","Reviewed in the United States on July 15, 2020","July 15, 2020",1594792800,"Suzanne",5,"Good Taste","This is great if you want a thin yogurt. It also works well in dishes as a sour cream substitute.",true
"R88AJ2DO5Y3DY","B00B03ZH6S","","Reviewed in the United States on June 30, 2020","June 30, 2020",1593496800,"Asl",2,"7 grams of protein!!!!","It this a joke?! A Greek yogurt with 7 grams of protein and 11 grams of carbohydrates?! I buy Greek yogurt for its high protein content. Didn’t like the taste either.",true
"RHU5AM898FWEF","B00B03ZH6S","","Reviewed in the United States on June 18, 2020","June 18, 2020",1592460000,"Jess P.",5,"I love this stuff!","Great company, great values, great products!",false
"RXY8BOQYKSONG","B00B03ZH6S","","Reviewed in the United States on June 10, 2020","June 10, 2020",1591768800,"Per",1,"Worst ever","Bad texture...bad taste way to watery",true
"R35IP17FSYVJKP","B00B03ZH6S","","Reviewed in the United States on March 28, 2020","March 28, 2020",1585375200,"Nicholas",2,"TOO MUCH WATER","There was far too much water.Prefer Greek yogurt.",true
"R13ZK4K8VNRR6B","B00B03ZH6S","","Reviewed in the United States on February 12, 2020","February 12, 2020",1581490800,"MassUSA1",5,"Taste good .","Good overall",true
"R72ZH7MW6DE39","B00B03ZH6S","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"IFTEKHARUL ALAM RUMMAN",5,"healty","good",true
"RSD1QZVPTDRQH","B00B03ZH6S","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Arachelis",5,"Malo","No me gusto mucho muy asido",true
"R8NRIRLOGYHSM","B00B03ZH6S","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Claire B.",5,"Tastes BETTER then Whole Milk and has fraction of callories.","For years I was avoiding this thinking that no fat will result in some inferior flavor.Last time I have been shopping the whole milk one was out of stock so Igot this one instead.I was so pleasantly impressed with the flavor that is just divine. So fully bodied texture,so filling and satisfyingly and without all the calories.I was truly happy with the purchase and I am going to switch to it from now on.I don't need extra calories from fat as I get my fat from other sources in sufficientamount.Taste: Fabulous!Do I Recommend: YES!",true
"R3CTKN5MK9X4MG","B00B03ZH6S","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Quality Rules",1,"It was slimy on top","This was slimy on top & I wish I had contacted Amazon Whole Foods about it. I don't know if it becuase it's NON FAT or if it was spoiled. The date had not expired. I tasted & it was really yucky. Threw it away.",true
"R1RLJ4UAQ30R6P","B00B03ZH6S","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"YS",5,"Nothing fancy. Meets expectation of what normal yogurt should taste like","Nothing fancy. Meets expectation of what normal yogurt should taste like",true
"R1J1G6NXL8NZPG","B00B03ZH6S","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Joan Ferguson",5,"Good price","Good flavor. and thicknesd",true
"R3ASQU2W2MIP5F","B00B03ZH6S","","Reviewed in the United States on March 26, 2021","March 26, 2021",1616738400,"Amanda",5,"Not nonfat","It tastes good. However, it’s a different product from the website description. This one is not nonfat.",true
"R19K4EA6Z5HHVK","B00B03ZH6S","","Reviewed in the United States on March 20, 2021","March 20, 2021",1616220000,"Christy V",4,"Good","Good",true
"R1OSVV0MUVX46","B00B03ZH6S","","Reviewed in the United States on February 11, 2021","February 11, 2021",1613026800,"Meena",5,"Love everything about it.","Delicious, creamy, thick but just the right consistency for me personally and I absolutely love the cooling effect.",true
