"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1G5G1I0IMFX5J","B00CIJM0PO","","Reviewed in the United States on February 20, 2020","February 20, 2020",1582182000,"Ruth W",5,"Healthy","Healthy and tasty",true
"R3ML2RVESDCFD5","B00CIJM0PO","","Reviewed in the United States on February 10, 2020","February 10, 2020",1581318000,"FrM",5,"You can taste the fruit.","Great yogurt! Creamy, tasty.",true
"R3LFFXVLSJO6K","B00CIJM0PO","","Reviewed in the United States on July 25, 2019","July 25, 2019",1564034400,"Mobile Moses",1,"This stuff is horrible.","Very bad consistency. Hardly any fruit. Hated it.",true
"R373UP4N489AUR","B00CIJM0PO","","Reviewed in the United States on February 2, 2019","February 2, 2019",1549090800,"ariana",5,"My favorite flavor!","Excellent!",true
"R2SC63KCOGLRJM","B00CIJM0PO","","Reviewed in the United States on June 20, 2018","June 20, 2018",1529474400,"Bill Pelych",5,"Yum","My favorite kind of yogurt. Low sugar",true
"RE9SPIHYEMJY2","B00CIJM0PO","","Reviewed in the United States on May 27, 2018","May 27, 2018",1527400800,"G.",5,"The best yogurt ever.","Thick rich.",true
"R3SIST05K3HMYT","B00CIJM0PO","","Reviewed in the United States on May 15, 2018","May 15, 2018",1526364000,"MAURA",5,"Great quality and flavor. Thick, filling, not super sweet.","Great quality and flavor. Thick, filling, not super sweet.",true
"R1LJ0Q0GDEOQON","B00CIJM0PO","","Reviewed in the United States on April 20, 2018","April 20, 2018",1524204000,"Natasha",1,"One Star","yuck",false
"RM3WB1UVAQ8CF","B00CIJM0PO","","Reviewed in the United States on October 31, 2017","October 31, 2017",1509429600,"Book_Guru",5,"... it can be a bit tart since they go easy on the sugar","Anyone that has eaten Siggis knows that it can be a bit tart since they go easy on the sugar. This flavor has the same low-sugar health benefits, but the peach flavor makes it taste a lot sweeter than other flavors of Siggis. This is quickly becoming my new favorite flavor.",true
"RXYJWEZL7SCFY","B00CIJM0PO","","Reviewed in the United States on August 2, 2017","August 2, 2017",1501653600,"Lazo",5,"Five Stars","Tasty",false
"R23UFRI38MO3GJ","B00CIJM0PO","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Ursula",5,"Great","Good product. Flavor and price",true
"R22X3XBVNUF00I","B00CIJM0PO","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Helene Delambre",5,"Thick and delicious","Yum, I love Siggi's! Very thick and luscious. Not like the classic D or Y. Two of my family members hated it, so it depends on what you're into",true
"RYGLDBFI2AUJQ","B00CIJM0PO","","Reviewed in the United States on March 26, 2021","March 26, 2021",1616738400,"GloriousSausages",5,"What’s most Important to Know? Isn’t that the question we all ask the universe every day?","This is super good to. Worth writing a review to tell you for sure to try it. Good with like a crunchy vanilla granola. Make sure to watch your sugar intake from fruits and try to avoid added sugars obvi.Be well",true
"RMPDCPJVU7HLP","B00CIJM0PO","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Amazon Customer",5,"Delicious","The best skyr out there!",true
"RAL7SFEZLQVA7","B00CIJM0PO","","Reviewed in the United States on February 25, 2021","February 25, 2021",1614236400,"Avid Reader",5,"My favorite yogurt","Siggi’s is the only yogurt I will eat now and Peach is the favorite out of all their delicious flavors.",true
"R2GS2WMCER8S4T","B00CIJM0PO","","Reviewed in the United States on October 14, 2020","October 14, 2020",1602655200,"Claire B.",5,"Super delish and healthies option out there.","No gums, no fake junk, just fruits and milk and yogurt bacteria.All you need.",true
"RWNYCRIXX71Y3","B00CIJM0PO","","Reviewed in the United States on September 16, 2020","September 16, 2020",1600236000,"penguin2",5,"Peach is by far my favorite Siggi's flavor.","Peach is by far the BEST flavor of Siggi's, IMHO.Really love it.However, NB that like all Siggis yogurts, I have to STIR IN SOME SUGAR or it's otherwise too sour.No big deal, but otherwise its just too tart to enjoy, and I am someone who doesn't like sweets.(Anyway, at 50 cents /lb, its much more economical to stir in your own sugar, rather than have it added by manufacturer who is charging you $3-4 /lb for the end result.)",true
"R1Z7JSE1G53P3","B00CIJM0PO","","Reviewed in the United States on August 13, 2020","August 13, 2020",1597298400,"Jane Austen ""Barbara""",2,"Don't like","This is thick and lumpy. Don't like it at all.",true
"R3LEPVCKBA7KJY","B00CIJM0PO","","Reviewed in the United States on April 22, 2020","April 22, 2020",1587535200,"Anna-Marie",5,"Try them, if you love very thick, high protein yogurt","I love these yogurts, they are less sweet and extremely thick. I like to dip fruit into them sometimes. All of the flavors are fantastic!",true
"R2LGT7QBNCNFFD","B00CIJM0PO","","Reviewed in the United States on February 26, 2020","February 26, 2020",1582700400,"Adam Moore",1,"Tastes like chunky milk","Tasted like sour chunky milk that was 3 months past expiration.",true
