"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RSZYNUHZW115Q","B00CIJMARW","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Whiteowl",4,"Just ok","Just ok",true
"R3BIEQ82F3AKPL","B00CIJMARW","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Pat Johnson",5,"Nifty Noosa","Noosa products are great!",true
"R2JA95FZ4Z0AKS","B00CIJMARW","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Chloman",4,"Water weight with great flavor","Amazing flavor but watch that sodium content at over 100mg.I'll stick to a lower sodium yogurt and keep off that additional water weight",true
"R3NXG42POSYZBC","B00CIJMARW","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Courtgk",5,"Soooooo yummy","I love this brand. It is as good as ice cream and I don’t say that lightly. All the flavors are amazing and my 4 year old loves them too!",true
"R3N7N81KD897LF","B00CIJMARW","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Bookworm",5,"Try it so yummy.","Noose is so yummy! Strawberry Rhubarb is my favorite.",true
"RC6JG23BL26RB","B00CIJMARW","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"XOCHITL GONZALEZ",5,"Good value for money","Love the flavor and good price.",true
"R1IC41WKUXXR9C","B00CIJMARW","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Samantha Wang",5,"Our family love this","My children love this yoghurt!",true
"R2XVRO0X8L0BT3","B00CIJMARW","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Nozama Fer Scots",2,"absolutely love this yogurt, but...","This comes close to the rhubarb yogurt when I was a kid.Best yogurt I can find today.The only downside & reason for overall rating is the amount of sugar & how it causes my blood glucose to spike. The description on this page even says:""Daily servings promote healthy levels of blood glucose and blood pressure""Sadly not the case for me - 1 serving and my blood glucose exceeds normally acceptable levels.",false
"RPI6RKKBS0PEA","B00CIJMARW","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"Bria2646",5,"LOVE it!","VERY delicious and flavorful!!",true
"R1TZDH33CY581G","B00CIJMARW","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Amazon Customer",5,"Love Noosa yogurt!","Love strawberry rhubarb Noosa Yogurt. Healthier then other yogurts.",true
"R17CF4T0PU1K2","B00CIJMARW","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"joann irvin",2,"Too much sugar","Great flavor but too high in sugar",true
"RE7I5B3VSNDAO","B00CIJMARW","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Margie Larson",2,"Date was almost up by the time we got the order unacceptable","Would have liked it if it had a nonexpiring date+",true
"R3MEJYNPQ1IS0E","B00CIJMARW","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"sherry z",5,"Okay! Rhubarb? Yes’","Very creamy. It’s the only flavor I like. I have never eaten rhubarb but I would if it tastes like this.This brand is so tasty and so far it’s my favorite over Dannon.",true
"R3IBL0ZGNIEEB1","B00CIJMARW","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Nursiehazel",5,"The bestest yoghurt ever!!!","This is my favorite flavor for all kinds of foods. A friend turned me on to this yoghurt while I was in Colorado. I purchased it here for 2/3 the cost. Arrived quickly, well packaged, two hour window, and then they made me aware that it was outside my door. I will order this once a week forever. So convenient",true
"R2MGMT040HM00Y","B00CIJMARW","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Laura Nichols",5,"The Absolute Best!","This is the best tasting yogurt ever! It costs a little more than other yogurts but well worth it. What a great treat!",true
"R83FZ1S51MFWJ","B00CIJMARW","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Amazon Customer",5,"Perfect Yogurt","After trying this brand, this is now the only brand I will buy.Excellent flavor and texture.A wonderful product!",true
"R1GP0ABKWOWR23","B00CIJMARW","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Vivi Zhu",5,"Fresh","Tastes good! I love it!",false
"RONOP5P7RD3MA","B00CIJMARW","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Antonio gaona",5,"Delicious!","This yogurt was so delicious I regret not buying more!",true
"R3ULORBLDPK33B","B00CIJMARW","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Shari Adams",5,"Great flavor","Nice size. Great flavor and creamy.",true
"R3RKHARXBDXMS3","B00CIJMARW","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"JJG",5,"Delicious","Rare to find strawberry rhubarb flavor in the south",true
