"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2FZLUFZDFC93W","B00CJ8MDA6","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Mikey C",5,"Not healthy. Very Awesome.","Don’t be foolish. This isn’t healthy treat.There’s as much refined sugar as ice cream, and the word “yogurt” will never change that.…BUT totally worth it. If you like yogurt, coconut, almond, and/or dark chocolate without a distaste for the other “or”s, fantastic treat for any time of day in which a treat is due.",true
"R1REWNU3UP3NL","B00CJ8MDA6","","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"c",5,"good","It tastes good",true
"R2HU6RNVH7UA36","B00CJ8MDA6","","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"D P",5,"So Good.","I love these but buy them on sale. They’re similar to other yogurts with same toppings so I just buy whichever is on sale. I like that these are smaller than the noosa, as too much gets cloying for me.",false
"R1ZU8C7FXH1J68","B00CJ8MDA6","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"JACKIEF46",5,"Tasty","Tasty",true
"R2DF275AQ5GRVS","B00CJ8MDA6","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"lori",5,"Great taste","Would buy these again great tasteGod Bless",true
"R2V0F7U5B216SK","B00CJ8MDA6","","Reviewed in the United States on April 17, 2021","April 17, 2021",1618639200,"Elizabeth Rincon",5,"Great variety","Great for a quick snack, s as bd great taste",true
"R347J0H72QV4I2","B00CJ8MDA6","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"Suzanne Zan Thornton",5,"Great Treat","Great treat could use less sugar and more fiber. But it's a great substitute for DQ icecreade / Frosty or desert 9 of 10",true
"RSU44S1QCN79R","B00CJ8MDA6","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Nightflyer",5,"My Guilty Pleasure","This is delicious and the texture is great, creamy and substantial but not too thick. The add-ins are great. I use this to satisfy my chocolate craving. Definitely not low-calorie but much less than ice cream of candy bars. I think it's a little expensive but I think most everything is priced too high, lol.",true
"RLXPZLDK8DYGF","B00CJ8MDA6","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Amazon Customer",5,"nom nom nom","love the chobani brand, with their ""mix-ins""...this flavor profile is super good!!will always have this on hand.",true
"R1VOZLZWDTMU03","B00CJ8MDA6","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Green",5,"Delicious!","Delicious!",true
"R10L7XZ8ECPNL4","B00CJ8MDA6","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"Fami F.",5,"Delicious","Not sure if these are healthy. But it is delicious.",true
"R3DYHG5EH9NZRK","B00CJ8MDA6","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"als.josh",5,"the best yogurt","all flavors have been great - just depends on your preference",true
"R19YW95VS1E9H9","B00CJ8MDA6","","Reviewed in the United States on February 5, 2021","February 5, 2021",1612508400,"irene larocca",5,"Wonderful","My favorite flavor. I eat for breakfast. It’s delicious!You get the crunch and a touch of sweetness.",true
"RU6SQVMTHC3J","B00CJ8MDA6","","Reviewed in the United States on December 8, 2020","December 8, 2020",1607410800,"Amazon Customer",5,"Probably my favorite flavor.","Sweet, thick, crunchy... very good.",true
"R30PISFLA5C0OW","B00CJ8MDA6","","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"aj w.",1,"Tastes like play-dough","Don’t get me wrong, the coconut yogurt by itself is very good but the almond shavings taste like play-dough. Completely ruins the yogurt in my opinion.",false
"R1O7CQMBJCPVX2","B00CJ8MDA6","","Reviewed in the United States on November 1, 2020","November 1, 2020",1604214000,"Robin Montoya",5,"Yogurt","Yogurt is great.",true
"R28RTGVZA0ZUK0","B00CJ8MDA6","","Reviewed in the United States on October 12, 2020","October 12, 2020",1602482400,"Amazon Customer",5,"love it","love it, not too sweet.",true
"R1VNF4BYDOLE5M","B00CJ8MDA6","","Reviewed in the United States on October 4, 2020","October 4, 2020",1601791200,"Dee",5,"Refreshing","Very refreshing. Didn’t know if l would enjoy it especially with the coconut. But to my surprise I enjoyed it.",true
"R24O7KICAPG3AI","B00CJ8MDA6","","Reviewed in the United States on October 1, 2020","October 1, 2020",1601532000,"Lex",5,"Yummy","Very tasty",true
"R1AS0S4EU825SZ","B00CJ8MDA6","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"Aubrey Carbonell Llanos",5,"Delicious","Love it!!",true
