"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3NETU48TVE06T","B00CJ8MJG4","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Beach Girl",5,"Good taste","Great tasting yogurt good quality.",true
"R17SIGAL1QOU5U","B00CJ8MJG4","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"vikkif",5,"Best yogurt","I just love this yogurt. I like mixing it up with my ceral in the morning.So so good....try it for youself",true
"R2X7BVQJF1E2KX","B00CJ8MJG4","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Vanna",5,"Chobani Greek Yogurt is one of the best!!","Chobani greek yogurt is both flavorful and delicious. Its non-fat greek yogurt but it tastes amazing! 👌",true
"R33P1T3ALQMB95","B00CJ8MJG4","","Reviewed in the United States on December 26, 2020","December 26, 2020",1608966000,"DesDaz",5,"Great taste and texture.Best around","My wife loves the taste and texture better than any other vanilla yogurt.She eats it almost daily, we always have an extra in the fridge.",true
"RWRIMA76G6526","B00CJ8MJG4","","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"John C",5,"i eat it and i don't even DO yogurt!!","this stuff - i bought it for smoothies - now i dish it up with some blueberries and sliced bananas and a dash of cinnamon and i'm in hog heaven. the flavor is amazing!!! big biiiiiiig biiiiiiiiiig fan of this. happy to have found a yogurt that i can enjoy.",true
"R3BYN9GBQE67CO","B00CJ8MJG4","","Reviewed in the United States on November 1, 2020","November 1, 2020",1604214000,"Kathleen McClafferty",3,"Too much sugar!","Too sweet. Will switch to plain and add some drops of vanilla extract and agave syrup or something.",true
"R831XVNN1M7CO","B00CJ8MJG4","","Reviewed in the United States on October 15, 2020","October 15, 2020",1602741600,"babbz",5,"Love it","Good taste",true
"R23MEHKSI2AC0N","B00CJ8MJG4","","Reviewed in the United States on October 15, 2020","October 15, 2020",1602741600,"Harold ",5,"Vanillalicious.","Tastes good.",true
"R2Q57MUUP93Q4D","B00CJ8MJG4","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"Onlyme",5,"Great","Thickest yogurt i ever had tastes very good and keeps me full. The vanilla is so much better than the plain",true
"R3EQP0NPXU84OR","B00CJ8MJG4","","Reviewed in the United States on September 22, 2020","September 22, 2020",1600754400,"william",5,"Buy here not local stores","Two thumbs up -Cheaper than my local stores and was delivered chilled and fresh.",true
"R2WZMVGYBSEL2W","B00CJ8MJG4","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Lisa Rastellini",5,"Great flavor and price. Great size!!","Great flavor and size portion. Great price and packed with protein!!",true
"R3RNTRBLGSM888","B00CJ8MJG4","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Happy Buyer",2,"Not the best","Again I have received a large tub with a 1 week expiration date! The tub I bought 2 orders before this, expires 8 days after this!",true
"R2D4PM1LIGO4R6","B00CJ8MJG4","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"Guest37338Q",5,"Flavor","Flavor is so good",true
"R1GG38525B51IX","B00CJ8MJG4","","Reviewed in the United States on April 30, 2021","April 30, 2021",1619762400,"HorrorJunky4Life",5,"Very Tasty","Thick, creamy and delish. Perfect for making smoothies.",true
"R3K3XF2FKY4STN","B00CJ8MJG4","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Odilia L. Mcbride",5,"Good yogurt","I like this product. It has a pleasant taste, it has protein. Important for a Vegetarian. It is a little expensive.",true
"R1MM81NKVVRAZW","B00CJ8MJG4","","Reviewed in the United States on April 19, 2021","April 19, 2021",1618812000,"Susan Moore Maddox",1,"It’s great if you can actually get the right one!","I actually love this product… The non-fat version… But, the shopper did not realize that the non-fat and the full fat version look the same. Would’ve would’ve been nice if they had read the label and delivered the right one.",true
"RYK94KVSA5CL9","B00CJ8MJG4","","Reviewed in the United States on April 15, 2021","April 15, 2021",1618466400,"Alberto G",5,"Favorite yogurt","Very thick and delicious vanilla Greek yogurt. I buy this every month and it has become my favorite yogurt",true
"R2G8JIAZUA0CYD","B00CJ8MJG4","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Roland Frymire",5,"Good Choice","Good taste, thickness and creaminess",true
"R2F0RQO99X2EM0","B00CJ8MJG4","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"A Prado",3,"Great taste but.... Too much sugar","The flavor and texture are great. My kid (and I) loves it. BUT.... The 3 stars are for the excesive amount of sugar it has. It would be awesome if it could be replaced by a natural non sugar sweetener.",true
"R2YEXZDITZ1EVA","B00CJ8MJG4","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"Ally S",4,"Great flavor, good prodcut","I have to remember to keep buying larger sizes of yogurt- better for the environment and me so I can choose exactly how much I want to consume at once.This product has a great flavor too",true
