"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R37ZTFMNVLKR6O","B00DIHM32U","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Z",5,"No saturated fat, no added sugar, no cheap fillers -enjoyable creamy flavor","This is a creamy organic yogurt without saturated fat or added sugar. This is a healthy food that doesn't take additional willpower to consume.I used to eat Chobani (regular flavored greek yogurt) each day which contains 9g of added sugar in a 5.3oz portion. 365 days x 9g = 7.25 pounds of sugar a year! I enjoy this yogurt with a variety of fresh and dried fruit, nuts etc. and find it more satisfying than ""fruit on the bottom"". It is also a useful replacement for cream in dishes like Indian food.",false
"R2SLULAWFWESBY","B00DIHM32U","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Luna",5,"Pretty darn good for a non fat yogurt! Yum!","I've never cared for low fat/nonfat dairy. Only organic whole milk/full fat dairy for me. Low fat dairy is plain yucky to me. Terrible taste, no flavor, it's like a watered down version, a shadow of the ""real deal"" if you are used to whole milk. But... I had to switch. At first I just ditched all dairy completely, disappointed because low fat sucks. Tried so many products, all terrible. Well, this yogurt is pretty darn awesome for a non fat yogurt! Actually, it is super delicious and creamy like a dream! I always have a tub... or 5! :D in the fridge. :P Glad I gave it a chance! I can enjoy delicious yogurt again!",true
"R1ELDJEAIAJECM","B00DIHM32U","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"SR",5,"best yogurt out there","this yogurt is truly the best in the market.",true
"RMWLT57Y8A0TW","B00DIHM32U","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Karina",5,"The BEST greek yogurt of all!","I don't know how they do it, but Wallaby's fat free greek yogurt tastes like other brands' full-fat creamiest yogurt. The taste is unbelievably smooth and delicious and I eat this in copious, slightly alarming quantities. It is my biggest grocery splurge each week and I think it's totally worth it.",true
"R2F36UE9WGKUVA","B00DIHM32U","","Reviewed in the United States on March 8, 2021","March 8, 2021",1615186800,"HRHElizabeth",5,"Nice yogurt","Nice flavor.Got it on sale.Not sure I would buy it again at full price though since it didn't seem better than other yogurts that are more reasonable.Content??? I cannot compare.",true
"R3A2UU2EO8JXZD","B00DIHM32U","","Reviewed in the United States on March 8, 2021","March 8, 2021",1615186800,"Brdwygurl",5,"Delicious creamy not sour","I love this yogurt because it’s very creamy and is not tart some like other non-fat yogurt. It’s a great substitute for sour cream!",true
"RSI3LDO942S2A","B00DIHM32U","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"LeeK",3,"Fab.","For a nonfat Greek style youghurt, Wallaby is tops on flavor.Smooth, not gritty and not too tangy.Hands down the best, and I eat plain yoghurt on a daily basis.Loathe Chobani and other imitators.Wallaby is the real deal.Even better than the ubiquitous Stoneyfield Farms nonfat Greek style.",true
"R2RANUIM710GKH","B00DIHM32U","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"GUEYE, B",5,"Simply Delicious","I love everything about this yogurt. EVERYTHING!",true
"RH0X2C9OUBD7U","B00DIHM32U","","Reviewed in the United States on February 26, 2021","February 26, 2021",1614322800,"JKim",5,"By far the best yogurt","Your browser does not support HTML5 video. I've tried many many many yogurts including dairy and non-dairy products, this one is by far the best. I love that this one is organic but the best part is its texture. Though I love greek yogurt which is super thick but sometimes it's too thick to mix with protein powder or oats. Wallaby's yogurt tastes so good and super creamy at the same time. So happy that I finally found my go-to.",false
"R1MXHNQ35MW420","B00DIHM32U","","Reviewed in the United States on December 6, 2020","December 6, 2020",1607238000,"Mars",5,"Nice flavor","Nice texture and flavor. Not overly sour.",true
"RWGG2A9SE1YMT","B00DIHM32U","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"C. Milner",5,"Very good yogurt","Very good yogurt",true
"R2AIBFQGMVHXXP","B00DIHM32U","","Reviewed in the United States on August 19, 2020","August 19, 2020",1597816800,"Tara Miller",5,"The best out there!!","I have tried *all* of the nonfat organic plain Greek yogurt brands and this is by far the best. It is amazingly thick, creamy and free from the funk that other plain yogurts have. I use it in recipes, sauces, dressings and by itself. It is a weekly staple!",true
"R2R294LRABT0GA","B00DIHM32U","","Reviewed in the United States on July 9, 2020","July 9, 2020",1594274400,"Marry M",5,"The best greek yogurt","So happy that I found this greek yogurt - the best taste one out there. I also love the whole milk version, which is an awesome substitution of sour cream!",true
"R3SMC0V5BFO8TU","B00DIHM32U","","Reviewed in the United States on May 10, 2020","May 10, 2020",1589090400,"Ana Maria",5,"Great quality organic Greek yogurt!","When it comes to dairy products, my choice is always organic and (if possible) grass-fed; it's better for the environment, for the cows and for myself.Wallaby has one of the best tasting and creamy Greek yogurts, I always have a big tub in my fridge.I prefer the non-fat plain one for a snack, served either sweet with fruits, either with herbs and spices mixed in and veggies; also, I sometimes mix a tablespoon or to in my oatmeal. The full fat version is extra creamy, great for baking or as a sour cream substitute.Once you open it there's some separation of liquid from day to day, but you can mix everything in when you use it.",true
"RDSQWHQI4X4FK","B00DIHM32U","","Reviewed in the United States on March 12, 2020","March 12, 2020",1583992800,"Jessica",5,"Smooth and delicious","I really like this one. Taste like low-fat yogurt because it is creamy.I like to put some berries on top of the yogurt (or a teaspoon of the no-sugar-added strawberry jam) and a little bit of Ceylon cinnamon powder. It always reminds me of the strawberry ice cream I like when I was a kid. But now it is a healthy version!",true
"R1KGTFHQ3PFK0N","B00DIHM32U","","Reviewed in the United States on March 6, 2020","March 6, 2020",1583478000,"junie",5,"Delicious yogurt","Wallaby organic Aussie Greek yogurt is the best-tasting yogurt around.It is so rich and sweet it tastes almost like ice cream.Delicious.I will buy again and again.",true
"R2BDV5K5AXGDX8","B00DIHM32U","","Reviewed in the United States on October 30, 2019","October 30, 2019",1572415200,"Sara B.",5,"Best on the market","You get what you pay for... this is the best by far. Even though the price point is a little higher, you are paying for quality whole yogurt. It is the creamiest and best tasting. Even my toddler will eat it plain with berries or homemade granola. You won't be disappointed.",true
"R1O25QKPMKO2YW","B00DIHM32U","","Reviewed in the United States on March 2, 2019","March 2, 2019",1551510000,"Paul F",2,"Lately unpalatable","Ladt two deliveries had an odor that was not tolerable or palatable.",true
"R23IBS72JRB6B","B00DIHM32U","","Reviewed in the United States on December 21, 2018","December 21, 2018",1545375600,"Amazon Customer",5,"THANK YOU","THE BEST PLAIN YOGURT I VE HAD IN UNITED TASTES, ordered 3 times already , will be buying moreTHANK YOU",true
"R2TLXBC3N4UWMN","B00DIHM32U","","Reviewed in the United States on July 27, 2018","July 27, 2018",1532671200,"Nettie Scott",5,"Top quality.","Great dense organic Greek Yogurt.Very nice tart flavor.Very versatile in everything from salad dressing to desserts, to entrees.Its worth the higher price compared to other more bland Greek yogurts.",true
