"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2PI75KNI7BVQI","B00DQHCJPI","","Reviewed in the United States on November 24, 2018","November 24, 2018",1543042800,"Amazon Customer",5,"Love the taste!","Best yogurt I've ever tried! The raspberry tastes so real, and it's super smooth and creamy! Great for the whole family.",true
"RE8900KTVYM89","B00DQHCJPI","","Reviewed in the United States on July 10, 2018","July 10, 2018",1531202400,"Eugene Namyotov",2,"Almost like eating a raw granny smith apple","The most acidic and sour tasting yogurt on the market. Almost like eating a raw granny smith apple. I would not recommend if you have stomach acid or gastritis problems.",false
"R29JBWUBBZTPVP","B00DQHCJPI","","Reviewed in the United States on June 30, 2018","June 30, 2018",1530338400,"MAURA",5,"Very happy with the quality, flavor and texture.","Very happy with the quality, flavor and texture.",true
"R2EQGA6OPKUH1H","B00DQHCJPI","","Reviewed in the United States on October 30, 2017","October 30, 2017",1509343200,"Jessica",1,"did not enjoy","Does not taste good",false
"R2G3UM9WEJ2AKW","B00DQHCJPI","","Reviewed in the United States on May 11, 2017","May 11, 2017",1494482400,"Vjeann",5,"love that's it's natural cane sugar and 15 grams protein","Tart and tangy, love that's it's natural cane sugar and 15 grams protein",false
"R3EHRETPZOOTF4","B00DQHCJPI","","Reviewed in the United States on May 2, 2017","May 2, 2017",1493704800,"RebelAthena",5,"My favorite flavor.","Unfortunately, purchases from AmazonPrimeNow won't show up as a ""verified purchase,"" but I purchase nonfat siggi's regularly -- and this is my absolute favorite flavor!!I find that the taste is spot on, and the protein leaves me sated.It is worth a try.",false
"R2V5XVOG6031T9","B00DQHCJPI","","Reviewed in the United States on April 4, 2017","April 4, 2017",1491285600,"OCreader",5,"recommended by my nutritionist","My nutritionist recommended Siggi's because they don't have all the added sugar other yogurts have.My husband and I love them and eat them with a little honey for breakfast most mornings.Really thick, they keep you satisfied all morning.",true
"RTW6U5LBF0C4F","B00DQHCJPI","","Reviewed in the United States on November 6, 2016","November 6, 2016",1478415600,"Ryan",5,"Five Stars","Amazing, high protein and low sugar, what more can you ask for?",true
"RHC7OS3E95YEB","B00DQHCJPI","","Reviewed in the United States on November 5, 2016","November 5, 2016",1478325600,"Nancy Jundi",5,"Love","Yumm! Love siggi's",true
"R27H0GIP3JJT85","B00DQHCJPI","","Reviewed in the United States on September 5, 2016","September 5, 2016",1473055200,"Lazy Shopper",5,"Delicious - one of the best always-available Siggi's flavors","There are only three Siggi's yogurts that I buy:this one, the Coconut, and the Vanilla Cardamom, which is delicious but not always available.All three are made with cane sugar.One expects raspberry yogurt to be a little bit tart, so Siggi's reduced sugar formula works well here.I prefer it to any other raspberry yogurt.Many of the other flavors are lackluster, and the Vanilla and some others are flavored with agave ""nectar,"" a highly-processed sweetener that tastes unpleasant and contains more fructose than high-fructose corn syrup.(The Smari vanilla skyr tastes much, much better.) According to the NIH, agave causes elevated triglyceride levels, insulin resistance, and leptin resistance, which promotes obesity.My preference is to buy Siggi's by the 12-container case.When I do this at my local supermarket, the market gives me a discount, the foil tops of the containers are unpunctured when I get them home, and the cases store neatly in my refrigerator.When Amazon tags Siggi's at $1.25 per container, they match my supermarket's price.Unfortunately, however, Amazon doesn't want to deliver the Siggi's containers in the producer's original case packaging or repackage them in an appropriate way.As a result, when I receive a Fresh delivery, the Siggi's containers are always jumbled together in a plastic bag and at least several tops are broken.From time to time, I even find that one or two of the plastic containers have split.If Amazon can't find a better way to handle Siggi's, they should at least be willing to sell this product in Siggi's original cases.",false
"R1DR9C3CCU20P","B00DQHCJPI","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Patricia cavanaugh",5,"Good great","Like it",true
"R36DJLNOTRF55G","B00DQHCJPI","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Christina",1,"This yogurt is tasteless.","There is no flavor and the yogurt was tasteless.",true
"RIOHWP0W7FN3Y","B00DQHCJPI","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Ursula",5,"Great","Delicious love flavor",true
"R3S2Z9XA7DOHWL","B00DQHCJPI","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Mnexolorer",4,"All yogurts should have less sugar","After eating Siggi yogurt for a while I realized that yogurts don’t need to have all that sugar in them. Siggi yogurt is just as good.",true
"R1XYL59I37CBQB","B00DQHCJPI","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"T. G.",1,"Not a good item for me","Not a good flavor.Awful aftertaste.Did not enjoy it at all",true
"R2SUMHIV2VA8PH","B00DQHCJPI","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"Richard Layne",5,"Great yogurt x3....flavor, ingredients, value","Great flavor made with really good ingredients!",true
"R1CFLZRVYSOT8Q","B00DQHCJPI","","Reviewed in the United States on January 9, 2021","January 9, 2021",1610175600,"Victoria",5,"Tart, not any added sugar","Tart, not any added sugar.",true
"R2W3KM60TD8M65","B00DQHCJPI","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"yikes",1,"SOUR","Wow, really not for me. INCREDIBLY SOUR. Couldn't finish, had to throw it out.",true
"R2QK6NVGV5XZCX","B00DQHCJPI","","Reviewed in the United States on February 1, 2020","February 1, 2020",1580540400,"Karen ",5,"Low sugar, great taste","Best yogurt",true
"R5T3P0798X4BA","B00DQHCJPI","","Reviewed in the United States on November 20, 2019","November 20, 2019",1574233200,"NJFamily",5,"Great taste and ZERO fat!!!!","Even my husband will eat this yogurt!!!!!",false
