"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1MOP3K1YU84CF","B00FZHEGGW","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Bobby Z",5,"The only greek yogurt sold both in USA and Greece","I lived in Greece for a year and you could buy Fage in grocery stores across the country.It's the only brand that I've also seen on shelves in the US. It's the real deal!",false
"R2KJHX3WSJAB8J","B00FZHEGGW","","Reviewed in the United States on January 23, 2021","January 23, 2021",1611385200,"Chas",5,"Best plain Greek yogurt","Best and thickest plain Greek yogurt you can buy - mix in your own jam and/or walnuts and get way better quality than you can get with flavored yogurt.",true
"R26043TRNL4EQ3","B00FZHEGGW","","Reviewed in the United States on January 8, 2021","January 8, 2021",1610089200,"AMJ",5,"Preferred Brand","Great consistency and smooth texture, it even doubles as our sour cream!",true
"RB0U25Y1ONN5E","B00FZHEGGW","","Reviewed in the United States on December 26, 2020","December 26, 2020",1608966000,"andrew riley",5,"I am at one with the Earth","I ate this whole thing in one sitting. And then did yoga for three hours on the beach.",true
"RM5S51LTK95PS","B00FZHEGGW","","Reviewed in the United States on November 23, 2020","November 23, 2020",1606114800,"Papersky",5,"Love it!","Perfect for my chicken curry recipe!",true
"R1XHJYSBHFSHEJ","B00FZHEGGW","","Reviewed in the United States on November 22, 2020","November 22, 2020",1606028400,"Angela Samos Guardia",5,"As expected!!","Very good! It taste real good.",true
"R3JJWCEBDIQ0KB","B00FZHEGGW","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"Anon",5,"Best plain yogurt I have used.","I add fresh fruit and sweetener to yogurt for a meal. I like the flavor, texture, and density of Fage more than any other plain yogurt I have used.",true
"R1N4GOTJ8SVTUD","B00FZHEGGW","","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"SchmittyBernardo",5,"My favorite yogurt","This is my favorite yogurt and it is good if you are doing a low carb lifestyle.Can’t go wrong, might want to add some monk fruit sweetener but that’s about it",true
"RM6URVZCK9ML0","B00FZHEGGW","","Reviewed in the United States on September 12, 2020","September 12, 2020",1599890400,"asd",5,"Authentic","Very good, classic greek yogurt flavor and dense texture. Perfect sour flavor that goes great with savory and sweet. The 2 percent is a must if you going for authenticity.",true
"R1CUU87YVPQXL5","B00FZHEGGW","","Reviewed in the United States on September 12, 2020","September 12, 2020",1599890400,"Hesn Hilnesn",5,"Excellent","Excellent",true
"R2GFM1WF3HOYP1","B00FZHEGGW","","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"Suzanne Metaxas",5,"Delicious","Flavorful and not to bitter. Mixes well with fruit.",true
"R3RC7YPJWM2556","B00FZHEGGW","","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"N. A. M",5,"Best bang for buck Greek yogurt","Whole foods costs money. Fage plain Greek yogurt doesn't. At neighboring grocery stores Fage is always a similar price so when I step into Whole Foods for the few things I get exclusively there I at least know that my yogurt won't be a wild outlier - price wise.",true
"R1VDSJ2Q5LK9V4","B00FZHEGGW","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Kristiofca",1,"Eww","This container grew stringy black mold after 4 days of being opened and stored in a cold refrigerator.",true
"R2KI2PS1UMT6X7","B00FZHEGGW","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"Tonya A.",5,"Easy to deal with","Great taste fast shipping",true
"R3A2XHJJZWYNZI","B00FZHEGGW","","Reviewed in the United States on April 20, 2021","April 20, 2021",1618898400,"Susan M.",5,"Fage great","Great",true
"R2274U9IZ15CLV","B00FZHEGGW","","Reviewed in the United States on April 20, 2021","April 20, 2021",1618898400,"Amazon Customer",5,"Creamy goodness","I love the creamy texture and naturally sweet taste.It pairs well with berries and sliced almonds for a super food meal!",true
"RILPP36QZHCN3","B00FZHEGGW","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"raybee",5,"The best!","Have to say this is the best yogurt out there, even though they don’t offer an organic version. It’s the greatest flavor and consistency I have come across. I’m referring to the plain version, all types:whole, 2% and fat free. I don’t buy flavored yogurt so I can’t comment on that. Love it.",true
"R1VNFOTF9BVWL7","B00FZHEGGW","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"kianna",4,"Cream cheese is that you?","Could easily become a cream cheese replacement if you wish. It’s VERY thick even though it’s not 5% IMO seriously try it on the bagel it’s a great healthy alternative 👩🏾‍🍳",true
"R3LKGNRHTHGAVT","B00FZHEGGW","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"Dale Gatchell",1,"Danger.","I sliced 3 of my fingertips when taking off the lid.They bled and it took about a week+for the cuts to heal.I contacted Fage about the urgent need to change the razor sharp edge on that container. I didn’t want others to get hurt . If they don’t protect people I suggested some of my buddies and I could warn people via blog’s and websites.I like their yogurt but not getting sliced finger tips.Dale Gatchell.dalegatchell24@gmail.comps. they did send a couple of coupons , I’m not going to use them.",true
"R2F3VGSTHAX2JK","B00FZHEGGW","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Rash",5,"Texture and Taste are the best!","Fage has such a great smoothness and non-acidic taste. So far my favorite yogurt. Would be great to have a full fat option in shops.",true
