"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1ZRHT2BN7RPT4","B00HR5TPUW","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Bonnie Max",5,"Quick and dependable.","The sellers product arrived quickly and the product is still as dependable as ever.",true
"R1I9R6TN4KX1QI","B00HR5TPUW","","Reviewed in the United States on June 1, 2021","June 1, 2021",1622527200,"george r.",1,"Yogurt Failure","Package arrived crushed and torn. I followed directions for making yogurt carefully. Culture did not work and I got a pan of milk after many wasted hours. I did not realize culture was packaged in France and refrigeration was recommended so it probably had gone bad.",true
"RRDVZ57XMH6A","B00HR5TPUW","","Reviewed in the United States on May 16, 2021","May 16, 2021",1621144800,"DeborahSmith",1,"No writing on packets.","The picture on Amazon is very deceptive. These look like the original packets but when you open them up there is NO writing on the envelopes. I am now stuck with all these boxes of starter I can't use. I am on a special diet and can't ingest some ingredients because of my Ulcerative Colitis. Can't send them back. If you are an SCD diet person don't buy these. Very disappointed in Amazon and this seller.",true
"R2VMRQXV66U53H","B00HR5TPUW","","Reviewed in the United States on April 6, 2021","April 6, 2021",1617688800,"Rhonda LL",5,"Sno-Valley Herbs & Botanicals has GREAT Customer Service!","The Yogurt Culture arrived quickly. There were 6 packets inside of the box.The packaging was different than I expected but I found out by contacting the Yogourmet Company directly that Yogourmet sold the company to a new owner last Fall and this is how the NEW packaging looks.There is a Lot # and Expiration Date on the packets that match the same sticker on the box! Sno-Valley Herbs & Botanicals responded very quickly to my questions via emails. Their Customer Service is EXCELLENT.Thank you!UPDATE:I made my first batch of yogurt using the YoGourmet that I purchased from Sno-Valley Herbs & Botanicals.I added the photos of the Luvele machine in process and the finished yogurt.It turned out amazing!",true
"R1HY8YFZP6ZN8T","B00HR5TPUW","","Reviewed in the United States on January 11, 2021","January 11, 2021",1610348400,"Jayzzz ",4,"Yogurt","This version is better then green one",true
"R29FGKY0YUGWO3","B00HR5TPUW","","Reviewed in the United States on November 13, 2020","November 13, 2020",1605250800,"Kay nguyen",1,"It is DEAD","It's pretty much dead, i try warm, luke warm, room temperature. Nothing works.",true
"RZATK747C93E6","B00HR5TPUW","","Reviewed in the United States on November 5, 2020","November 5, 2020",1604559600,"Iwona Wower",5,"yogurt just right","This is my favorite formulation, I use for years. I eat it straight with seeds orin smoothies.Drained, it makes perfect greek yogurt.",true
"R2R1ID27SF9DIP","B00HR5TPUW","","Reviewed in the United States on October 28, 2020","October 28, 2020",1603864800,"JFB",1,"Does not work","I tried to use this product in two separate yogurt preparations and the yeast did not activate the process.I contacted the company via email for a refund and have waited two weeks and no response.I did include pictures and upc information.Disappointing and will not use again.I now have tried calling and had to leave contact information and will update if a response is obtained.",true
"R1RJ3SUVHWAP2E","B00HR5TPUW","","Reviewed in the United States on September 28, 2020","September 28, 2020",1601272800,"Sam Spade",5,"Reliable pruduct","Outstanding yogurt starter. I've used it for years.",true
"R1X1UYIKK4TWF7","B00HR5TPUW","","Reviewed in the United States on September 5, 2020","September 5, 2020",1599285600,"Li",5,"I recommend it","Love this brand. Love how my yogurt tastes.",true
"R1O7YSPCRVJ51F","B00HR5TPUW","","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"AlpineRacer",1,"Dead Cultures","I’ve been making yogurt for many years and I stumbled upon this vs using my normal approach to store bought yogurt. Failure made milkBad batch, dead culturesVery disappointedA waste of time and money on this product and expensive goat milk",true
"RVFL31EB0R175","B00HR5TPUW","","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"Amazon Customer",1,"Beware","I’ve been making yogurt for five years and have always used this starter.Recent order didn’t list maltrodextrine in ingredients but when I received new supply it has this now added.Lost my business!",true
"R23I2F8O3GQLOU","B00HR5TPUW","","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Amazon Customer",1,"Did not work at all","Tried making Yogurt, it did not work at all.Waste of money, I can't return this product also.",true
"RU3PH06KYZHN","B00HR5TPUW","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Kathleen Macke",5,"Best way to make homemade yogurt.","This yogurt starter is so easy to use, and the yogurt it produces is sweet and delicious. No tart sour taste. Love it!",true
"RP87RKM9EKK0V","B00HR5TPUW","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Herb Fredricksen",3,"Disappointed","The flavor of the yogurt made with this culture is good and after a 24 hour ""cook"" at 100 degrees it is nice and thick.My disappointment is that trying to make a second batch using the yogurt I made results in a product that is more like thickened milk than yogurt; pretty watery and unappealing. I wouldn't buy it again.",true
"R8C9J2XM1AA5L","B00HR5TPUW","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Kindle Customer",5,"It works. Very tiny box. Recommend.","This is a yogurt starter. Flavor is irrelevant and is not a quality of the product. Hello.It works. Expect a very tiny box. Has 6 packets in it. Glad Amazon has this back in stock. Highly recommend if you make your own yogurt.",true
"R2A9W3JAUKKND8","B00HR5TPUW","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Batia P.",1,"NO LONGER SCD LEGAL","To anyone purchasing this product following the Specific Carbohydrate Diet, the ingredients of this yogurt starter have changed and it's no longer SCD legal",true
"R1Y6MK639N0WAG","B00HR5TPUW","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"dale by design ",5,"Use in instant pot without preheating","Delicious . I use it w fair life filtered milk in they instant pot. No need to bring to boil if you use the fairlife…. Just into the pot and press yogurt . Delicious and you can make subsequent batches from prepared yogurt.",true
"R22ANE4ZLVSDN6","B00HR5TPUW","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"CMH",5,"A very mild yogurt, set beautifully","This was our first time making homemade yogurt and this item delivered on its mild flavor and relatively thick set. We used raw, grass fed milk and the finished product far exceeded our expectations.",true
"R3HLI4I7H1RDVQ","B00HR5TPUW","","Reviewed in the United States on June 21, 2021","June 21, 2021",1624255200,"SpicyGuy",1,"Beware, they have changed thier formula","For those of you following a specific diet, such as SCD, please note that they have changed the ingredients in this product and it no longer complies with a number of diets/allergies.",true
