"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R185S5OX3F8V6Y","B00JFBHNG4","","Reviewed in the United States on December 8, 2020","December 8, 2020",1607410800,"Lady J.M.",5,"Excellent Product","Thank you Mr. and Mrs. Kefir.One minor comment is that one of the two bottles is impossible to unscrew the cap. Too tight. I tried a minute or two. In the end, I used a screw driver. Luckily the bottle is made of plastic and has a little flexibility.",true
"R23XBMLZ0GEMA2","B00JFBHNG4","","Reviewed in the United States on October 3, 2019","October 3, 2019",1570082400,"K. Gleason",4,"good","i bought 2x...kefir is a bit on vinegary side..grains grow fast...I got dried and fresh grains..they responded to my emails, many times....only problem is how small grains are at first.",false
"R3BJIGB4BBX7IM","B00JFBHNG4","","Reviewed in the United States on July 14, 2017","July 14, 2017",1500012000,"Therese D.",5,"Five Stars","very good product, very reliable vendor!Thanks, Therese",true
"R2SHS9NJEFUBX7","B00JFBHNG4","","Reviewed in the United States on September 6, 2016","September 6, 2016",1473141600," Tnwh",5,"... for its many health benefits these grains make it easy for you to make your own kefir","I drink kefir every day for its many health benefits these grains make it easy for you to make your own kefir.",true
"R2UAATWEUJZ75N","B00JFBHNG4","","Reviewed in the United States on November 25, 2015","November 25, 2015",1448434800,"Amazon Customer",1,"And we are not very pleased with the results","This product is certainly not as described.And we are not very pleased with the results. We have used a similar brand from another retailer and it works great. But this is not very good stuff.",true
"R20HU937M8O7X8","B00JFBHNG4","","Reviewed in the United States on November 23, 2015","November 23, 2015",1448262000,"Mattie Sue Able",1,"One Star","This was much to complicated for me but should not determine others.",true
"R2PSUAKQ2EME10","B00JFBHNG4","","Reviewed in the United States on September 15, 2015","September 15, 2015",1442296800,"Farro Wife",5,"Five Stars","These are real kefir milk grains that grows quickly.",true
"R6KRO8VIAL8L","B00JFBHNG4","","Reviewed in the United States on August 26, 2015","August 26, 2015",1440568800,"Brittny",5,"Good product","Good for only buzz cuts",true
"R1NMNJZBG0W1FT","B00JFBHNG4","","Reviewed in the United States on May 30, 2015","May 30, 2015",1432965600,"Vicky Darnell",5,"Everyone needs to know how great this product is","Everyone needs to know how great this product is,so easy and I have already shared it 3 times with family members.",true
"R1QFXT3HCNJH5H","B00JFBHNG4","","Reviewed in the United States on February 8, 2015","February 8, 2015",1423378800,"Nancy Johnson",5,"Five Stars","excellent",true
