"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R31LKLNPIU14NF","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on June 26, 2020","June 26, 2020",1593151200,"LouReed",1,"Not Gummy at all.More like Jelly or Jam","I appreciate the vegan aspect but these gummies are not like fruit snacks or like gummies.Consistency of jelly.If that's your ""jam"" then you'll enjoy these but I did not.I also have a problem when the seller does not allow me to leave seller feedback for them since I had an issue with the busted packaging and length it took to get to me.",true
"R37KEFRFD2E7NK","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on May 2, 2020","May 2, 2020",1588399200,"S. Johns",3,"Do not trust Delivery","The bunnies had a nice flavor but we're melted together in the bag and very sticky, which surprised me since I ordered them during the winter season, the main issue I had thought was the time it took to receive the item which was well over a month even though when I placed the order the expected delivery was in two days.",true
"R6RVG70AK1ZRA","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on April 12, 2020","April 12, 2020",1586671200,"KarenVC",3,"Sticky & Mushy","It tastes like it has fruit juice in it, but the consistency of the product is not good. I hate that they are stuck together and your hands get sticky every time you pull one out of the bag. The taste reminds of those jellies they put inside a boba tea drink. Great in boba tea, but not so great by itself. I think the aftertaste comes from the organic tapioca syrup and organic color (black carrot and blackcurrant).The good is that it doesn't have high fructose corn syrup and it's 70 calories for each individual bag. It's $6.98 for 12 pouches when you get it through Amazon Fresh. I guess it's okay for a healthy snack. It's still in the pantry, and I bought them when we first started getting deliveries for covid-19 a month ago. Let's just say it's good when I want something sweet that's not a billion calories.",true
"R1TX7B28ZFNKZP","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on April 11, 2020","April 11, 2020",1586584800,"Deanna Morris",5,"my daughter loves these!","my daughter is a fruit snack maniac... so I opted for these since they're organic and made from real fruit. I even snuck some while she wasn't looking... they taste SO good. We love Annie's anyway but these are a hit!",true
"R3IJNN53DZW611","B00JVITMUQ","B071FQH5PT","Reviewed in the United States on February 4, 2020","February 4, 2020",1580799600,"Jaxon W Martinez",1,"Don’t buy this product","Too expensive",true
"R2HKR856JB3O3Y","B00JVITMUQ","B07K74XCXY","Reviewed in the United States on January 29, 2020","January 29, 2020",1580281200,"M.Foss",5,"So delicious","Tastey!",true
"R10FARX12B0S9E","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on December 11, 2019","December 11, 2019",1576047600,"Lissette Carreras",5,"Loved","My husband loved them most of all!",true
"RVSI8GBTH4S43","B00JVITMUQ","B07K74XCXY","Reviewed in the United States on November 14, 2019","November 14, 2019",1573714800,"Bijan",3,"Not the best.","These stick together and get mushy. Not the best.",true
"RD9TB3L51H2A8","B00JVITMUQ","B071FQH5PT","Reviewed in the United States on October 13, 2019","October 13, 2019",1570946400,"J. Bush",4,"No strawberry ingredient but tasty","Good price in bulk, wish they actually contained some sort of strawberry ingredient",true
"R2Y2T5Z9GSS8RT","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on May 20, 2019","May 20, 2019",1558332000,"Brenna Stahl",5,"Very yummy!","Very unique texture but I loved it!",true
"RBRFBN83EZDOI","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Willow Daybreak",5,"We love them","I like them & my grandchildren love them. My granddaughter took them out of the shopping bag & gave them a hug! She was done helping",true
"R3LB89TV1C77Q4","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Lana T.",5,"tasty","My child loves these",true
"R1N7JNS3M2TOCN","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"R Johnson",1,"Sugary.","Sticky. Overly sweet. Nasty to eat. I wouldn't buy again.",true
"RDDQFXQ8S6HHT","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"Bchan",4,"Good tasting but always sticky!","My son absolutely loves these! The only down side to these is they are always sticky!",true
"R2R5DBEE6U1J19","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"Amazon Customer",5,"Flavor and freshness","Excellent flavor..,,kids loved them",true
"R3TB48K7WU0287","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on February 26, 2021","February 26, 2021",1614322800,"Spring Super",3,"Delicious but too sticky","Lately they are very sticky, stuck together and get the kids fingers covered in stickiness. They taste great but they need to fix the melted/sticky texture.",true
"R3LNEKZW914SD5","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Ivette ",5,"Love the flavor","Love the flavor",true
"R1K8BT2TJCHL7T","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on November 8, 2020","November 8, 2020",1604818800,"Amazon Customer",5,"Annie's Homegrown Organic Bunny Fruit Snacks, Variety Pack, 12 Pouches, 9.6 oz Box","test great",false
"R2Y43NAUC7OEF3","B00JVITMUQ","B00JVITMUQ","Reviewed in the United States on September 22, 2020","September 22, 2020",1600754400,"Jessica Hembrook",5,"A must buy","Thank god for these gummys! My son is allergic to apples and this is the only gummies/ fruit snacks that I have found that dont have apples in them.",false
"ROO2PTHI99PL","B00JVITMUQ","B071FQH5PT","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"Stephanie S.",5,"Healthy and tasty!","Delicious, healthy, and don’t stick to teeth like other brands. My kids prefer the taste and I prefer the nutritional value!",true
