"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2DEVVKGBBHWVO","B00K1XKUO2","","Reviewed in the United States on February 4, 2020","February 4, 2020",1580799600,"Leighann",5,"My new favorite yogurt!","New favorite yogurt! High in protein! Great texture and not too bitter tasting.",true
"RGTOO6EK3TYNW","B00K1XKUO2","","Reviewed in the United States on November 20, 2019","November 20, 2019",1574233200,"booksnyarn",5,"Smooth yogurt with just right thickness and tartness","This is my favorite low-fat yogurt!It is not too thick or too thin, and smooth with the right amount of tartness.I used to love whole milk yogurt but am trying to cut down on the fat.Tried lots of different Greek yogurts and some were too thick and hard to stir in fruits and nuts.Others were too tart or watery.Perfect!",false
"R1ST0XOR7BU03X","B00K1XKUO2","","Reviewed in the United States on November 6, 2019","November 6, 2019",1573023600,"Amazon Customer",5,"Love it!","The best yogurt!",true
"R37KMT3IJOMGND","B00K1XKUO2","","Reviewed in the United States on September 14, 2019","September 14, 2019",1568440800,"Charlie",1,"Oh darling, you've changed ....","This used to be the best. Past few months now it's been thin. Like on the verge of runny. I'm not sure if the ingredients changed or the process changed but.... either way I'm out. So now I'm searching for a good low fat plain yogurt for breakfast - def appreciate any suggestions ;-) Meanwhile back to low-fat cottage cheese until a suitable replacement can be found.",true
"RGDXJ22BFS6NB","B00K1XKUO2","","Reviewed in the United States on March 6, 2019","March 6, 2019",1551855600,"mushroombaby",5,"Not that tart compared to other non-fat greek yogurt","I eat greek yogurt everyday and have tried numerious brands of greek yogurt. I prefer low in fat content but cannot eat something very tart. This one is not that tart compared to most non-fat greek yogurt. Actually, it tastes more like low-fat. But it is even more creamy than low fat greek yogurt of other brands. Love it!",false
"R59K566KXTGNL","B00K1XKUO2","","Reviewed in the United States on May 28, 2018","May 28, 2018",1527487200,"JT",5,"Delicious!","Super tasty, high quality and great to cook with. Add organic honey or fresh fruits to really make a gourmet treat.",true
"R33I0LMF30H8LL","B00K1XKUO2","","Reviewed in the United States on April 30, 2018","April 30, 2018",1525068000,"J. Kahn",5,"deliciousnot too tart very smooth","One of the best plain yogurts I have ever tasted! rich smooth to me better than ice cream!!",true
"REYI2TZL8127D","B00K1XKUO2","","Reviewed in the United States on March 15, 2018","March 15, 2018",1521093600,"L G",5,"Five Stars","Smooth silky, yummy organic-ness.",true
"R306488LMVZO68","B00K1XKUO2","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Pam ",3,"Just not the best","Too thin and watery Flavorless , fresh, with unsatisfying mouth-feel",true
"R2UHIY0E0GLV6M","B00K1XKUO2","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"masterfufu",5,"Consistent breakfast staple for the past 4 years","On the more expensive side, but still great value for the money. Simple ingredient list gives me peace of mind, and as a fitness enthusiast, this yogurt has the best sugar-protein ratio on the market while still being delicious. Aside from being a breakfast staple, it’s also a great ingredient for many of my baking projects. I honestly wouldn’t know what I’d substitute this with, so please keep making this product!",true
"R1D19ZQYBBGSZM","B00K1XKUO2","","Reviewed in the United States on February 8, 2021","February 8, 2021",1612767600,"professional buyer",5,"Silly smooth","Very creamy and great flavor! Works as a substitute for sour cream and also great for smoothies",true
"R1JDFEZLUSJT95","B00K1XKUO2","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Charna B.",5,"delicious","love this and the full fat even more",true
"R2UZ8L33CD5UNR","B00K1XKUO2","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"Alex",5,"Great yogurt","Great flavor and thickness",true
"R2R6220D3U4A78","B00K1XKUO2","","Reviewed in the United States on November 13, 2020","November 13, 2020",1605250800,"MK",2,"Not as good as Fage","Fage has a better texture and is thicker. Similar taste, but this is a little tangier.",true
"R36W6SH1EQFJE1","B00K1XKUO2","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"Goldyrocks",5,"My favorite","Exactly the right blend of thickness and smoothness",true
"ROFUWPTBMKHUI","B00K1XKUO2","","Reviewed in the United States on September 2, 2020","September 2, 2020",1599026400,"Joseph",5,"Excellent, but not available","Excellent taste and flavor. Many times out of stock.",true
"R18881KODGMXSE","B00K1XKUO2","","Reviewed in the United States on July 30, 2020","July 30, 2020",1596088800,"Amazon Customer",5,"Great taste, great nutrition!","It's just perfect with fresh berries for breakfast!You don't need anything else!",true
"R2DK3RCGTCQPBI","B00K1XKUO2","","Reviewed in the United States on May 12, 2020","May 12, 2020",1589263200,"AmazonCustomer",5,"Delicious Low-Fat Organic Yogurt","This yogurt is really delicious. We often have it for dessert with a spoonful of organic fruit jam (such as strawberry or blueberry).",true
