"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3GNTYGY7YTHRU","B00K1XKUYM","","Reviewed in the United States on January 27, 2021","January 27, 2021",1611730800,"DCC",5,"BEST Greek Yogurt and Healthiest too","This is the best yogurt for flavor and consistency.The Greek yogurt has just the right thickness and isn't all runny and loose.Very tasty product.",true
"R3RE0YRUMFNER9","B00K1XKUYM","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"LK",5,"Premium yogurt","The best Greek yogurt on the market IMO.Not too tangy, super thick, no weird gums or thickeners, creamy AF.Everything one can ask for in a Greek yogurt.",true
"RMJ6BQPSCT3E7","B00K1XKUYM","","Reviewed in the United States on November 20, 2020","November 20, 2020",1605855600,"ADisch",3,"Good but pricey","Expensive",true
"R1B3SIL85U545W","B00K1XKUYM","","Reviewed in the United States on November 19, 2020","November 19, 2020",1605769200,"PeterB37",5,"Great Greek Yogurt","The Wallaby Aussie Brand plain Greek yogurt is probably our favorite among all the plain yogurts. We don't particularly care for the Wallaby pre-mixed yogurts, but rather prefer adding our own fruit, sweeteners and nuts.",true
"R1CISFS0AW0ZPA","B00K1XKUYM","","Reviewed in the United States on November 18, 2020","November 18, 2020",1605682800,"Eric",3,"Wish it was thicker","Consistency is closer to regular yogurt rather than Greek yogurt. Should be thicker.",true
"R2JQQMUT5LK15R","B00K1XKUYM","","Reviewed in the United States on October 7, 2020","October 7, 2020",1602050400,"SharonFouke",5,"So very yummy","It is so good mixed with cherry jam/jelly.",true
"R34VZ8K3DI4322","B00K1XKUYM","","Reviewed in the United States on October 7, 2020","October 7, 2020",1602050400,"mira payung",5,"The absolute best greek yogurt ive ever had.","This yogurt is amazing. Its expensive but i think worth it. Its so creamy, i dont even mind eating the plain yogurt by itself!",true
"R14K79RF4MY8RQ","B00K1XKUYM","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"Harmonywaters.kn",5,"Perfect","the best",true
"R2MLZIKIEHXIZI","B00K1XKUYM","","Reviewed in the United States on August 13, 2020","August 13, 2020",1597298400,"Jack",5,"Best Greek yogurt !","Yum",true
"R1XRI3QW6WT7YA","B00K1XKUYM","","Reviewed in the United States on July 29, 2020","July 29, 2020",1596002400,"L",5,"Delicious.","Best yogurt. Our baby loves it. Great ingredients and it’s so yummy you can use in place of sour cream.",true
"R37DN7E5635QSI","B00K1XKUYM","","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"Richard Cephal",5,"Love it","Thick and creamy.The only thing I wish is that it was FULL FAT but it is only WHOLE MILK.Still, it's delicious and no added sugars or any other ingredients unnatural or otherwise.Try it with sea salt and some real fresh cinnamon.Oh yes!I also use it to make fudge.And yes, you can eat it plain and it's just as creamy and good.I buy this often at market.",false
"RW76GTK0L05A4","B00K1XKUYM","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Justina",3,"Eh","It was ok",true
"R3TORA9GCAM2M0","B00K1XKUYM","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Ayman Al Jabri",5,"Great taste and texture! Our 17months old baby LOVES it!!","A bit expensive, but worth it",true
"R3N0R4229S83PG","B00K1XKUYM","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"leebosay",5,"Smooth as Silk","Thick, creamy, smooth. Relatively low FODMAP. Only negative is it's costly.",true
"R36RN0E781R9S6","B00K1XKUYM","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"justanothashmo",4,"👍","👍",true
"R2U3RW1VH2P1V3","B00K1XKUYM","","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"SamitaPalG",5,"Amazing texture and great for the gut","The first ever yogurt that doesn’t have the sticky gooey texture. I had tried multiple organic brand yogurts but now we are sold on this. Started using this as a culture and make our own yogurt as well at times and it comes out perfect. Excellent taste and texture. Way to go",true
"RJF3810J2JN4G","B00K1XKUYM","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Dozo",5,"Awesome Greek Yogurt","They've made it hard to find, sometimes, by changing the name from Wallaby to Aussie Greek and then back to Wallaby, plus often stores only carry the lowfat or nonfat versions, or the Vanilla one, but this is by far the best yogurt, thick and rich with a touch of sweetness.If I'm looking for very tart, I go with Fage but for a tasty treat, I love this, and to get very decadent drizzled with a tiny bit of maple syrup or local honey, it's amazing.Their sour cream is also lovely, but very hard to find.",false
"R3BZ7PT0ZRHUPW","B00K1XKUYM","","Reviewed in the United States on March 8, 2021","March 8, 2021",1615186800,"Gabrielle Dennis",5,"Best greek yogurt ever!","Best greek yogurt ever! Delicous, thick, rich and smooth.",true
"R3E4B8LRBXCPKJ","B00K1XKUYM","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"maria",5,"Versatile","Love this very versatile I did not have sour cream and just added salt and wala I had sour cream or if I want a parfaitadd honey fruits and you got it don't have baking powderboom add it and your goodjust love ingredients you can use like this definitelyrecommend",true
"R2M7C64MTKQZF4","B00K1XKUYM","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"Minerva",2,"I prefer Greek yogurt","Watery and not flavorful",true
