"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R8RXLVQY5KIB2","B00KOBJAZQ","B00KOBJAZQ","Reviewed in the United States on August 19, 2015","August 19, 2015",1439964000,"Dean J. Scofield",4,"Four Stars","excellent texture taste..expiration time short...",true
"R1CT7YKCRVF8U2","B00KOBJAZQ","B00KOBJAZQ","Reviewed in the United States on May 7, 2015","May 7, 2015",1430978400,"Danielle",5,"Wonderful, Natural Tasting Yogurt","Noosa is truly a new competitor in the yogurt market. I have never had a yogurt taste so creamy and delicious, and the peach flavor is one of my favorites for sure. This yogurt tastes super natural, none of the artificial ""health"" that a lot of the yogurt companies are trying out right now. It's about 300 calories per cup, and is about twice the size of the standard greek cup at the grocery store (I split mine into two small servings). Excellent with granola, my other favorites are lemon and mango.",false
"R1VYMQUHMJZGON","B00KOBJAZQ","B00KOBJ4CU","Reviewed in the United States on May 7, 2015","May 7, 2015",1430978400,"Danielle",5,"Wonderful, Natural Tasting Yogurt","Noosa is truly a new competitor in the yogurt market. I have never had a yogurt taste so creamy and delicious, and the mango flavor is one of my favorites for sure. This yogurt tastes super natural, none of the artificial ""health"" that a lot of the yogurt companies are trying out right now. It's about 300 calories per cup, and is about twice the size of the standard Greek cup at the grocery store (I split mine into two small servings). Excellent with granola, my other favorites are lemon and peach.",false
"R1E1MCOBOOZ0VA","B00KOBJAZQ","B07DNHKHJT","Reviewed in the United States on July 7, 2021","July 7, 2021",1625637600,"mp",1,"Overpriced, mediocre, horrible packaging","Noosa packaging engineers have designed a unique yogurt container that which maximizes the amount of plastic waste produced per unit ounce. Nice work, you environmental monsters. The contained yoghurt is thoroughly mediocre. At least in my area we have much better yogurts for lower prices. Not that any sane person would by yogurt on Amazon.",false
"R2KVSK83P1FJW4","B00KOBJAZQ","B07DNHM7Y8","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Cassie Gordon",5,"Love this yogurt fast shopping arrived cold would buy again and again","Ok ok ok I ordered yogurt of Amazon I thought that was the craziest thing yes it’s a little pricey but the noosa yogurt is expensive anyways and I can’t find this kind in my local stores anymore so took a chance and ordered it off Amazon and let me tell u the seller did an amazing job shipped fast and was a styrofoam cooler filled with ice packs and everything was cold when I opened it was very pleasantly suprised and excited I can now order it off here ( even tho they r currently out of stock which really sucks bc I want to place another order ASAP lol) if your on the fence do it",true
"R978V4FIW8VS3","B00KOBJAZQ","B07DNHM7Y8","Reviewed in the United States on December 6, 2020","December 6, 2020",1607238000,"Kevin Wade",1,"Way overpriced","This pack of 12 should be about $24 plus a bit added in prime to cover shipping.$75?What's up with that?",false
"R3D41MG4N8M65X","B00KOBJAZQ","B07DNHZN2R","Reviewed in the United States on September 21, 2020","September 21, 2020",1600668000,"M",5,"Noosa don’t seem to listen to customers","Great flavor and Noosa decided to stop making it?Seems like they don’t really listen to what customers want.",false
"R3A46TO6BJ2Z7W","B00KOBJAZQ","B07DNG4GTK","Reviewed in the United States on May 3, 2020","May 3, 2020",1588485600,"lsreeger",3,"Not filled as full as the one's bought in grocery stores.","I love this yogurt and have eaten the vanilla for years now -- been buying it at the grocery.Figured this would be the same which the product is; BUT, the containers are NOT filled as full as the ones I've bought from my local stores.I would weight the ones from the grocery and compare them with these but don't have any since I bought this box.I'll bet there a difference when I do -- will up-date when I compare them.05/08/2020 updatePromised I'd compare to 2 ""what I thought"" were the same product.They are SLIGHTLY DIFFERENT.I thought I was sharp when reading these descriptions -- I found this morning I'm not.I went to weigh the 2 products and just noticed the one on-line is only 4oz in the container. (which it does say-making the contents slightly less than the 4oz stated) and the one bought in my store is 4-1/2oz on the package but actually came in at 4-3/4oz without the lid so I have to assume it has slightly more than stated in the container.",true
"R3VVF0BO2Y6OYP","B00KOBJAZQ","B07DNHKHJT","Reviewed in the United States on November 11, 2019","November 11, 2019",1573455600,"Felisha Trevino",5,"Great Product and Delivery Service, Down to the Last Detail","Y'all, down to the delivery, this product is awesome. The taste is amazing (my favorite flavor from Noosa). The Amazon delivery was great - cool packs to keep the product chilled, and the delivery man was on-point! Super satisfied with this purchase!",true
"RL8VMKF2JN827","B00KOBJAZQ","B07DNG4GTK","Reviewed in the United States on July 31, 2019","July 31, 2019",1564552800,"katiekat",5,"Delicious","This yoghurt has to be the best I've ever eaten. When the vanilla bean supply is done, going to order the cherry vanilla.",true
"R3MA85BJU6I9HZ","B00KOBJAZQ","B07DNHKHJT","Reviewed in the United States on May 13, 2019","May 13, 2019",1557727200,"shopsandcoupons",5,"The ice cream of all yogurts!","omg for god sake please please please, never ever change anything in your suppliers, production, or manufacturing! noosa is the only yogurt I've ever enjoyed since I moved to US over a decade ago. I grew up in Europe and all the skim milk, gelatin diluted cr*p that's called yogurt in here is plain morbid. Way to go noosa, you're the best! Please never change anything!!!",false
