"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2JAE4FE3YJW2P","B00LMAXCOI","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Olga",5,"Delicious!!!","Natural taste.",true
"R15MUS9TJJ24P4","B00LMAXCOI","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Kaja",4,"Amazing yogurt but odd packaging recently","I don't know what happened to Whole Foods but recently when I order yogurts from them they come with a clear plastic lead and a plain aluminum cover instead of usual brand covers. It's weird and makes me uncomfortable so I don't eat these yogurts. It happened with Wallaby Vanilla Bean Yogurt as well as several Siggi's yogurts.Whole foods - what's going on?",true
"R6ONECINBK6F9","B00LMAXCOI","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Brian Edward Frey & Family",5,"G'day!","Nice and thick. Delicious and Nutritious.",true
"R318NSW15FDV6B","B00LMAXCOI","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Habiba",5,"Very Delicious","Great taste and consistency. Pair with granola",true
"RNLA3RV62A4JJ","B00LMAXCOI","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Savage Review Queen",5,"If you like the yogurt parfait from Chick-fil-A…","This is Chick-fil-As yogurt that they sale… I love it that much that I had to find out who their source was…worth it!!!",true
"R32LTHDRZQHKTM","B00LMAXCOI","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"mr. will",5,"Sinfully delicious","It's worth the price for the value and organic at that",true
"R1LGDNOW8EPCLB","B00LMAXCOI","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"Asma S.",5,"DELISH!","I used this yogurt for fruit parfaits and I was blown away by the taste! I added blueberries and raspberries and sprinkled a tad of brown sugar on top, but the yogurt was amazingly tasty on its own. The best yogurt I’ve tasted, hands down!",true
"R1A105SKYP46XI","B00LMAXCOI","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Amazon Customer",5,"Chick-fil-A yogurt!! The best","Chick fila yogurt!! The best!",true
"R1M02MPXUQM7D8","B00LMAXCOI","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Vanina",5,"Best tasting vanilla-flavored yogurt... highly recommended","Love the texture (not grainy like some Greek-style) and taste (just right, not too sweet and not too tart) of this yogurt. It is, perhaps, the most perfect yogurt I've had other than my homemade yogurt.",true
"RQT8NTNTIGFR4","B00LMAXCOI","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Elizabeth O",5,"Chick-fil-a yogurt","This is the yogurt chick-fil-a uses. Vanilla bean flavor is the best free yogurt.",true
"R13NAZL3OBSFQ6","B00LMAXCOI","","Reviewed in the United States on May 12, 2021","May 12, 2021",1620799200,"Cindy Stam",5,"Yummy yogurt","So good so smooth so yummy could eat entire big container in one sitting.",true
"R2NZF0PXQXE8Y9","B00LMAXCOI","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"grasshopper",5,"SUPERIOR, BEST DAIRY YOGURT EVER!","Had never liked Greek yogurt in the past but gave this a try. They have perfected an amazingly delicious recipe, very filling with a few bites, dense, thick, flavorful. You won't be disappointed : )",true
"RK3BDZWBIIWEH","B00LMAXCOI","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Gladys Wells",5,"Soooo Good😊","THIS IS THE BEST YOGURT I HAVE EVER TASTED - PERIOD‼️‼️‼️‼️‼️💯",true
"R2ROC91ZPMFW2Z","B00LMAXCOI","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"ImNotHere",5,"Best vanilla yogurt","This yogurt is so yummy that it makes it hard to eat other yogurts. It is creamy and very satisfying.",true
"R1C01TH8B4CVHS","B00LMAXCOI","","Reviewed in the United States on January 31, 2021","January 31, 2021",1612076400,"Julia A.",5,"Delicious","This is the best yogurt I’ve ever tasted!",true
"R2MLPDN4HNVC0U","B00LMAXCOI","","Reviewed in the United States on January 28, 2021","January 28, 2021",1611817200,"Debbie Mayeux",5,"This is the only yogurt you need!!!","This is the best yogurt I’ve ever had. I use Chobani when I make smoothies, but save this to eat with a bit of fruit or just by itself. Honestly, I’d rather have this on hand instead of ice cream. (My dogs love it, too!!!) If you’re looking for the best Greek yogurt out there, this is it. And it’s worth every penny!!!!!",false
"R3I6X39B1D8JTN","B00LMAXCOI","","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"s+z",3,"Way too sweet","Good thickness but waaaaay too sweet. Will not buy again. Much prefer Strauss vanilla Greek yogurt.",false
"RB059K1G91NZQ","B00LMAXCOI","","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"Amazon Customer",5,"Really good!","Best yogurt I’ve eaten! My daughter loves it too, she is really picky.",true
"R30XL9VM9TYNCP","B00LMAXCOI","","Reviewed in the United States on December 26, 2020","December 26, 2020",1608966000,"Emily Cannon",5,"I didn’t know yogurt could be this delicious","Im not one to leave reviews often, especially for yogurt but this is by far THE BEST yogurt I’ve ever had. the texture is perfect. It’s rich and creamy. Not too sweet. It’s naturally thick without the slimy, artificial thickener mouth feel. Delicious! It has ruined all other yogurts for me.",true
"R8YRUM15BEN9S","B00LMAXCOI","","Reviewed in the United States on December 3, 2020","December 3, 2020",1606978800,"Tara",5,"Can’t get enough","This is the best yogurt by far, it’s great all by itself or with granola and it’s awesome to blend in your smoothie.",false
