"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3KD9GDS7F8G0V","B00LMC47EA","","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"jayne",4,"Not Palisade Peaches as advertised","I love Noosa honey yogurt, not too sweet! But I have to say I also love the Palisade Peach yogurt and look forward to it in Fall. Not this batch although advertised.",true
"R2D72C4Q5BWJS2","B00LMC47EA","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"scopin4u2",5,"It tasted good","I had this, this morning. It was pretty good. The fruit pieces were fairly chunky. And it was just sweet enough. I always buy noosa brand yogurt. It’s the best! Highly recommend!",true
"R3FW6EFRNZDBW1","B00LMC47EA","","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"Nyarlathotep",5,"IT'S SO GOOOD","I got some of this at a food shelf. It's so great! I thought Yoplait was good but this is better! Omnomnomnomnom!",false
"R211AYQ7WHP07F","B00LMC47EA","","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"RobinJay",5,"Great Yogurt","I love all flavors of Noosa yogurt.It's my favorite brand.It comes from Colorado.When I lived in Colorado, I was able to get many flavors.Sadly, since I moved away, the local stores only carry a few flavors.My favorites are the peach and lemon.",true
"R288P6LNUSCA6Z","B00LMC47EA","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Customer",5,"delicious and creamy yogurt!","My favorite yogurt so far. It was not as thick as I had expected, but the taste was super creamy and had a good peach flavor. Will definitely buy again.",false
"R26ZECOXSI3UYS","B00LMC47EA","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Chloman",5,"Special occasion purchase","I'll continue to buy this but only on special occasions due to price and sodium content.",true
"R3UG2LPNOWVRV6","B00LMC47EA","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"tamara moore",5,"Yummy Yogurt!","Great tasting! My family loves this yogurt! Chunks of peaches are really good! Very smooth tasting yogurt!",true
"R2166TEN5LU10S","B00LMC47EA","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"kmce",5,"Best yoghurt around!","This i really yummy! I love peach, and I eat full fat, full sugar yoghurt, so this is perfect!!! I like the tart cherry flavour, too.",true
"R3M3MWB66VYZRV","B00LMC47EA","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Kindle Customer-",5,"🙂","Creamy delight.",true
"R1CK2H9LWEF7FV","B00LMC47EA","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"Ant M",1,"way too sweet!","I guess it should be no surprise that most Americans love sugar, but I would rather have a pint of ice cream or a candy bar than eat this.Yogurt is not a health food when you add half a bag of sugar per serving.",true
"R382ASPPR9FZJD","B00LMC47EA","","Reviewed in the United States on March 26, 2021","March 26, 2021",1616738400,"Lorie L.",5,"Love Noosa","Love all these noosa products",true
"R39IRA8X5JOVO4","B00LMC47EA","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"Amazon Customer",5,"Yummy!","This is hands down my favorite yogurt brand and peach is one of my favorite flavors. It's not too sweet; it's nice and thick; it provides me with just enough energy for the morning (I always add a little bit of granola into it) and it tastes absolutely delicious. Love it!",true
"R3OUSMZ1YPUR5T","B00LMC47EA","","Reviewed in the United States on February 26, 2021","February 26, 2021",1614322800,"Sara",3,"Delivered broken","Flavor was good. But I was bummed that it was broken when They deliver it from whole foods.",false
"R1V62IZ3GB6KLY","B00LMC47EA","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Benjminvazquez",2,"Keep eyes on the expire day","Was expire",true
"R3AVRV7CT40KST","B00LMC47EA","","Reviewed in the United States on February 16, 2021","February 16, 2021",1613458800,"Kimberly",5,"Yummy","Delicious",true
"R1USBIIWFUG3HT","B00LMC47EA","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Amazon Customer",5,"Love Noosa yogurt","Love the flavor of noosa yogurt, minimal chemicals, simple ingredients. Love the strawberry rhubarb flavor!",true
"R34BHRNIG14MN2","B00LMC47EA","","Reviewed in the United States on January 18, 2021","January 18, 2021",1610953200,"JavaBarista",3,"Delicious, but 33g of sugar!","This is by far the best tasting yogurt I've had. The other day I looked at the label and discovered why...33g of sugar per tub for this flavor (including 20g added sugar). Yikes! I still love it, but now I treat it as a dessert instead of a breakfast food.",false
"R23T9TCQCCTXKB","B00LMC47EA","","Reviewed in the United States on August 22, 2020","August 22, 2020",1598076000,"Amazon Customer",5,"yummy yummy","I love this yogurt too bad they don't come in a pack. I could buy 6 of these at a time.",true
"R2NYY83LSL6MSH","B00LMC47EA","","Reviewed in the United States on May 29, 2020","May 29, 2020",1590732000,"Cheri Doucette",5,"good yogurt","would buy again",true
"R13BZ2IODSBQXU","B00LMC47EA","","Reviewed in the United States on April 24, 2020","April 24, 2020",1587708000,"Chiquita Anderson",4,"Not a rich greek taste","This yogurt is good but I prefer chobani which I feel it has a richer taste. It made due since I couldn't get what I wanted.",true
