"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2UX0LFOYM2H12","B00LMC4DOY","","Reviewed in the United States on March 21, 2020","March 21, 2020",1584770400,"Kent Henriksen",5,"Yum","Love this yogurt.Can be tough to find.",true
"R18SX4T25P88RZ","B00LMC4DOY","","Reviewed in the United States on February 13, 2020","February 13, 2020",1581577200,"Donald P Morris",5,"The BEST!","This is the best yogurt ever! Since I becamesensitive to cow milk this sheep milk yogurt is a blessing, allowing me to enjoy yogurt again.",true
"R1AL6P6GFTTYJ5","B00LMC4DOY","","Reviewed in the United States on February 11, 2020","February 11, 2020",1581404400,"Hala S. Arafa",5,"The Best Old Fashioned Creamy Yogurt","If you've ever lived on a farm & had fresh yogurt made in terra cotta bowls, this yogurt will remind you of that creamy, wholesome, fresh taste. Since I discovered this brand, I haven't been able to eat any other yogurt.",true
"R1CQ3I3J0IQQNQ","B00LMC4DOY","","Reviewed in the United States on February 5, 2020","February 5, 2020",1580886000,"J P Crouse",5,"Great yogurt!","For those of us who can’t have cow yogurt, this is a great alternative.",true
"R2B67776LHSKTH","B00LMC4DOY","","Reviewed in the United States on January 31, 2020","January 31, 2020",1580454000,"Jay Emm Gee",5,"Perfect for non kosher lifestyle. No kosher tax stamp","Creamy, nutritious, pure & non kosher! No K or OU.",true
"R3CP2E04Y4IGJ9","B00LMC4DOY","","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Mpp",3,"Very tangy (sour)","I wasn't prepared for the strength of the tanginess of this yogurt. I think it might be good for some recipes, but for what I was making, it was overwhelming.",true
"R16IE55TVFU9AX","B00LMC4DOY","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Lucy S.",5,"Pricy, but good","Pricy, but good",true
"RII82UXLUB0EG","B00LMC4DOY","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Gwenevere",5,"My favorite!","This is my favorite brand of yogurt. I'm sad that I rarely find it anywhere and I haven't seen the ginger since 2020. I hope this brand grows.",true
"R3P07N6J3RT94","B00LMC4DOY","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Brian Davis",4,"Very versatile","Perfect for smoothies and marinate",true
"R3BSQ48FZ1YPGV","B00LMC4DOY","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"Mimi J",4,"Thick and creamy.","I’d rate this 5 stars except flavor is no longer as sweet as it used to be.Tastes like too much rennet.It’s pricey but worth it to me since I cannot digest cow products and this is much thicker and creamier than goat yogurt.",true
"R1GR196ZNKQAB5","B00LMC4DOY","","Reviewed in the United States on April 6, 2021","April 6, 2021",1617688800,"Lola SH",5,"Sheep Milk is a wonderful natural superfood","Doesn't taste gamey, or petting-zoo-like. Tastes creamy, not sweet. Add honey and you've got yourself a treat, feels like you're eating icecream. The best of all? It's full of nutrients and easy on your stomach.",true
"R1XJLKG31CDIRE","B00LMC4DOY","","Reviewed in the United States on February 27, 2021","February 27, 2021",1614409200,"JJ",5,"Great yogurt","Love this yogurt. I'm lactose intolerant and this one causes no problems or discomfort.",true
"RSOUWPFAH54TA","B00LMC4DOY","","Reviewed in the United States on January 19, 2021","January 19, 2021",1611039600,"Vanessa East",5,"Scrumptious","I love sheep milk products. They have a far superior flavor to cow milk products, in my opinion. Creamier and more delicate. I have problems with cow milk products that are more liquid than a soft spreadable cheese. This has never been the case with sheep milk. This particular yogurt was delicious and I will purchase again in the future.",true
"R22UUCSMJMQNYA","B00LMC4DOY","","Reviewed in the United States on December 19, 2020","December 19, 2020",1608361200,"E Morris",5,"Will buy again","Great tasting yogurt with a tang but no bitterness.",true
"R3BGPR0R6DNR27","B00LMC4DOY","","Reviewed in the United States on October 24, 2020","October 24, 2020",1603519200,"e1494",5,"Not the same yogurt","It seems they have changed the recipe and it does not have the same taste anymore",true
