"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1W4DJT3SYI453","B00LMC4XVW","","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"ShoeGameProper",5,"EXCELLENT Yogurt","I've tried Chobani, Stoneyfield, Fage, Nancy's.This one is my favoriteTEXTURE-smooth, creamy mouth feel.Not watery or coarseFLAVOR-It's not sweet, but it's also not tart.I'd say it's a light savory creamy dairy tasteSHELF LIFE-excellentI use it when cooking as a substitute for heavy cream, sour cream, etcI love that it's fat free and only 100 calories per generous servingNO ingredients that don't naturally constitute yogurt (it's milk and cultures.that's it)Yes it costs a little more but ifyogurt is an important part of your diet and you love it then it will satisfy you 100%",true
"R3OY0B0JXMVW81","B00LMC4XVW","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"FH",5,"Protein & fat!","I buy it solely for it’s protein and high milk fat content. It’s a staple in my home.",true
"R25QM4UPFMGTUG","B00LMC4XVW","","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"Colleen Li",5,"My Husband’s Favorite!","My husband’s favorite! He’s tried them all and this is by far the winner.We always have a tub in our fridge!",true
"RDP4WTVGF5MA6","B00LMC4XVW","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"veronica",5,"So creamy! Is this what yogurt should taste like?","I prefer fruity yogurt and use plain yogurt only cooking/baking recipes. But this yogurt is so creamy and flavorful, it’s just as enjoyable as fruity yogurt.",true
"RZQE0EXMTRT6P","B00LMC4XVW","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"fandifandi",5,"Mildest flavor","This is probably the mildest tasting non-fat, sugar-free yogurt. Get it if that’s what you like. I find the Chobani one a a little gamy. It also has slightly higher protein content than Chobani.",true
"R3GD2EFQJ72XUS","B00LMC4XVW","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"Jenya",5,"Very enjoyable","Quite tasty and enjoyable Icelandic yogurt. It’s packed with probiotics and is great for kids and adults. It has very low sugar compared to other yogurts on the market.",true
"R1SVVFRD0CZ8DF","B00LMC4XVW","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Debbworld",5,"The Best Yoghurt","This is my favorite yoghurt. Lots of flavor and great mouth feel.I usually eat the plain but sometimes treat myself with the vanilla. A very superior product",true
"R3LRGP458A6OIH","B00LMC4XVW","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Mark Sciumeca",5,"tastes great","a dessert treat,without the enormous calories.",true
"R1XW1PWQH14LJO","B00LMC4XVW","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Sonja Birdsong",5,"Siggis","A really great tasting yogurt!",true
"R37Y8WZZUS5X1I","B00LMC4XVW","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"Benology ",3,"the title suggests multiple items, it should be 24oz not 24count","misleading product title",true
"R17PY585KH0P5","B00LMC4XVW","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Mia",5,"I like it","I like it",true
"R11SX4V5KIX44O","B00LMC4XVW","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"Amazon Customer",5,"Versatile yogurt that I LOVE","I love this better than Greek Yogurt. It'sthick which makes its a great replacement for sour cream on nachos. And less sour tasting...which makes it taste better to me in my smoothies and cold oats. I always keep a tub of this in my house. I even use it as my base (instead of mayo) for tuna and chicken salads.",true
"R1A6SM23CWH2F2","B00LMC4XVW","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Khurram JAved",5,"Quality and Delicious.","Best yogurt! Excellent quality, no sugar added",true
"RE0W9GQJBXGW7","B00LMC4XVW","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"Su su",5,"Quality","I love Ziggis yogurt because it’s low in sugar, high protein and it’s thick",true
"R2TV9NAEAZ22Y0","B00LMC4XVW","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"Chelsy",5,"Great source of protein!","A really good thick yogurt with 19g of protein per serving. It tastes pretty tart though, I usually add some maple or agave syrup and some berries to add some sweetness to it.",true
"R3B0PHBD4N7LNM","B00LMC4XVW","","Reviewed in the United States on February 5, 2021","February 5, 2021",1612508400,"Kaitlyn McCain",5,"the yogurt is good","the yogurt is delicious and filling",true
"R3HBTM8YAZYHG6","B00LMC4XVW","","Reviewed in the United States on October 22, 2020","October 22, 2020",1603346400,"Pam ",5,"flavor, quality of care taken to ensure product safety and superiority","I don't dislike anything about Siggi's yoghurt.It is tart, thick, bodied flavor, and loaded with active goodbacteria strains",true
"R2H7ZTA5YUCVV5","B00LMC4XVW","","Reviewed in the United States on September 19, 2020","September 19, 2020",1600495200,"Lauren",4,"I've had better","This is good yogurt and I tried it because of the price and protein composition. But, I prefer a few other brands including Face, Dannon and Wallaby.It has a slight bitterness that I don't like.",true
"RL4TGDBZQJ9PD","B00LMC4XVW","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"Hand of Galadriel",4,"Not tart/Very Creamy","Never tried Icelandic yogurt.Not my kind of yogurt to eat on its own.Not tart at all.Maybe some like it.I don’t waste food so I used it to add creaminess to other recipes.I made it work!",true
"R3SKOGQ3CJXV9D","B00LMC4XVW","","Reviewed in the United States on July 6, 2020","July 6, 2020",1594015200,"Family Ma",1,"Taste so bad","Can’t finish it. Taste like paint",true
