"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3QEXCYUKNWGI","B00M7GYGDC","B07L48VBCT","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"samuel",3,"Melted in transit","Banana bites arrived as a large, flat banana soaked in chocolate.We had to freeze it before cutting into it with a chef knife.Good flavor, not so good execution",true
"R3J1H06FAYFXU6","B00M7GYGDC","B00M7GYFO2","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Mary swanger",1,"Nasty tasting","This definitely did not meet expectations for my autistic grandson taste buds. It was nasty, both the taste and the smell. Definitely not intended for sensory deprived children.",true
"R27ONRZ9M7FO0W","B00M7GYGDC","B07QQ8NQYX","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"Unknown",1,"GROSS","I love this product, Amazon has made some sort of error while handling this product. The chocolate is meant to be smooth. The product I received it dry and crumbly. I decided to eat one and see if it at least tasted good. It did not. Buy this snack somewhere else.",true
"RHJFATPS2YGVD","B00M7GYGDC","B07L48VBCT","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Tina Coleman",1,"The item came melted and i was not able to enjoy it . i was told they will not replace it or refund","Its just a blob of meltedchocolate. not worth your money.i just put it in the trash.",true
"R373UHNGBW3LW3","B00M7GYGDC","B00T77QT5M","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"K",1,"Defective shipment?","Not sure if I just received a bad batch or what. I usually buy these in the store and have bought on Amazon before as well. But every bag in this shipment contains tiny little crumbs of banana bites rather than the normal bite size ones. It makes them annoying to eat as a snack (but would probably be ok as a topping to something). Haven’t had this problem before but this box is a waste of $$ for me.",true
"R2MFR2KXNPSUF1","B00M7GYGDC","B00BOJ7Z5E","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"VisionDestiny24",1,"Its not what i thought. The banana 🍌 and chocolate not sweet.","It was not sweet enough to my liking. The texture was rubbery like diet snacks.",true
"R10GSXNCLPOI6H","B00M7GYGDC","B00BOJ7YX2","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Daniellleee",1,"Not very good, smells off","These said they are good until later November of this year but when I opened the bag it made me want to gag. I even asked my husband for a 2nd opinion because I was scared to try them and he said the stunk, taste off and not to give to our toddler. So I had to throw a brand new pack away :(",true
"R12X06M9NH8I6S","B00M7GYGDC","B07L48VBCT","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Melanie Puckett",1,"Don't order in summer","My order came in the bottom of the box of other items. It was melted and mushy. It's a nonrefundable item.",true
"RK0H9XQPSFZ7T","B00M7GYGDC","B00BOJ7YX2","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Darya",1,"They were crushed","When I bought it in the store it was actually bite size. When ordered on Amazon it came all crushed. Couldn’t even eat it.",true
"R1LQ5DT67F9OP","B00M7GYGDC","B07L48VBCT","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Amazon Customer",1,"Horrible","Don'twaste your money. It'sterrible.",true
