"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2A9GWGMN67LZS","B00MYUQASK","","Reviewed in the United States on December 16, 2018","December 16, 2018",1544943600,"Jaclyn Davis",5,"My sons favorite","Easy and good",true
"RCXGLRD0K6WJN","B00MYUQASK","","Reviewed in the United States on March 26, 2018","March 26, 2018",1522044000,"Jss",5,"Five Stars","Critical to my week.",true
"RQIKIFCVMTUU1","B00MYUQASK","","Reviewed in the United States on April 25, 2017","April 25, 2017",1493100000,"Summer & Blaise's Mom",5,"Five Stars","Son's only favorite yogurt at the moment",true
"R3P0T2QNJ430OA","B00MYUQASK","","Reviewed in the United States on December 28, 2016","December 28, 2016",1482908400,"william chambers",5,"High in protein and a great easy lunch time supplement","My son literally eats these in less than 60 seconds. High in protein and a great easy lunch time supplement",false
"RLTH14XQUWRCF","B00MYUQASK","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"Ingrid",4,"Too thick","For me too thick, but has constant flavor and it's good. Won't buy it again due to the thickness.",true
"R1LNYBP4OYVJUT","B00MYUQASK","","Reviewed in the United States on February 8, 2021","February 8, 2021",1612767600,"S. Dalrymple-Ely",4,"Good but high sugar","These are good, I've tried them before giving them to my toddler. You can't taste the veggies at all, in any of the flavors. Reason why: the second ingredient is sugar. Good source of calcium and vitamins, just make sure you know the sugar content.",true
"R145AI3MWHDL7E","B00MYUQASK","","Reviewed in the United States on November 21, 2020","November 21, 2020",1605942000,"PRINCESS",5,"Great for kids","My son loveeeess this! Has for years. Definitely worth it!",true
"R1QLYLE032TB2R","B00MYUQASK","","Reviewed in the United States on November 12, 2020","November 12, 2020",1605164400,"Awesomecorgmom",5,"Toddler approved","My toddler loves these and that he can feed himself yogurt. I love it since it is healthy for him and that it keeps him from getting too messy.",true
"R1BEGRSCCSJDEW","B00MYUQASK","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"Mikhail",5,"Good","Good",true
"R2L2VRSJ4AZNKV","B00MYUQASK","","Reviewed in the United States on August 9, 2020","August 9, 2020",1596952800,"Bill Knox",5,"Perfect","Perfect",true
"R316QMMW7GDKLU","B00MYUQASK","","Reviewed in the United States on July 20, 2020","July 20, 2020",1595224800,"D. Li",5,"Great taste","good balance of fat, sugar and flavor",true
"R1ASDFM8DHJFYC","B00MYUQASK","","Reviewed in the United States on April 23, 2020","April 23, 2020",1587621600,"lauren",5,"wanna more despite the price","my kid loved this!",true
"R1WYIPJ719P181","B00MYUQASK","","Reviewed in the United States on April 16, 2020","April 16, 2020",1587016800,"Shannon Hill",5,"Delicious","My son loves this flavor.",true
"R2THJMVQ1JEREK","B00MYUQASK","","Reviewed in the United States on October 20, 2019","October 20, 2019",1571551200,"Jonathan Castano",5,"Delicious","Love it",true
