"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2LVKF8RVJYF5I","B00MYUQB3O","","Reviewed in the United States on November 25, 2016","November 25, 2016",1480057200,"S. Koller",5,"Great snack","Great to-go snacks for the family.",false
"RDMX4520TGQH0","B00MYUQB3O","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"Isabel Ruiz",5,"Sabe natural 🍓🍓🍓🍓","Es una excelente opción para llevarlo a todas partes.",true
"R15LCEZ1VOHJW7","B00MYUQB3O","","Reviewed in the United States on November 27, 2020","November 27, 2020",1606460400,"Jing",5,"Yummy","Yummy Togo in the lunch box",true
"R2XPSROCG5FDSA","B00MYUQB3O","","Reviewed in the United States on November 21, 2020","November 21, 2020",1605942000,"PRINCESS",5,"I only get these for my son and he love’s them!","I only get these for my son and he love’s them!",true
"RL04VBNEUVA2F","B00MYUQB3O","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"Mikhail",5,"Good","Good",true
"R3A27CBD628OTU","B00MYUQB3O","","Reviewed in the United States on February 8, 2020","February 8, 2020",1581145200,"E.A.",5,"My baby love it","My baby love it!",true
"R2MZZWB03FMZBB","B00MYUQB3O","","Reviewed in the United States on February 4, 2020","February 4, 2020",1580799600,"Kristen T.",5,"A must have in our house!","Yum!!",true
"R2T9LP8EC12LLG","B00MYUQB3O","","Reviewed in the United States on June 11, 2019","June 11, 2019",1560232800,"Max",5,"Easy and healthy","Great yogurt for toddler",true
"RBNUW27VJB0M","B00MYUQB3O","","Reviewed in the United States on August 25, 2018","August 25, 2018",1535176800,"Laura H",5,"Yogurt","Great for toddlers.",true
"R3P2FPQRGIO199","B00MYUQB3O","","Reviewed in the United States on March 26, 2018","March 26, 2018",1522044000,"Jss",5,"Five Stars","One of my son’s favorites!",true
"R37LVKPODSR7XH","B00MYUQB3O","","Reviewed in the United States on July 25, 2017","July 25, 2017",1500962400,"Juju",5,"Family favorite","A favorite in our family. We are so happy Amazon Fresh carries these in abundance!",true
