"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1RHBRBUDADVSL","B00MYUQB52","","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"Melissa Burdon",1,"Too much sugar","Too much sugar",true
"R1VUU07IJX4Z0X","B00MYUQB52","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624428000,"Sarah Bjork",5,"Healthy, delicious, and portable!","My kids love these and I love that there are veggies in them. Win win!",true
"R309MC8N9HJMSR","B00MYUQB52","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Aston",5,"Baby yogurt","We brought the Stonyfield yogurt pouch for grandkids, so they can have something else besides the baby food. Give them a treat. For the most part they seem to enjoy it. It's organic and has milk, so it's good.They both will eat it. Price is reasonable.",true
"R32YCLD9BRRMBV","B00MYUQB52","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Helene",5,"Loved by Toddlers","My 15 month old twins love these! They gobble them up!",true
"R339U8HWUQLR98","B00MYUQB52","","Reviewed in the United States on December 13, 2020","December 13, 2020",1607842800,"Willie V. Hughes",5,"My Toddler Son's Favorite","Great yogurt for on the go families with kids who want a snack. Low mess, healthy, tastes great, and my son can control the flow. I need to help him get the last small bit out by rolling it up from the bottom, but I don't mind.",true
"R21EWI1I6TCDP9","B00MYUQB52","","Reviewed in the United States on June 25, 2020","June 25, 2020",1593064800,"Media-Architect",5,"A must have in my fridge for kids","My boys and all their friends love it.",true
"RGA5J18QX5DMV","B00MYUQB52","","Reviewed in the United States on April 26, 2020","April 26, 2020",1587880800,"B. A. C. R.",3,"Kids love. So parents hate.","The kids eat them very quickly. Naturally that means they have way too much sugar in them.",true
"R1P1WU9DVPTH42","B00MYUQB52","","Reviewed in the United States on February 4, 2019","February 4, 2019",1549263600,"Erica M.",5,"My kids love these!","They can't start the day without one. Not too tart or too sweet.",true
"R15S5JGXJNFDMR","B00MYUQB52","","Reviewed in the United States on August 25, 2018","August 25, 2018",1535176800,"Laura H",5,"Yummy","Great for toddlers.",false
"R3E1WC3HGGI6U3","B00MYUQB52","","Reviewed in the United States on March 31, 2018","March 31, 2018",1522476000,"Roselyn",4,"Great but pricey","These are great but pack substantially less than the regular Stonyfield yogurts, for a higher price",true
"RKC7A7NF8SGC6","B00MYUQB52","","Reviewed in the United States on October 11, 2016","October 11, 2016",1476165600,"Kate Heyde",3,"The flavor is good though and my 3 year old enjoys it","I ordered four and one had a leak. It could have been prevented if they were in the four pack box instead of individually in the amazon fresh box. The flavor is good though and my 3 year old enjoys it.",false
