"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1GCOTR5SY5UKO","B00WTR0CDM","","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"John Nemaric - PhD",5,"The perfect yogurt.","Finally, a great real yogurt at a great price (usually). Love it!",true
"R27CC3DIR62KFN","B00WTR0CDM","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"laBelle",5,"fantastic","the best store bought yoghurt I've ever had. so thick its like ice cream",true
"R1XCVXCLSDXGJR","B00WTR0CDM","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Amazon Customer",5,"Wonderful flavor and texture","I use it as a substitute for sour cream",true
"R10RB5ZOIP2KLK","B00WTR0CDM","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"needles",5,"Good","So far this is my favorite plain greek yogurt. I wish it was made organic by grass fed cows.",true
"R1GIOWYW5W8ZYL","B00WTR0CDM","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"L.B.",5,"Perfection","I absolutely love this yogurt. Smooth as silk, and a little milder than many plain varieties. I like to put chunks of fresh pineapple in it, and it’s a much better sour cream substitute for potatoes, Mexican food, or mixing in than any other premium brand that I know of. I eat it plain, it’s that wonderful.",true
"R3P45VHRDMFDUI","B00WTR0CDM","","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"sindy",1,"Didn't like the taste.","Texture too thick.",true
"R1S0AFO847IOFI","B00WTR0CDM","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Asb",5,"Yum!","Fage’s full fat yogurt has a smooth and creamy taste. The thick texture is a delicious treat with a bit of honey and tasty companion to granola with fruit.",true
"R30MUH63RHNOIV","B00WTR0CDM","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"Michael",5,"The Best","This is simply the best widely available yogurt you can buy.",true
"R1BYGU4WC9QJ0N","B00WTR0CDM","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"Kevin Mc",5,"One of the top 2 or 3 Greek Yogurts you can get","And the 5% or Total is the way to go.Why would even eat 1% yogurt?This is a healthy fat (fat does not get you fat, if you believe that read more or find a new Dr) you should NOT be trying to lower the fat of your yogurt, bc you are stripping it of the benefits it is giving you.",true
"R3W4KU23XWFQFY","B00WTR0CDM","","Reviewed in the United States on June 10, 2021","June 10, 2021",1623304800,"Estelle McClurg",5,"Tastes Great","LOVE THIS YOGURT.It tastes GREAT.It’s a terrific value for the $$ in my opinion!",true
"R1MW6N06AFHWPH","B00WTR0CDM","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Shirley Levy",5,"Have never been disappointed","Have nothing but goodto say about your products‼️",true
"R89COEG3F009B","B00WTR0CDM","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Kort",5,"Fage Convert","I've had just about every other Greek yogurt and finally decided to try Fage 5% plain. It certainly has it's fans and I can certainly see why. I picked it up from a local grocer and had some as an afternoon snack with blackberries, unsalted mixed nuts and (don't knock it 'till you try it) Friendly Fire Guava + Habanero hot sauce. Man is it good, and mostly healthy to boot! It helps keep hunger at bay for a few hours and I get a decent serving of protein.I appreciate the 2nd layer under the foil seal that keeps any air from getting to the yogurt. It has a very creamy texture and more distinct flavor than say, Chobani. It is a combination of sour cream and cream cheese, but a little more mild. It could easily stand in for either of those and would make a great base for a dip.Made in the USA and sourced from dairy farms in New York, New Jersey and Connecticut where the cows not administered added hormones.~ Kort",false
"R1IX41AE2YRJHE","B00WTR0CDM","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"househeadericmd",5,"Simply the Best","Still the best greek yougart available!!Often goes on sale.",true
"R1YU3GKM68FO4V","B00WTR0CDM","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"HD Knoxville",5,"Yum!","Thick & creamy! Great in my smoothie.",true
"RD29AJXGCXWPY","B00WTR0CDM","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"Victoria",5,"Delicious and creamy Greek yogurt.","Delicious and creamy.",true
"R1JAZ7AHX2AOKP","B00WTR0CDM","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Kyle",5,"The best!","Best Greek yogurt!",true
"R1JWSSNQWJXK0A","B00WTR0CDM","","Reviewed in the United States on February 11, 2021","February 11, 2021",1613026800,"Raananah Katz",5,"best yogurt ever","No yogurt tastes better than this one",true
"R2Y4C10TL9LW7N","B00WTR0CDM","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"B",5,"The perfect yogurt.","And the cat gets just a bit off my fingertip.It's the only yogurt he will eat !He has good and expensive taste !",true
"R1IM528G9AA4ZS","B00WTR0CDM","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"Diane S.",5,"Better than Ben & Jerry's","This yogurt is better than Ben & Jerry's ice cream. Drizzle (pour) some real maple syrup on it and enter heaven. It's truly one of the greatest dairy products made.",true
"R2FDL7XPPRVGWF","B00WTR0CDM","","Reviewed in the United States on January 23, 2021","January 23, 2021",1611385200,"Judah Family",5,"Thick","Very thick, which is great cuz soupy yogurts are not fun to pack and eat. Also, better for the kids as they are less likely to make a mess.",true
