"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RSFMGGWZ5UHKI","B00XJM0NEO","B00XJM0RI6","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Ohio_Gamer",1,"Will not set even after 3 tries.","To start with I'm using a Mueller yogurt maker to take the guess work out of this. I bought the 5 pack and immediately tried making a batch using the provided instructions, 1 qt. of whole milk, boiled, cool down, temp check via temp probe, then incubation for 12 hours. What I got was a touch of curd at the bottom of one of jars I checked. Leaving it for another 4 hours did nothing.I tried a 2nd batch with whole milk but no boil and used the microwave to get the milk to temp so I could add the culture. This batch I left for 16 hours and had not set up at all, no curd, nothing.The 3rd try I boiled whole milk, cooled down, and left it to incubate for 24 hours. Nothing but milk.I may not have made yogurt a lot but I have made it a few times and have never had a total failure, let alone 3 in a row. I left the incubator to sit, didn't shake, or move it, boiled, no boil, whole milk - homogenized. I have no idea what's wrong other than maybe this item got too hot in shipping? Going with a different brand and see how that goes.",true
"R3814EC3UW0E8J","B00XJM0NEO","B00XJM0NXK","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"So Cal So Cal",5,"makes great tasting yogurt","Excellent starter as long as you followexact directions on your yogurt maker.",true
"RQRBA4LDFMDDO","B00XJM0NEO","B00XJM0NEO","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Jake's mom",1,"Half of my batch of yogurt did not solidify","I am an experienced yogurt maker and I thought I’d try this brand.Half of the batch I made last night didn’t solidify so I had to throw it out.Wasted time and money plus now I have to buy more milk and make another batch.Very disappointed.Will not use this brand again.",true
"R36BVJ05XQ2TZZ","B00XJM0NEO","B01BO47C88","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Carlson Family",1,"Very disappointing!","I decided to give this culture a try because I like to sample different styles of yogurt. This one ended up quite bland for my liking. On top of that, I ended up with mold on top of almost half of my jars which is something that has never happened to me before. The only thing different with this latest batch of yogurt was this new culture. Definitely won't be buying this product again and will be sticking with the Icelandic culture I've been using without fail. I was definitely disappointed in this product.",true
"R1IKHSRZ9FD3U8","B00XJM0NEO","B00XJM0RI6","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Melissa L.",5,"Generation 5 and still going strong","I’m on generation five of this starter and it’s still going strong. We make about 5qts a week. Excellent!",true
"RS73NR1HYZ0TA","B00XJM0NEO","B01BO47C88","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Joseph McAuley",5,"Must try..","My Albanian wife has complained about all yogurt until we tried this, she absolutely loves this stuff and so do I. She uses whole pasteurized milk and I use heavy cream as I’m slightly allergic to milk protein. Great product and lasts a long time.",true
"R1H07Y0F6T25VT","B00XJM0NEO","B01BO47C88","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"caterina",1,"Faulty product received","This is the second time I ordered from this company. This time around I received a bad product. The yogurt didn’t set AT ALL.",true
"R2B6OCH8T5PT3P","B00XJM0NEO","B00XJM0RI6","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Duygu demirler",5,"Organic yogurt","We dont find a yogurt like in our country and we decided to make it at home so I ordered these cultures. I like it but especially mu husband likes it very much the smell is sour but delicious.",true
"R3VBHBU4JJ9N5G","B00XJM0NEO","B01BO47C88","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Jerry H",5,"Absolutely the best yogurt.","I have been making yogurt for 25 years and this is hands down the best.Highly recommend.",false
"R111UVGPLVIBUV","B00XJM0NEO","B00XJM0NXK","Reviewed in the United States on January 29, 2021","January 29, 2021",1611903600,"Yuanxiao X.",5,"Great","So delicious! Completely happy with the purchase. Although we only used one pouch so far in one month because we remake new batches every 5 days or so.",true
